poecilia_formosa ENSPFOG00000021841
cyprinodon_variegatus ENSCVAG00000019450
pundamilia_nyererei ENSPNYG00000012455
astatotilapia_calliptera ENSACLG00000000880
oreochromis_niloticus ENSONIG00000018196
oreochromis_niloticus ENSONIG00000006696
oreochromis_niloticus ENSONIG00000018458
astatotilapia_calliptera ENSACLG00000000874
maylandia_zebra ENSMZEG00005027255
pundamilia_nyererei ENSPNYG00000012428
neolamprologus_brichardi ENSNBRG00000007818
haplochromis_burtoni ENSHBUG00000007275
amphilophus_citrinellus ENSACIG00000023508
haplochromis_burtoni ENSHBUG00000007288
astatotilapia_calliptera ENSACLG00000000887
neolamprologus_brichardi ENSNBRG00000007789
oreochromis_niloticus ENSONIG00000001937
astatotilapia_calliptera ENSACLG00000000849
maylandia_zebra ENSMZEG00005027256
amphilophus_citrinellus ENSACIG00000015471
oreochromis_niloticus ENSONIG00000018459
pundamilia_nyererei ENSPNYG00000012437
maylandia_zebra ENSMZEG00005027257
amphilophus_citrinellus ENSACIG00000023504
maylandia_zebra ENSMZEG00005027253
astatotilapia_calliptera ENSACLG00000000936
pundamilia_nyererei ENSPNYG00000012473
neolamprologus_brichardi ENSNBRG00000007799
oreochromis_niloticus ENSONIG00000001935
astatotilapia_calliptera ENSACLG00000001021
maylandia_zebra ENSMZEG00005027247
astatotilapia_calliptera ENSACLG00000000976
pundamilia_nyererei ENSPNYG00000012530
neolamprologus_brichardi ENSNBRG00000007739
amphilophus_citrinellus ENSACIG00000017687
oreochromis_niloticus ENSONIG00000001941
amphilophus_citrinellus ENSACIG00000017665
maylandia_zebra ENSMZEG00005027252
oreochromis_niloticus ENSONIG00000001940
maylandia_zebra ENSMZEG00005027251
labrus_bergylta ENSLBEG00000004661
