zonotrichia_albicollis ENSZALG00000013381
lonchura_striata ENSLSDG00000015956
lepidothrix_coronata ENSLCOG00000014639
anas_platyrhynchos ENSAPLG00000017829
nothoprocta_perdicaria ENSNPEG00000000408
gopherus_agassizii ENSGAGG00000020413
pogona_vitticeps ENSPVIG00000013229
theropithecus_gelada ENSTGEG00000016328
piliocolobus_tephrosceles ENSPTEG00000027231
callithrix_jacchus ENSCJAG00000060053
prolemur_simus ENSPSMG00000005766
castor_canadensis ENSCCNG00000028050
oryctolagus_cuniculus ENSOCUG00000036494
bos_indicus ENSBIXG00005008306
bos_indicus ENSBIXG00000010543
bos_mutus ENSBMUG00000006605
bison_bison ENSBBBG00000005106
equus_caballus ENSECAG00000043410
neovison_vison ENSNVIG00000020171
stegastes_partitus ENSSPAG00000020328
amphiprion_percula ENSAPEG00000011063
poecilia_reticulata ENSPREG00000023175
fundulus_heteroclitus ENSFHEG00000006218
scophthalmus_maximus ENSSMAG00000021439
monopterus_albus ENSMALG00000020796
periophthalmus_magnuspinnatus ENSPMGG00000006128
hucho_hucho ENSHHUG00000024039
