propithecus_coquereli ENSPCOG00000025578
prolemur_simus ENSPSMG00000012947
microcebus_murinus ENSMICG00000029683
otolemur_garnettii ENSOGAG00000026166
pan_troglodytes ENSPTRG00000045513
pan_paniscus ENSPPAG00000043745
homo_sapiens ENSG00000254535
gorilla_gorilla ENSGGOG00000024991
nomascus_leucogenys ENSNLEG00000019300
rhinopithecus_roxellana ENSRROG00000020367
rhinopithecus_bieti ENSRBIG00000030229
piliocolobus_tephrosceles ENSPTEG00000038151
colobus_angolensis_palliatus ENSCANG00000037677
theropithecus_gelada ENSTGEG00000009763
cebus_capucinus ENSCCAG00000031681
saimiri_boliviensis_boliviensis ENSSBOG00000016382
callithrix_jacchus ENSCJAG00000045332
aotus_nancymaae ENSANAG00000017199
mus_musculus ENSMUSG00000090919
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025903
mus_spicilegus ENSMSIG00000007749
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024968
mus_pahari MGP_PahariEiJ_G0026409
rattus_norvegicus ENSRNOG00000029749
meriones_unguiculatus ENSMUGG00000005503
cricetulus_griseus_crigri ENSCGRG00000020086
cricetulus_griseus_crigri-picr ENSCGRG00015025383
cricetulus_griseus_chok1gshd ENSCGRG00001002070
mesocricetus_auratus ENSMAUG00000016313
microtus_ochrogaster ENSMOCG00000007551
peromyscus_maniculatus_bairdii ENSPEMG00000012565
nannospalax_galili ENSNGAG00000001502
jaculus_jaculus ENSJJAG00000004090
spermophilus_dauricus ENSSDAG00000000787
ictidomys_tridecemlineatus ENSSTOG00000019472
urocitellus_parryii ENSUPAG00010012516
marmota_marmota_marmota ENSMMMG00000014776
heterocephalus_glaber_male ENSHGLG00100020648
heterocephalus_glaber_female ENSHGLG00000020104
fukomys_damarensis ENSFDAG00000019606
cavia_porcellus ENSCPOG00000033167
cavia_aperea ENSCAPG00000000555
chinchilla_lanigera ENSCLAG00000017628
castor_canadensis ENSCCNG00000007921
ursus_americanus ENSUAMG00000001289
ursus_maritimus ENSUMAG00000014887
neovison_vison ENSNVIG00000014762
panthera_tigris_altaica ENSPTIG00000010106
panthera_pardus ENSPPRG00000018628
felis_catus ENSFCAG00000028270
equus_caballus ENSECAG00000031416
equus_asinus_asinus ENSEASG00005007883
bos_mutus ENSBMUG00000017159
bos_taurus ENSBTAG00000046902
bison_bison_bison ENSBBBG00000012038
capra_hircus ENSCHIG00000007231
sus_scrofa ENSSSCG00000009067
canis_lupus_dingo ENSCAFG00020019182
vulpes_vulpes ENSVVUG00000011060
myotis_lucifugus ENSMLUG00000008254
dasypus_novemcinctus ENSDNOG00000031077
