denticeps_clupeoides ENSDCDG00000023201
clupea_harengus ENSCHAG00000020997
astyanax_mexicanus ENSAMXG00000033660
astyanax_mexicanus ENSAMXG00005025306
pygocentrus_nattereri ENSPNAG00000021638
ictalurus_punctatus ENSIPUG00000019317
ictalurus_punctatus ENSIPUG00000016504
electrophorus_electricus ENSEEEG00000014450
danio_rerio ENSDARG00000010721
hucho_hucho ENSHHUG00000048517
hucho_hucho ENSHHUG00000026433
esox_lucius ENSELUG00000020499
cottoperca_gobio ENSCGOG00000014875
gasterosteus_aculeatus ENSGACG00000017441
labrus_bergylta ENSLBEG00000028683
larimichthys_crocea ENSLCRG00005016310
larimichthys_crocea ENSLCRG00005019483
takifugu_rubripes ENSTRUG00000010830
tetraodon_nigroviridis ENSTNIG00000015761
mola_mola ENSMMOG00000004176
monopterus_albus ENSMALG00000007921
mastacembelus_armatus ENSMAMG00000019988
lates_calcarifer ENSLCAG00010025017
lates_calcarifer ENSLCAG00010000796
seriola_dumerili ENSSDUG00000005575
seriola_lalandi ENSSLDG00000003277
amphiprion_ocellaris ENSAOCG00000011293
amphiprion_percula ENSAPEG00000005460
acanthochromis_polyacanthus ENSAPOG00000000347
stegastes_partitus ENSSPAG00000010108
astatotilapia_calliptera ENSACLG00000001734
maylandia_zebra ENSMZEG00005007935
haplochromis_burtoni ENSHBUG00000017506
pundamilia_nyererei ENSPNYG00000009709
neolamprologus_brichardi ENSNBRG00000011675
oreochromis_niloticus ENSONIG00000002528
amphilophus_citrinellus ENSACIG00000013682
scophthalmus_maximus ENSSMAG00000012785
parambassis_ranga ENSPRNG00000025654
anabas_testudineus ENSATEG00000018814
betta_splendens ENSBSLG00000024334
gouania_willdenowi ENSGWIG00000001780
cynoglossus_semilaevis ENSCSEG00000002026
poecilia_mexicana ENSPMEG00000023470
poecilia_latipinna ENSPLAG00000019878
poecilia_formosa ENSPFOG00000024595
poecilia_formosa ENSPFOG00000024721
poecilia_reticulata ENSPREG00000012310
gambusia_affinis ENSGAFG00000000922
xiphophorus_maculatus ENSXMAG00000013699
poecilia_latipinna ENSPLAG00000005147
xiphophorus_couchianus ENSXCOG00000016712
fundulus_heteroclitus ENSFHEG00000017987
cyprinodon_variegatus ENSCVAG00000004959
kryptolebias_marmoratus ENSKMAG00000020207
oryzias_latipes ENSORLG00000000997
oryzias_latipes ENSORLG00015013025
oryzias_latipes ENSORLG00020003886
oryzias_melastigma ENSOMEG00000014650
hippocampus_comes ENSHCOG00000017047
periophthalmus_magnuspinnatus ENSPMGG00000012133
gadus_morhua ENSGMOG00000001671
paramormyrops_kingsleyae ENSPKIG00000013948
scleropages_formosus ENSSFOG00015005477
paramormyrops_kingsleyae ENSPKIG00000019114
scleropages_formosus ENSSFOG00015010832
lepisosteus_oculatus ENSLOCG00000015233
erpetoichthys_calabaricus ENSECRG00000014294
anser_brachyrhynchus ENSABRG00000002931
anas_platyrhynchos ENSAPLG00000011134
meleagris_gallopavo ENSMGAG00000007747
gallus_gallus ENSGALG00000008633
numida_meleagris ENSNMEG00000001727
ficedula_albicollis ENSFALG00000001580
cyanistes_caeruleus ENSCCEG00000020805
taeniopygia_guttata ENSTGUG00000003361
parus_major ENSPMJG00000011372
manacus_vitellinus ENSMVIG00005005971
junco_hyemalis ENSJHYG00000014690
zonotrichia_albicollis ENSZALG00000018230
lonchura_striata ENSLSDG00000005089
calidris_pygmaea ENSCPGG00000010875
calidris_pugnax ENSCPUG00000001851
melopsittacus_undulatus ENSMUNG00000013843
lepidothrix_coronata ENSLCOG00000000179
serinus_canaria ENSSCAG00000016968
coturnix_japonica ENSCJPG00005018817
apteryx_owenii ENSAOWG00000008484
apteryx_haastii ENSAHAG00000012274
apteryx_rowi ENSARWG00000001613
nothoprocta_perdicaria ENSNPEG00000003877
dromaius_novaehollandiae ENSDNVG00000009960
crocodylus_porosus ENSCPRG00005005923
chelonoidis_abingdonii ENSCABG00000017402
gopherus_agassizii ENSGAGG00000001174
chrysemys_picta ENSCPBG00000020698
pelodiscus_sinensis ENSPSIG00000005925
pogona_vitticeps ENSPVIG00000017199
notechis_scutatus ENSNSUG00000010005
salvator_merianae ENSSMRG00000017782
anolis_carolinensis ENSACAG00000011892
sphenodon_punctatus ENSSPUG00000013155
equus_caballus ENSECAG00000023315
equus_asinus ENSEASG00005012905
myotis_lucifugus ENSMLUG00000005623
ursus_americanus ENSUAMG00000028367
ailuropoda_melanoleuca ENSAMEG00000000156
neovison_vison ENSNVIG00000022344
mustela_putorius ENSMPUG00000001540
canis_lupus ENSCAFG00020004106
canis_lupus ENSCAFG00000018419
vulpes_vulpes ENSVVUG00000011533
panthera_pardus ENSPPRG00000023588
panthera_tigris ENSPTIG00000015338
felis_catus ENSFCAG00000008744
bos_taurus ENSBTAG00000004291
bos_indicus ENSBIXG00005018149
bos_mutus ENSBMUG00000010476
ovis_aries ENSOARG00000016123
capra_hircus ENSCHIG00000006087
capra_hircus ENSCHIG00000027163
sus_scrofa ENSSSCG00000012619
tursiops_truncatus ENSTTRG00000013111
vicugna_pacos ENSVPAG00000000651
sorex_araneus ENSSARG00000005387
pteropus_vampyrus ENSPVAG00000003267
nomascus_leucogenys ENSNLEG00000014873
pongo_abelii ENSPPYG00000020673
pan_paniscus ENSPPAG00000040865
pan_troglodytes ENSPTRG00000022227
homo_sapiens ENSG00000125354
gorilla_gorilla ENSGGOG00000009733
rhinopithecus_roxellana ENSRROG00000038667
rhinopithecus_bieti ENSRBIG00000044672
piliocolobus_tephrosceles ENSPTEG00000030746
colobus_angolensis ENSCANG00000016430
mandrillus_leucophaeus ENSMLEG00000030428
cercocebus_atys ENSCATG00000036060
papio_anubis ENSPANG00000000899
theropithecus_gelada ENSTGEG00000019916
macaca_fascicularis ENSMFAG00000003084
macaca_mulatta ENSMMUG00000017669
macaca_nemestrina ENSMNEG00000026932
chlorocebus_sabaeus ENSCSAG00000018351
cebus_capucinus ENSCCAG00000023266
saimiri_boliviensis ENSSBOG00000024143
callithrix_jacchus ENSCJAG00000005022
aotus_nancymaae ENSANAG00000033580
carlito_syrichta ENSTSYG00000006427
microcebus_murinus ENSMICG00000002769
microcebus_murinus ENSMICG00000036762
propithecus_coquereli ENSPCOG00000024204
prolemur_simus ENSPSMG00000000453
otolemur_garnettii ENSOGAG00000009707
heterocephalus_glaber ENSHGLG00000014131
heterocephalus_glaber ENSHGLG00100004411
fukomys_damarensis ENSFDAG00000002473
chinchilla_lanigera ENSCLAG00000008840
octodon_degus ENSODEG00000003553
cavia_porcellus ENSCPOG00000040419
cavia_aperea ENSCAPG00000008454
mus_spicilegus ENSMSIG00000010814
mus_musculus ENSMUSG00000050379
mus_spretus MGP_SPRETEiJ_G0034149
mus_caroli MGP_CAROLIEiJ_G0032996
rattus_norvegicus ENSRNOG00000043182
meriones_unguiculatus ENSMUGG00000009294
cricetulus_griseus ENSCGRG00001014207
cricetulus_griseus ENSCGRG00000007825
mesocricetus_auratus ENSMAUG00000018038
peromyscus_maniculatus ENSPEMG00000016450
microtus_ochrogaster ENSMOCG00000000500
nannospalax_galili ENSNGAG00000010702
jaculus_jaculus ENSJJAG00000020412
urocitellus_parryii ENSUPAG00010001431
ictidomys_tridecemlineatus ENSSTOG00000011593
spermophilus_dauricus ENSSDAG00000002344
marmota_marmota ENSMMMG00000006734
dipodomys_ordii ENSDORG00000026632
oryctolagus_cuniculus ENSOCUG00000003928
ochotona_princeps ENSOPRG00000000405
tupaia_belangeri ENSTBEG00000017251
loxodonta_africana ENSLAFG00000021387
echinops_telfairi ENSETEG00000001279
procavia_capensis ENSPCAG00000004778
dasypus_novemcinctus ENSDNOG00000030918
choloepus_hoffmanni ENSCHOG00000010035
erinaceus_europaeus ENSEEUG00000006726
phascolarctos_cinereus ENSPCIG00000028910
vombatus_ursinus ENSVURG00010014834
notamacropus_eugenii ENSMEUG00000006112
sarcophilus_harrisii ENSSHAG00000007460
monodelphis_domestica ENSMODG00000010221
mus_pahari MGP_PahariEiJ_G0031540
ornithorhynchus_anatinus ENSOANG00000002596
xenopus_tropicalis ENSXETG00000017510
latimeria_chalumnae ENSLACG00000009093
callorhinchus_milii ENSCMIG00000014022
