anabas_testudineus ENSATEG00000007286
monopterus_albus ENSMALG00000021469
amphiprion_ocellaris ENSAOCG00000021850
amphiprion_percula ENSAPEG00000022261
stegastes_partitus ENSSPAG00000008058
pundamilia_nyererei ENSPNYG00000001861
maylandia_zebra ENSMZEG00005003708
neolamprologus_brichardi ENSNBRG00000016599
seriola_dumerili ENSSDUG00000018333
amphilophus_citrinellus ENSACIG00000013030
takifugu_rubripes ENSTRUG00000023445
cynoglossus_semilaevis ENSCSEG00000002098
periophthalmus_magnuspinnatus ENSPMGG00000008359
gadus_morhua ENSGMOG00000016687
ictalurus_punctatus ENSIPUG00000015072
pygocentrus_nattereri ENSPNAG00000027661
scleropages_formosus ENSSFOG00015010422
chrysemys_picta_bellii ENSCPBG00000021080
calidris_pugnax ENSCPUG00000018977
sarcophilus_harrisii ENSSHAG00000016170
phascolarctos_cinereus ENSPCIG00000035998
latimeria_chalumnae ENSLACG00000010738
loxodonta_africana ENSLAFG00000003120
echinops_telfairi ENSETEG00000005171
homo_sapiens ENSG00000088888
pan_paniscus ENSPPAG00000026515
gorilla_gorilla ENSGGOG00000010178
pongo_abelii ENSPPYG00000010808
nomascus_leucogenys ENSNLEG00000007664
mandrillus_leucophaeus ENSMLEG00000042487
cercocebus_atys ENSCATG00000031510
theropithecus_gelada ENSTGEG00000013383
papio_anubis ENSPANG00000003902
macaca_mulatta ENSMMUG00000017150
macaca_fascicularis ENSMFAG00000046041
macaca_nemestrina ENSMNEG00000009026
chlorocebus_sabaeus ENSCSAG00000012949
piliocolobus_tephrosceles ENSPTEG00000031088
rhinopithecus_bieti ENSRBIG00000033881
saimiri_boliviensis_boliviensis ENSSBOG00000028916
cebus_capucinus ENSCCAG00000035910
callithrix_jacchus ENSCJAG00000021211
aotus_nancymaae ENSANAG00000022862
carlito_syrichta ENSTSYG00000003246
propithecus_coquereli ENSPCOG00000021718
prolemur_simus ENSPSMG00000012243
microcebus_murinus ENSMICG00000034157
otolemur_garnettii ENSOGAG00000000635
tupaia_belangeri ENSTBEG00000010415
castor_canadensis ENSCCNG00000015452
dipodomys_ordii ENSDORG00000003855
cricetulus_griseus_chok1gshd ENSCGRG00001023482
cricetulus_griseus_crigri ENSCGRG00000005576
cricetulus_griseus_crigri-picr ENSCGRG00015011627
mesocricetus_auratus ENSMAUG00000014641
peromyscus_maniculatus_bairdii ENSPEMG00000011582
microtus_ochrogaster ENSMOCG00000022480
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025246
mus_spicilegus ENSMSIG00000014493
mus_musculus ENSMUSG00000037523
mus_pahari MGP_PahariEiJ_G0025771
rattus_norvegicus ENSRNOG00000025295
meriones_unguiculatus ENSMUGG00000012172
nannospalax_galili ENSNGAG00000011510
jaculus_jaculus ENSJJAG00000014503
spermophilus_dauricus ENSSDAG00000009653
urocitellus_parryii ENSUPAG00010001866
ictidomys_tridecemlineatus ENSSTOG00000015461
marmota_marmota_marmota ENSMMMG00000023955
cavia_aperea ENSCAPG00000013440
cavia_porcellus ENSCPOG00000012319
chinchilla_lanigera ENSCLAG00000013911
octodon_degus ENSODEG00000007437
heterocephalus_glaber_male ENSHGLG00100011694
heterocephalus_glaber_female ENSHGLG00000006177
fukomys_damarensis ENSFDAG00000013074
oryctolagus_cuniculus ENSOCUG00000012269
ochotona_princeps ENSOPRG00000006997
pteropus_vampyrus ENSPVAG00000012750
myotis_lucifugus ENSMLUG00000008223
equus_caballus ENSECAG00000024618
equus_asinus_asinus ENSEASG00005001188
ovis_aries ENSOARG00000000939
capra_hircus ENSCHIG00000015699
bos_taurus ENSBTAG00000013545
bos_mutus ENSBMUG00000021216
bison_bison_bison ENSBBBG00000019965
tursiops_truncatus ENSTTRG00000007408
sus_scrofa ENSSSCG00000007143
ursus_americanus ENSUAMG00000026934
ursus_maritimus ENSUMAG00000004237
ailuropoda_melanoleuca ENSAMEG00000010704
neovison_vison ENSNVIG00000019163
mustela_putorius_furo ENSMPUG00000008700
canis_lupus_dingo ENSCAFG00020001723
canis_lupus_familiaris ENSCAFG00000006157
vulpes_vulpes ENSVVUG00000024440
panthera_tigris_altaica ENSPTIG00000010949
panthera_pardus ENSPPRG00000009408
felis_catus ENSFCAG00000022983
erinaceus_europaeus ENSEEUG00000006299
sarcophilus_harrisii ENSSHAG00000013681
ornithorhynchus_anatinus ENSOANG00000030000
coturnix_japonica ENSCJPG00005006896
meleagris_gallopavo ENSMGAG00000013226
lepidothrix_coronata ENSLCOG00000006921
xenopus_tropicalis ENSXETG00000032111
danio_rerio ENSDARG00000069733
seriola_dumerili ENSSDUG00000019789
labrus_bergylta ENSLBEG00000017954
