pan_paniscus ENSPPAG00000026642
pan_troglodytes ENSPTRG00000044896
gorilla_gorilla ENSGGOG00000041727
homo_sapiens ENSG00000285551
pongo_abelii ENSPPYG00000002414
macaca_mulatta ENSMMUG00000043665
macaca_fascicularis ENSMFAG00000043939
cercocebus_atys ENSCATG00000036398
mandrillus_leucophaeus ENSMLEG00000037436
theropithecus_gelada ENSTGEG00000029299
papio_anubis ENSPANG00000035458
macaca_nemestrina ENSMNEG00000033048
piliocolobus_tephrosceles ENSPTEG00000029076
rhinopithecus_bieti ENSRBIG00000012841
rhinopithecus_roxellana ENSRROG00000043129
colobus_angolensis_palliatus ENSCANG00000035726
nomascus_leucogenys ENSNLEG00000030111
saimiri_boliviensis_boliviensis ENSSBOG00000022571
callithrix_jacchus ENSCJAG00000046653
cebus_capucinus ENSCCAG00000034771
aotus_nancymaae ENSANAG00000032908
