sarcophilus_harrisii ENSSHAG00000013884
monodelphis_domestica ENSMODG00000004607
pan_troglodytes ENSPTRG00000044020
pan_paniscus ENSPPAG00000041297
homo_sapiens ENSG00000283654
gorilla_gorilla ENSGGOG00000043009
nomascus_leucogenys ENSNLEG00000031249
cercocebus_atys ENSCATG00000044967
theropithecus_gelada ENSTGEG00000019708
macaca_fascicularis ENSMFAG00000039515
macaca_nemestrina ENSMNEG00000039815
papio_anubis ENSPANG00000033367
mandrillus_leucophaeus ENSMLEG00000035762
colobus_angolensis_palliatus ENSCANG00000032248
rhinopithecus_roxellana ENSRROG00000029112
rhinopithecus_bieti ENSRBIG00000042248
piliocolobus_tephrosceles ENSPTEG00000018779
saimiri_boliviensis_boliviensis ENSSBOG00000023270
cebus_capucinus ENSCCAG00000030416
callithrix_jacchus ENSCJAG00000044082
aotus_nancymaae ENSANAG00000017674
carlito_syrichta ENSTSYG00000029727
prolemur_simus ENSPSMG00000007132
propithecus_coquereli ENSPCOG00000024150
marmota_marmota_marmota ENSMMMG00000013535
spermophilus_dauricus ENSSDAG00000007762
mus_musculus ENSMUSG00000114865
mus_spicilegus ENSMSIG00000016852
rattus_norvegicus ENSRNOG00000057827
meriones_unguiculatus ENSMUGG00000011707
cricetulus_griseus_crigri-picr ENSCGRG00015019816
peromyscus_maniculatus_bairdii ENSPEMG00000027507
ailuropoda_melanoleuca ENSAMEG00000007619
neovison_vison ENSNVIG00000021223
panthera_tigris_altaica ENSPTIG00000013858
panthera_pardus ENSPPRG00000007607
felis_catus ENSFCAG00000045976
dasypus_novemcinctus ENSDNOG00000041362
ornithorhynchus_anatinus ENSOANG00000020974
latimeria_chalumnae ENSLACG00000015821
amphiprion_percula ENSAPEG00000005672
poecilia_formosa ENSPFOG00000009690
scophthalmus_maximus ENSSMAG00000006008
cynoglossus_semilaevis ENSCSEG00000004391
hippocampus_comes ENSHCOG00000010502
danio_rerio ENSDARG00000098915
paramormyrops_kingsleyae ENSPKIG00000007262
eptatretus_burgeri ENSEBUG00000009532
ciona_savignyi ENSCSAVG00000003064
ciona_intestinalis ENSCING00000005136
