bison_bison_bison ENSBBBG00000008790
bos_mutus ENSBMUG00000021349
bos_taurus ENSBTAG00000022449
capra_hircus ENSCHIG00000018012
ovis_aries ENSOARG00000001249
tursiops_truncatus ENSTTRG00000007627
vicugna_pacos ENSVPAG00000002426
myotis_lucifugus ENSMLUG00000001326
prolemur_simus ENSPSMG00000019517
propithecus_coquereli ENSPCOG00000024838
otolemur_garnettii ENSOGAG00000002504
ochotona_princeps ENSOPRG00000008300
callithrix_jacchus ENSCJAG00000039485
saimiri_boliviensis_boliviensis ENSSBOG00000035250
cebus_capucinus ENSCCAG00000033284
aotus_nancymaae ENSANAG00000031198
pan_troglodytes ENSPTRG00000016220
pan_paniscus ENSPPAG00000026350
homo_sapiens ENSG00000145284
gorilla_gorilla ENSGGOG00000005096
pongo_abelii ENSPPYG00000014889
nomascus_leucogenys ENSNLEG00000008733
macaca_mulatta ENSMMUG00000000866
macaca_nemestrina ENSMNEG00000001171
macaca_fascicularis ENSMFAG00000036661
theropithecus_gelada ENSTGEG00000010904
mandrillus_leucophaeus ENSMLEG00000024080
cercocebus_atys ENSCATG00000029718
papio_anubis ENSPANG00000025576
chlorocebus_sabaeus ENSCSAG00000004452
piliocolobus_tephrosceles ENSPTEG00000022045
colobus_angolensis_palliatus ENSCANG00000035375
rhinopithecus_roxellana ENSRROG00000038221
rhinopithecus_bieti ENSRBIG00000031257
tupaia_belangeri ENSTBEG00000013849
ailuropoda_melanoleuca ENSAMEG00000005113
ursus_maritimus ENSUMAG00000008694
neovison_vison ENSNVIG00000004692
mustela_putorius_furo ENSMPUG00000014729
canis_lupus_dingo ENSCAFG00020010695
canis_lupus_familiaris ENSCAFG00000028708
vulpes_vulpes ENSVVUG00000024647
panthera_tigris_altaica ENSPTIG00000016164
panthera_pardus ENSPPRG00000023212
felis_catus ENSFCAG00000026938
pteropus_vampyrus ENSPVAG00000016815
equus_caballus ENSECAG00000014698
equus_asinus_asinus ENSEASG00005016271
ursus_americanus ENSUAMG00000012730
sus_scrofa ENSSSCG00000009245
urocitellus_parryii ENSUPAG00010021690
mus_spicilegus ENSMSIG00000003017
loxodonta_africana ENSLAFG00000016552
procavia_capensis ENSPCAG00000002034
echinops_telfairi ENSETEG00000005753
choloepus_hoffmanni ENSCHOG00000004184
dasypus_novemcinctus ENSDNOG00000047400
spermophilus_dauricus ENSSDAG00000002467
ictidomys_tridecemlineatus ENSSTOG00000006758
marmota_marmota_marmota ENSMMMG00000005264
chinchilla_lanigera ENSCLAG00000009253
octodon_degus ENSODEG00000002091
cavia_porcellus ENSCPOG00000003242
cavia_aperea ENSCAPG00000013533
heterocephalus_glaber_female ENSHGLG00000014941
heterocephalus_glaber_male ENSHGLG00100002473
fukomys_damarensis ENSFDAG00000014542
jaculus_jaculus ENSJJAG00000023656
nannospalax_galili ENSNGAG00000014734
dipodomys_ordii ENSDORG00000015366
oryctolagus_cuniculus ENSOCUG00000005937
erinaceus_europaeus ENSEEUG00000011659
notamacropus_eugenii ENSMEUG00000008693
phascolarctos_cinereus ENSPCIG00000031650
monodelphis_domestica ENSMODG00000011983
chelonoidis_abingdonii ENSCABG00000004446
gopherus_agassizii ENSGAGG00000002069
chrysemys_picta_bellii ENSCPBG00000007982
pelodiscus_sinensis ENSPSIG00000016708
crocodylus_porosus ENSCPRG00005014907
pogona_vitticeps ENSPVIG00000015826
notechis_scutatus ENSNSUG00000001343
salvator_merianae ENSSMRG00000012906
sphenodon_punctatus ENSSPUG00000013754
lepidothrix_coronata ENSLCOG00000012586
melopsittacus_undulatus ENSMUNG00000013548
anser_brachyrhynchus ENSABRG00000015261
apteryx_haastii ENSAHAG00000007337
lonchura_striata_domestica ENSLSDG00000007279
taeniopygia_guttata ENSTGUG00000002833
ficedula_albicollis ENSFALG00000005689
junco_hyemalis ENSJHYG00000012312
parus_major ENSPMJG00000008889
gallus_gallus ENSGALG00000034502
coturnix_japonica ENSCJPG00005010044
numida_meleagris ENSNMEG00000018559
nothoprocta_perdicaria ENSNPEG00000009644
meleagris_gallopavo ENSMGAG00000008016
anas_platyrhynchos_platyrhynchos ENSAPLG00000010786
calidris_pygmaea ENSCPGG00000019169
calidris_pugnax ENSCPUG00000011966
serinus_canaria ENSSCAG00000014829
zonotrichia_albicollis ENSZALG00000016704
cyanistes_caeruleus ENSCCEG00000021342
manacus_vitellinus ENSMVIG00005009559
apteryx_owenii ENSAOWG00000008685
apteryx_rowi ENSARWG00000014655
dromaius_novaehollandiae ENSDNVG00000012667
latimeria_chalumnae ENSLACG00000002285
anas_platyrhynchos_platyrhynchos ENSAPLG00000019951
paramormyrops_kingsleyae ENSPKIG00000025520
scleropages_formosus ENSSFOG00015005830
pygocentrus_nattereri ENSPNAG00000016482
astyanax_mexicanus ENSAMXG00000036335
ictalurus_punctatus ENSIPUG00000024944
lepisosteus_oculatus ENSLOCG00000010712
eptatretus_burgeri ENSEBUG00000003421
