peromyscus_maniculatus_bairdii ENSPEMG00000014382
microtus_ochrogaster ENSMOCG00000013632
cricetulus_griseus_chok1gshd ENSCGRG00001007493
cricetulus_griseus_crigri ENSCGRG00000015584
cricetulus_griseus_crigri-picr ENSCGRG00015017047
mesocricetus_auratus ENSMAUG00000012631
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022144
mus_spicilegus ENSMSIG00000012288
mus_musculus ENSMUSG00000034039
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021233
mus_pahari MGP_PahariEiJ_G0023551
rattus_norvegicus ENSRNOG00000039405
meriones_unguiculatus ENSMUGG00000015747
nannospalax_galili ENSNGAG00000019360
rattus_norvegicus ENSRNOG00000028926
meriones_unguiculatus ENSMUGG00000015555
cricetulus_griseus_crigri-picr ENSCGRG00015017061
jaculus_jaculus ENSJJAG00000006993
dipodomys_ordii ENSDORG00000029349
chinchilla_lanigera ENSCLAG00000013616
octodon_degus ENSODEG00000015365
cavia_porcellus ENSCPOG00000030620
cavia_porcellus ENSCPOG00000037807
cavia_porcellus ENSCPOG00000033354
cavia_porcellus ENSCPOG00000038978
cavia_aperea ENSCAPG00000015066
cavia_porcellus ENSCPOG00000040644
fukomys_damarensis ENSFDAG00000015703
ictidomys_tridecemlineatus ENSSTOG00000000724
urocitellus_parryii ENSUPAG00010014138
spermophilus_dauricus ENSSDAG00000018170
marmota_marmota_marmota ENSMMMG00000016343
marmota_marmota_marmota ENSMMMG00000016356
papio_anubis ENSPANG00000009724
theropithecus_gelada ENSTGEG00000005729
piliocolobus_tephrosceles ENSPTEG00000036255
pongo_abelii ENSPPYG00000007694
pongo_abelii ENSPPYG00000007749
piliocolobus_tephrosceles ENSPTEG00000036109
chlorocebus_sabaeus ENSCSAG00000011780
aotus_nancymaae ENSANAG00000031562
macaca_nemestrina ENSMNEG00000044556
cercocebus_atys ENSCATG00000037735
mus_spicilegus ENSMSIG00000012265
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022143
mus_musculus ENSMUSG00000024171
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021232
mus_pahari MGP_PahariEiJ_G0023550
rattus_norvegicus ENSRNOG00000058976
cricetulus_griseus_crigri ENSCGRG00000018033
cricetulus_griseus_chok1gshd ENSCGRG00001017156
jaculus_jaculus ENSJJAG00000008115
ailuropoda_melanoleuca ENSAMEG00000007702
neovison_vison ENSNVIG00000018382
panthera_pardus ENSPPRG00000011646
panthera_pardus ENSPPRG00000007775
panthera_pardus ENSPPRG00000018653
felis_catus ENSFCAG00000004650
loxodonta_africana ENSLAFG00000007069
