denticeps_clupeoides ENSDCDG00000003237
clupea_harengus ENSCHAG00000012453
ictalurus_punctatus ENSIPUG00000013941
ictalurus_punctatus ENSIPUG00000013949
electrophorus_electricus ENSEEEG00000013919
pygocentrus_nattereri ENSPNAG00000001798
pygocentrus_nattereri ENSPNAG00000011539
astyanax_mexicanus ENSAMXG00005001373
astyanax_mexicanus ENSAMXG00000035948
danio_rerio ENSDARG00000109648
danio_rerio ENSDARG00000111882
danio_rerio ENSDARG00000104947
hucho_hucho ENSHHUG00000041574
esox_lucius ENSELUG00000011600
maylandia_zebra ENSMZEG00005015747
maylandia_zebra ENSMZEG00005015701
astatotilapia_calliptera ENSACLG00000002974
pundamilia_nyererei ENSPNYG00000003039
haplochromis_burtoni ENSHBUG00000010062
oreochromis_niloticus ENSONIG00000010861
neolamprologus_brichardi ENSNBRG00000021935
amphilophus_citrinellus ENSACIG00000008122
haplochromis_burtoni ENSHBUG00000010127
maylandia_zebra ENSMZEG00005015640
haplochromis_burtoni ENSHBUG00000010090
maylandia_zebra ENSMZEG00005026025
maylandia_zebra ENSMZEG00005015630
astatotilapia_calliptera ENSACLG00000003706
neolamprologus_brichardi ENSNBRG00000021907
astatotilapia_calliptera ENSACLG00000003700
maylandia_zebra ENSMZEG00005015712
pundamilia_nyererei ENSPNYG00000003125
maylandia_zebra ENSMZEG00005015732
astatotilapia_calliptera ENSACLG00000003001
pundamilia_nyererei ENSPNYG00000003095
neolamprologus_brichardi ENSNBRG00000006566
amphilophus_citrinellus ENSACIG00000012870
amphiprion_percula ENSAPEG00000010057
amphiprion_percula ENSAPEG00000010267
amphiprion_ocellaris ENSAOCG00000006982
amphiprion_ocellaris ENSAOCG00000024644
acanthochromis_polyacanthus ENSAPOG00000011139
stegastes_partitus ENSSPAG00000006915
parambassis_ranga ENSPRNG00000019140
gouania_willdenowi ENSGWIG00000011135
xiphophorus_maculatus ENSXMAG00000015894
xiphophorus_couchianus ENSXCOG00000020711
gambusia_affinis ENSGAFG00000021940
poecilia_formosa ENSPFOG00000005084
poecilia_mexicana ENSPMEG00000015283
poecilia_latipinna ENSPLAG00000007714
poecilia_reticulata ENSPREG00000002807
fundulus_heteroclitus ENSFHEG00000000782
cyprinodon_variegatus ENSCVAG00000008518
kryptolebias_marmoratus ENSKMAG00000005996
xiphophorus_couchianus ENSXCOG00000020714
xiphophorus_maculatus ENSXMAG00000025086
gambusia_affinis ENSGAFG00000021942
poecilia_formosa ENSPFOG00000005029
poecilia_mexicana ENSPMEG00000015300
poecilia_latipinna ENSPLAG00000007736
poecilia_reticulata ENSPREG00000002818
fundulus_heteroclitus ENSFHEG00000021182
kryptolebias_marmoratus ENSKMAG00000015861
oryzias_latipes ENSORLG00020007210
oryzias_latipes ENSORLG00000019168
oryzias_latipes ENSORLG00015022230
oryzias_melastigma ENSOMEG00000009761
larimichthys_crocea ENSLCRG00005015855
larimichthys_crocea ENSLCRG00005015845
tetraodon_nigroviridis ENSTNIG00000000397
takifugu_rubripes ENSTRUG00000000735
cottoperca_gobio ENSCGOG00000008654
monopterus_albus ENSMALG00000022028
monopterus_albus ENSMALG00000022001
mastacembelus_armatus ENSMAMG00000013703
anabas_testudineus ENSATEG00000007450
betta_splendens ENSBSLG00000011223
seriola_dumerili ENSSDUG00000019820
seriola_lalandi ENSSLDG00000001714
lates_calcarifer ENSLCAG00010008752
cynoglossus_semilaevis ENSCSEG00000002072
hippocampus_comes ENSHCOG00000016674
periophthalmus_magnuspinnatus ENSPMGG00000009187
scleropages_formosus ENSSFOG00015023731
lepisosteus_oculatus ENSLOCG00000003434
lepisosteus_oculatus ENSLOCG00000003400
