amphiprion_ocellaris ENSAOCG00000001896
amphiprion_percula ENSAPEG00000013346
acanthochromis_polyacanthus ENSAPOG00000003845
stegastes_partitus ENSSPAG00000003355
astatotilapia_calliptera ENSACLG00000012246
maylandia_zebra ENSMZEG00005017144
haplochromis_burtoni ENSHBUG00000005925
maylandia_zebra ENSMZEG00005017133
astatotilapia_calliptera ENSACLG00000012252
pundamilia_nyererei ENSPNYG00000000523
neolamprologus_brichardi ENSNBRG00000021587
oreochromis_niloticus ENSONIG00000002164
astatotilapia_calliptera ENSACLG00000012232
neolamprologus_brichardi ENSNBRG00000000449
amphilophus_citrinellus ENSACIG00000011876
amphilophus_citrinellus ENSACIG00000014840
amphilophus_citrinellus ENSACIG00000015206
amphilophus_citrinellus ENSACIG00000015214
amphilophus_citrinellus ENSACIG00000015224
maylandia_zebra ENSMZEG00005017234
maylandia_zebra ENSMZEG00005017611
astatotilapia_calliptera ENSACLG00000013152
astatotilapia_calliptera ENSACLG00000012476
amphilophus_citrinellus ENSACIG00000014861
amphilophus_citrinellus ENSACIG00000014871
maylandia_zebra ENSMZEG00005017604
astatotilapia_calliptera ENSACLG00000012481
neolamprologus_brichardi ENSNBRG00000006847
fundulus_heteroclitus ENSFHEG00000021723
cyprinodon_variegatus ENSCVAG00000009444
poecilia_mexicana ENSPMEG00000010292
poecilia_latipinna ENSPLAG00000015358
poecilia_formosa ENSPFOG00000002867
poecilia_reticulata ENSPREG00000016808
xiphophorus_maculatus ENSXMAG00000025312
xiphophorus_maculatus ENSXMAG00000023315
kryptolebias_marmoratus ENSKMAG00000021191
kryptolebias_marmoratus ENSKMAG00000019220
