pogona_vitticeps ENSPVIG00000009115
anolis_carolinensis ENSACAG00000015591
notechis_scutatus ENSNSUG00000013322
salvator_merianae ENSSMRG00000017071
sphenodon_punctatus ENSSPUG00000016430
chelonoidis_abingdonii ENSCABG00000004220
gopherus_agassizii ENSGAGG00000004289
chrysemys_picta_bellii ENSCPBG00000005251
pelodiscus_sinensis ENSPSIG00000006977
coturnix_japonica ENSCJPG00005001991
loxodonta_africana ENSLAFG00000027937
procavia_capensis ENSPCAG00000009279
echinops_telfairi ENSETEG00000019326
bos_mutus ENSBMUG00000026023
bos_taurus ENSBTAG00000014712
bison_bison_bison ENSBBBG00000020882
capra_hircus ENSCHIG00000023189
ovis_aries ENSOARG00000006233
tursiops_truncatus ENSTTRG00000010335
sus_scrofa ENSSSCG00000038079
ursus_americanus ENSUAMG00000026460
ailuropoda_melanoleuca ENSAMEG00000006916
neovison_vison ENSNVIG00000015434
mustela_putorius_furo ENSMPUG00000006553
canis_lupus_familiaris ENSCAFG00000018696
canis_lupus_dingo ENSCAFG00020019094
vulpes_vulpes ENSVVUG00000026895
felis_catus ENSFCAG00000012509
pteropus_vampyrus ENSPVAG00000007243
erinaceus_europaeus ENSEEUG00000004528
myotis_lucifugus ENSMLUG00000007981
sorex_araneus ENSSARG00000011285
equus_caballus ENSECAG00000023054
equus_asinus_asinus ENSEASG00005023108
neovison_vison ENSNVIG00000015472
colobus_angolensis_palliatus ENSCANG00000042603
mandrillus_leucophaeus ENSMLEG00000022592
papio_anubis ENSPANG00000003085
cercocebus_atys ENSCATG00000032343
theropithecus_gelada ENSTGEG00000019257
macaca_mulatta ENSMMUG00000028914
chlorocebus_sabaeus ENSCSAG00000009679
piliocolobus_tephrosceles ENSPTEG00000026442
piliocolobus_tephrosceles ENSPTEG00000024223
rhinopithecus_bieti ENSRBIG00000032364
rhinopithecus_roxellana ENSRROG00000042048
colobus_angolensis_palliatus ENSCANG00000040148
pan_paniscus ENSPPAG00000041016
pan_troglodytes ENSPTRG00000010359
homo_sapiens ENSG00000125656
pongo_abelii ENSPPYG00000009449
cebus_capucinus ENSCCAG00000037133
saimiri_boliviensis_boliviensis ENSSBOG00000036193
cebus_capucinus ENSCCAG00000034236
aotus_nancymaae ENSANAG00000025005
callithrix_jacchus ENSCJAG00000046904
saimiri_boliviensis_boliviensis ENSSBOG00000033605
aotus_nancymaae ENSANAG00000030478
carlito_syrichta ENSTSYG00000002878
propithecus_coquereli ENSPCOG00000027215
prolemur_simus ENSPSMG00000001190
microcebus_murinus ENSMICG00000035515
microcebus_murinus ENSMICG00000043615
microcebus_murinus ENSMICG00000006284
otolemur_garnettii ENSOGAG00000028227
heterocephalus_glaber_female ENSHGLG00000010702
heterocephalus_glaber_male ENSHGLG00100000755
fukomys_damarensis ENSFDAG00000005781
castor_canadensis ENSCCNG00000025869
cricetulus_griseus_chok1gshd ENSCGRG00001019808
cricetulus_griseus_crigri ENSCGRG00000009757
cricetulus_griseus_crigri-picr ENSCGRG00015001822
mesocricetus_auratus ENSMAUG00000021469
peromyscus_maniculatus_bairdii ENSPEMG00000009546
microtus_ochrogaster ENSMOCG00000015784
mus_musculus ENSMUSG00000002660
mus_spicilegus ENSMSIG00000022008
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022707
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021796
mus_pahari MGP_PahariEiJ_G0020785
rattus_norvegicus ENSRNOG00000047052
meriones_unguiculatus ENSMUGG00000006343
nannospalax_galili ENSNGAG00000020943
marmota_marmota_marmota ENSMMMG00000019216
ictidomys_tridecemlineatus ENSSTOG00000028013
chinchilla_lanigera ENSCLAG00000009974
octodon_degus ENSODEG00000015485
cavia_porcellus ENSCPOG00000013954
