maylandia_zebra ENSMZEG00005028053
astatotilapia_calliptera ENSACLG00000021201
haplochromis_burtoni ENSHBUG00000004633
pundamilia_nyererei ENSPNYG00000007215
oreochromis_niloticus ENSONIG00000001806
amphilophus_citrinellus ENSACIG00000006612
xiphophorus_couchianus ENSXCOG00000002472
xiphophorus_maculatus ENSXMAG00000022411
poecilia_formosa ENSPFOG00000012405
poecilia_mexicana ENSPMEG00000011574
poecilia_latipinna ENSPLAG00000011464
poecilia_reticulata ENSPREG00000016743
gambusia_affinis ENSGAFG00000014086
fundulus_heteroclitus ENSFHEG00000006257
cyprinodon_variegatus ENSCVAG00000021490
kryptolebias_marmoratus ENSKMAG00000022156
oryzias_latipes ENSORLG00020022260
oryzias_latipes_asm223469v1 ENSORLG00015020092
oryzias_latipes ENSORLG00000024730
oryzias_melastigma ENSOMEG00000012645
hippocampus_comes ENSHCOG00000020307
monopterus_albus ENSMALG00000014989
anabas_testudineus ENSATEG00000008450
labrus_bergylta ENSLBEG00000005369
seriola_dumerili ENSSDUG00000001818
seriola_lalandi_dorsalis ENSSLDG00000016325
takifugu_rubripes ENSTRUG00000019915
tetraodon_nigroviridis ENSTNIG00000015522
mola_mola ENSMMOG00000019678
gasterosteus_aculeatus ENSGACG00000010398
scophthalmus_maximus ENSSMAG00000004298
mastacembelus_armatus ENSMAMG00000005364
cynoglossus_semilaevis ENSCSEG00000014883
amphiprion_percula ENSAPEG00000024492
amphiprion_percula ENSAPEG00000024511
amphiprion_ocellaris ENSAOCG00000011298
acanthochromis_polyacanthus ENSAPOG00000015737
stegastes_partitus ENSSPAG00000015296
ictalurus_punctatus ENSIPUG00000024713
pygocentrus_nattereri ENSPNAG00000010177
gadus_morhua ENSGMOG00000013337
periophthalmus_magnuspinnatus ENSPMGG00000006462
esox_lucius ENSELUG00000021656
danio_rerio ENSDARG00000058297
scleropages_formosus ENSSFOG00015006900
lepisosteus_oculatus ENSLOCG00000004301
equus_asinus_asinus ENSEASG00005022009
equus_caballus ENSECAG00000010820
bos_mutus ENSBMUG00000013464
bos_taurus ENSBTAG00000013623
bison_bison_bison ENSBBBG00000023974
capra_hircus ENSCHIG00000003337
macaca_fascicularis ENSMFAG00000033995
macaca_mulatta ENSMMUG00000038861
macaca_nemestrina ENSMNEG00000041650
chlorocebus_sabaeus ENSCSAG00000011577
mandrillus_leucophaeus ENSMLEG00000041415
cercocebus_atys ENSCATG00000011673
papio_anubis ENSPANG00000008910
theropithecus_gelada ENSTGEG00000013140
rhinopithecus_roxellana ENSRROG00000043435
rhinopithecus_bieti ENSRBIG00000033963
colobus_angolensis_palliatus ENSCANG00000033968
piliocolobus_tephrosceles ENSPTEG00000027467
homo_sapiens ENSG00000099800
gorilla_gorilla ENSGGOG00000003459
pan_troglodytes ENSPTRG00000010237
pan_paniscus ENSPPAG00000035656
pongo_abelii ENSPPYG00000009352
nomascus_leucogenys ENSNLEG00000028772
saimiri_boliviensis_boliviensis ENSSBOG00000021092
callithrix_jacchus ENSCJAG00000013577
cebus_capucinus ENSCCAG00000029801
aotus_nancymaae ENSANAG00000024807
prolemur_simus ENSPSMG00000008997
propithecus_coquereli ENSPCOG00000023149
microcebus_murinus ENSMICG00000026616
castor_canadensis ENSCCNG00000008728
mustela_putorius_furo ENSMPUG00000006881
neovison_vison ENSNVIG00000005354
ursus_americanus ENSUAMG00000000682
canis_lupus_dingo ENSCAFG00020018192
vulpes_vulpes ENSVVUG00000002756
felis_catus ENSFCAG00000044321
panthera_pardus ENSPPRG00000011511
myotis_lucifugus ENSMLUG00000014659
sus_scrofa ENSSSCG00000022757
tursiops_truncatus ENSTTRG00000015722
dipodomys_ordii ENSDORG00000015661
echinops_telfairi ENSETEG00000016259
