theropithecus_gelada ENSTGEG00000000985
macaca_mulatta ENSMMUG00000044579
callithrix_jacchus ENSCJAG00000048482
carlito_syrichta ENSTSYG00000035238
propithecus_coquereli ENSPCOG00000013878
microcebus_murinus ENSMICG00000029180
prolemur_simus ENSPSMG00000013454
otolemur_garnettii ENSOGAG00000030900
fukomys_damarensis ENSFDAG00000013350
octodon_degus ENSODEG00000009454
ictidomys_tridecemlineatus ENSSTOG00000033959
cricetulus_griseus_crigri ENSCGRG00000016927
cricetulus_griseus_chok1gshd ENSCGRG00001019730
mesocricetus_auratus ENSMAUG00000013883
microtus_ochrogaster ENSMOCG00000018602
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027294
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026322
mus_pahari MGP_PahariEiJ_G0028654
nannospalax_galili ENSNGAG00000023728
jaculus_jaculus ENSJJAG00000002968
equus_asinus_asinus ENSEASG00005004883
tursiops_truncatus ENSTTRG00000010461
panthera_tigris_altaica ENSPTIG00000008891
panthera_pardus ENSPPRG00000012186
neovison_vison ENSNVIG00000019682
