notechis_scutatus ENSNSUG00000003109
pogona_vitticeps ENSPVIG00000025675
salvator_merianae ENSSMRG00000011585
apteryx_rowi ENSARWG00000006739
apteryx_haastii ENSAHAG00000012126
apteryx_owenii ENSAOWG00000000756
dromaius_novaehollandiae ENSDNVG00000002931
nothoprocta_perdicaria ENSNPEG00000004628
junco_hyemalis ENSJHYG00000016693
zonotrichia_albicollis ENSZALG00000010956
serinus_canaria ENSSCAG00000010709
taeniopygia_guttata ENSTGUG00000002411
lonchura_striata_domestica ENSLSDG00000014763
parus_major ENSPMJG00000015157
cyanistes_caeruleus ENSCCEG00000023090
ficedula_albicollis ENSFALG00000014592
manacus_vitellinus ENSMVIG00005009541
lepidothrix_coronata ENSLCOG00000003129
melopsittacus_undulatus ENSMUNG00000012119
calidris_pygmaea ENSCPGG00000005225
calidris_pugnax ENSCPUG00000007972
gallus_gallus ENSGALG00000034975
coturnix_japonica ENSCJPG00005015784
meleagris_gallopavo ENSMGAG00000001168
numida_meleagris ENSNMEG00000022783
anas_platyrhynchos_platyrhynchos ENSAPLG00000001927
crocodylus_porosus ENSCPRG00005011058
chelonoidis_abingdonii ENSCABG00000001501
gopherus_agassizii ENSGAGG00000023963
chrysemys_picta_bellii ENSCPBG00000010756
sphenodon_punctatus ENSSPUG00000011762
bos_mutus ENSBMUG00000000680
bos_taurus ENSBTAG00000046516
bison_bison_bison ENSBBBG00000007795
capra_hircus ENSCHIG00000010111
sus_scrofa ENSSSCG00000037554
ursus_americanus ENSUAMG00000022642
ailuropoda_melanoleuca ENSAMEG00000013461
canis_lupus_familiaris ENSCAFG00000019526
canis_lupus_dingo ENSCAFG00020002975
vulpes_vulpes ENSVVUG00000025820
mustela_putorius_furo ENSMPUG00000010818
neovison_vison ENSNVIG00000010583
felis_catus ENSFCAG00000044182
panthera_pardus ENSPPRG00000007382
equus_caballus ENSECAG00000016839
equus_asinus_asinus ENSEASG00005017390
mus_spicilegus ENSMSIG00000022998
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024190
mus_musculus ENSMUSG00000036587
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023273
mus_pahari MGP_PahariEiJ_G0024731
rattus_norvegicus ENSRNOG00000014156
meriones_unguiculatus ENSMUGG00000006568
peromyscus_maniculatus_bairdii ENSPEMG00000014626
microtus_ochrogaster ENSMOCG00000017536
cricetulus_griseus_crigri-picr ENSCGRG00015007474
