neovison_vison ENSNVIG00000003890
mustela_putorius_furo ENSMPUG00000010143
ursus_americanus ENSUAMG00000001071
ursus_maritimus ENSUMAG00000000643
canis_lupus_familiaris ENSCAFG00000024181
canis_lupus_dingo ENSCAFG00020009058
vulpes_vulpes ENSVVUG00000015596
panthera_tigris_altaica ENSPTIG00000020232
panthera_pardus ENSPPRG00000017139
felis_catus ENSFCAG00000046464
myotis_lucifugus ENSMLUG00000029648
vicugna_pacos ENSVPAG00000000577
sus_scrofa ENSSSCG00000036777
bos_mutus ENSBMUG00000007910
bos_taurus ENSBTAG00000039178
bison_bison_bison ENSBBBG00000008127
bos_mutus ENSBMUG00000007965
capra_hircus ENSCHIG00000020145
bos_taurus ENSBTAG00000037751
bison_bison_bison ENSBBBG00000005647
capra_hircus ENSCHIG00000007292
capra_hircus ENSCHIG00000026687
ovis_aries ENSOARG00000019130
equus_asinus_asinus ENSEASG00005001190
equus_caballus ENSECAG00000030768
equus_asinus_asinus ENSEASG00005001203
equus_caballus ENSECAG00000031449
theropithecus_gelada ENSTGEG00000022331
piliocolobus_tephrosceles ENSPTEG00000015211
carlito_syrichta ENSTSYG00000001042
carlito_syrichta ENSTSYG00000002413
dasypus_novemcinctus ENSDNOG00000024511
