piliocolobus_tephrosceles ENSPTEG00000037800
theropithecus_gelada ENSTGEG00000022175
prolemur_simus ENSPSMG00000024542
mus_spicilegus ENSMSIG00000004494
rattus_norvegicus ENSRNOG00000038087
meriones_unguiculatus ENSMUGG00000002562
microtus_ochrogaster ENSMOCG00000000161
microtus_ochrogaster ENSMOCG00000010102
mesocricetus_auratus ENSMAUG00000019605
castor_canadensis ENSCCNG00000031616
urocitellus_parryii ENSUPAG00010021483
sus_scrofa ENSSSCG00000035767
bos_taurus ENSBTAG00000054722
equus_caballus ENSECAG00000031599
equus_asinus_asinus ENSEASG00005014234
ursus_americanus ENSUAMG00000023169
neovison_vison ENSNVIG00000009418
vulpes_vulpes ENSVVUG00000002998
canis_lupus_dingo ENSCAFG00020001778
panthera_pardus ENSPPRG00000005594
felis_catus ENSFCAG00000043918
phascolarctos_cinereus ENSPCIG00000007640
sphenodon_punctatus ENSSPUG00000002682
pogona_vitticeps ENSPVIG00000018370
chelonoidis_abingdonii ENSCABG00000013510
gopherus_agassizii ENSGAGG00000000296
chrysemys_picta_bellii ENSCPBG00000004872
