vicugna_pacos ENSVPAG00000007483
tursiops_truncatus ENSTTRG00000014509
sus_scrofa ENSSSCG00000006471
capra_hircus ENSCHIG00000024024
ovis_aries ENSOARG00000006234
bos_mutus ENSBMUG00000015564
bos_taurus ENSBTAG00000001518
bison_bison_bison ENSBBBG00000016467
equus_caballus ENSECAG00000015891
equus_asinus_asinus ENSEASG00005018271
ursus_maritimus ENSUMAG00000017767
ursus_americanus ENSUAMG00000013421
ailuropoda_melanoleuca ENSAMEG00000014923
neovison_vison ENSNVIG00000021054
mustela_putorius_furo ENSMPUG00000004066
canis_lupus_familiaris ENSCAFG00000016753
canis_lupus_dingo ENSCAFG00020005209
vulpes_vulpes ENSVVUG00000006071
panthera_tigris_altaica ENSPTIG00000020421
panthera_pardus ENSPPRG00000017476
felis_catus ENSFCAG00000006559
pteropus_vampyrus ENSPVAG00000007510
carlito_syrichta ENSTSYG00000035073
chlorocebus_sabaeus ENSCSAG00000002782
otolemur_garnettii ENSOGAG00000016818
macaca_mulatta ENSMMUG00000000037
macaca_fascicularis ENSMFAG00000044153
macaca_nemestrina ENSMNEG00000038472
papio_anubis ENSPANG00000019805
theropithecus_gelada ENSTGEG00000002024
cercocebus_atys ENSCATG00000003077
mandrillus_leucophaeus ENSMLEG00000027957
chlorocebus_sabaeus ENSCSAG00000002177
piliocolobus_tephrosceles ENSPTEG00000013423
colobus_angolensis_palliatus ENSCANG00000034018
rhinopithecus_bieti ENSRBIG00000034100
rhinopithecus_roxellana ENSRROG00000036240
colobus_angolensis_palliatus ENSCANG00000032356
rhinopithecus_bieti ENSRBIG00000030897
macaca_fascicularis ENSMFAG00000032348
macaca_mulatta ENSMMUG00000044752
macaca_nemestrina ENSMNEG00000005740
cercocebus_atys ENSCATG00000044219
mandrillus_leucophaeus ENSMLEG00000040730
papio_anubis ENSPANG00000024433
pan_troglodytes ENSPTRG00000001471
pan_paniscus ENSPPAG00000031075
homo_sapiens ENSG00000143319
