calidris_pugnax ENSCPUG00000000432
calidris_pygmaea ENSCPGG00000019038
melopsittacus_undulatus ENSMUNG00000000346
numida_meleagris ENSNMEG00000014839
gallus_gallus ENSGALG00000052015
anser_brachyrhynchus ENSABRG00000014842
lonchura_striata_domestica ENSLSDG00000016827
serinus_canaria ENSSCAG00000005978
junco_hyemalis ENSJHYG00000009595
zonotrichia_albicollis ENSZALG00000002425
lepidothrix_coronata ENSLCOG00000009780
manacus_vitellinus ENSMVIG00005005206
parus_major ENSPMJG00000013581
coturnix_japonica ENSCJPG00005007489
apteryx_owenii ENSAOWG00000002213
apteryx_rowi ENSARWG00000003908
apteryx_haastii ENSAHAG00000017250
nothoprocta_perdicaria ENSNPEG00000013052
crocodylus_porosus ENSCPRG00005000233
pogona_vitticeps ENSPVIG00000002597
notechis_scutatus ENSNSUG00000012935
salvator_merianae ENSSMRG00000018586
sphenodon_punctatus ENSSPUG00000015077
chelonoidis_abingdonii ENSCABG00000001651
chrysemys_picta_bellii ENSCPBG00000015493
esox_lucius ENSELUG00000021187
