amphiprion_ocellaris ENSAOCG00000004322
acanthochromis_polyacanthus ENSAPOG00000012406
haplochromis_burtoni ENSHBUG00000002323
astatotilapia_calliptera ENSACLG00000004796
xiphophorus_maculatus ENSXMAG00000029247
poecilia_formosa ENSPFOG00000021673
monopterus_albus ENSMALG00000008589
pygocentrus_nattereri ENSPNAG00000017228
scleropages_formosus ENSSFOG00015000082
lepisosteus_oculatus ENSLOCG00000013842
pelodiscus_sinensis ENSPSIG00000013550
gallus_gallus ENSGALG00000051132
salvator_merianae ENSSMRG00000010275
monodelphis_domestica ENSMODG00000028449
mustela_putorius_furo ENSMPUG00000017458
ciona_intestinalis ENSCING00000011699
