astatotilapia_calliptera ENSACLG00000010588
maylandia_zebra ENSMZEG00005012140
danio_rerio ENSDARG00000094163
astyanax_mexicanus ENSAMXG00000030287
pelodiscus_sinensis ENSPSIG00000009812
anolis_carolinensis ENSACAG00000026845
sarcophilus_harrisii ENSSHAG00000013158
calidris_pygmaea ENSCPGG00000006321
calidris_pugnax ENSCPUG00000000514
melopsittacus_undulatus ENSMUNG00000003589
gallus_gallus ENSGALG00000042908
meleagris_gallopavo ENSMGAG00000001071
coturnix_japonica ENSCJPG00005008014
numida_meleagris ENSNMEG00000003754
anas_platyrhynchos_platyrhynchos ENSAPLG00000023315
apteryx_owenii ENSAOWG00000004657
apteryx_haastii ENSAHAG00000000931
apteryx_rowi ENSARWG00000012196
dromaius_novaehollandiae ENSDNVG00000016561
nothoprocta_perdicaria ENSNPEG00000015371
manacus_vitellinus ENSMVIG00005019468
lepidothrix_coronata ENSLCOG00000012070
cyanistes_caeruleus ENSCCEG00000008398
zonotrichia_albicollis ENSZALG00000002722
taeniopygia_guttata ENSTGUG00000014204
ficedula_albicollis ENSFALG00000001959
chelonoidis_abingdonii ENSCABG00000004124
gadus_morhua ENSGMOG00000003100
lepisosteus_oculatus ENSLOCG00000017398
eptatretus_burgeri ENSEBUG00000003474
