apteryx_haastii ENSAHAG00000005010
apteryx_owenii ENSAOWG00000001855
apteryx_rowi ENSARWG00000003763
dromaius_novaehollandiae ENSDNVG00000002183
nothoprocta_perdicaria ENSNPEG00000000807
junco_hyemalis ENSJHYG00000016507
zonotrichia_albicollis ENSZALG00000007038
serinus_canaria ENSSCAG00000002023
taeniopygia_guttata ENSTGUG00000009575
lonchura_striata_domestica ENSLSDG00000007445
ficedula_albicollis ENSFALG00000009223
parus_major ENSPMJG00000016326
cyanistes_caeruleus ENSCCEG00000022832
lepidothrix_coronata ENSLCOG00000009942
manacus_vitellinus ENSMVIG00005004899
melopsittacus_undulatus ENSMUNG00000016101
calidris_pygmaea ENSCPGG00000012555
calidris_pugnax ENSCPUG00000019288
anas_platyrhynchos_platyrhynchos ENSAPLG00000009781
anser_brachyrhynchus ENSABRG00000014700
gallus_gallus ENSGALG00000041121
coturnix_japonica ENSCJPG00005018391
meleagris_gallopavo ENSMGAG00000012515
numida_meleagris ENSNMEG00000019180
crocodylus_porosus ENSCPRG00005004729
anolis_carolinensis ENSACAG00000001304
pogona_vitticeps ENSPVIG00000020285
salvator_merianae ENSSMRG00000001324
notechis_scutatus ENSNSUG00000010664
anolis_carolinensis ENSACAG00000025485
chelonoidis_abingdonii ENSCABG00000006833
gopherus_agassizii ENSGAGG00000011388
chrysemys_picta_bellii ENSCPBG00000027876
pelodiscus_sinensis ENSPSIG00000014009
sphenodon_punctatus ENSSPUG00000004063
phascolarctos_cinereus ENSPCIG00000001602
notamacropus_eugenii ENSMEUG00000008236
monodelphis_domestica ENSMODG00000000731
sarcophilus_harrisii ENSSHAG00000018310
chinchilla_lanigera ENSCLAG00000001413
octodon_degus ENSODEG00000011554
heterocephalus_glaber_female ENSHGLG00000010533
heterocephalus_glaber_male ENSHGLG00100002551
fukomys_damarensis ENSFDAG00000002280
cavia_porcellus ENSCPOG00000011787
cavia_aperea ENSCAPG00000004930
ictidomys_tridecemlineatus ENSSTOG00000009778
spermophilus_dauricus ENSSDAG00000004403
urocitellus_parryii ENSUPAG00010017541
marmota_marmota_marmota ENSMMMG00000016769
castor_canadensis ENSCCNG00000014190
dipodomys_ordii ENSDORG00000000584
mus_spicilegus ENSMSIG00000002267
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028204
mus_musculus ENSMUSG00000031558
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027208
mus_pahari MGP_PahariEiJ_G0016990
rattus_norvegicus ENSRNOG00000003840
meriones_unguiculatus ENSMUGG00000015776
cricetulus_griseus_crigri-picr ENSCGRG00015018506
cricetulus_griseus_chok1gshd ENSCGRG00001021922
mesocricetus_auratus ENSMAUG00000011068
peromyscus_maniculatus_bairdii ENSPEMG00000001202
microtus_ochrogaster ENSMOCG00000012614
nannospalax_galili ENSNGAG00000003380
jaculus_jaculus ENSJJAG00000018613
oryctolagus_cuniculus ENSOCUG00000009517
ochotona_princeps ENSOPRG00000009500
theropithecus_gelada ENSTGEG00000027693
