sus_scrofa ENSSSCG00000033312
ursus_americanus ENSUAMG00000018119
mandrillus_leucophaeus ENSMLEG00000033942
papio_anubis ENSPANG00000033449
piliocolobus_tephrosceles ENSPTEG00000008438
propithecus_coquereli ENSPCOG00000020970
meriones_unguiculatus ENSMUGG00000016865
castor_canadensis ENSCCNG00000006510
urocitellus_parryii ENSUPAG00010012333
spermophilus_dauricus ENSSDAG00000002604
sphenodon_punctatus ENSSPUG00000009167
notechis_scutatus ENSNSUG00000012357
melopsittacus_undulatus ENSMUNG00000004635
anas_platyrhynchos_platyrhynchos ENSAPLG00000017613
serinus_canaria ENSSCAG00000006134
apteryx_haastii ENSAHAG00000008821
apteryx_owenii ENSAOWG00000000539
apteryx_rowi ENSARWG00000005228
nothoprocta_perdicaria ENSNPEG00000015395
chelonoidis_abingdonii ENSCABG00000004790
poecilia_mexicana ENSPMEG00000020160
mola_mola ENSMMOG00000017908
