ciona_savignyi ENSCSAVG00000010920
ciona_intestinalis ENSCING00000002854
clupea_harengus ENSCHAG00000000540
denticeps_clupeoides ENSDCDG00000009597
astyanax_mexicanus ENSAMXG00000032417
astyanax_mexicanus ENSAMXG00005024526
pygocentrus_nattereri ENSPNAG00000018784
electrophorus_electricus ENSEEEG00000007447
ictalurus_punctatus ENSIPUG00000008472
danio_rerio ENSDARG00000098208
cottoperca_gobio ENSCGOG00000023913
gasterosteus_aculeatus ENSGACG00000010637
larimichthys_crocea ENSLCRG00005011190
labrus_bergylta ENSLBEG00000021085
mastacembelus_armatus ENSMAMG00000020815
mastacembelus_armatus ENSMAMG00000020810
mastacembelus_armatus ENSMAMG00000020800
monopterus_albus ENSMALG00000000852
monopterus_albus ENSMALG00000000912
anabas_testudineus ENSATEG00000023995
anabas_testudineus ENSATEG00000023999
betta_splendens ENSBSLG00000006240
lates_calcarifer ENSLCAG00010026424
scophthalmus_maximus ENSSMAG00000001524
seriola_lalandi ENSSLDG00000004109
seriola_dumerili ENSSDUG00000014353
astatotilapia_calliptera ENSACLG00000023131
maylandia_zebra ENSMZEG00005021556
haplochromis_burtoni ENSHBUG00000004549
pundamilia_nyererei ENSPNYG00000009224
oreochromis_niloticus ENSONIG00000002023
neolamprologus_brichardi ENSNBRG00000021561
amphilophus_citrinellus ENSACIG00000005311
kryptolebias_marmoratus ENSKMAG00000012549
parambassis_ranga ENSPRNG00000007336
gouania_willdenowi ENSGWIG00000009860
xiphophorus_couchianus ENSXCOG00000010884
xiphophorus_maculatus ENSXMAG00000012910
gambusia_affinis ENSGAFG00000003638
poecilia_formosa ENSPFOG00000022988
poecilia_mexicana ENSPMEG00000021076
poecilia_latipinna ENSPLAG00000002475
poecilia_reticulata ENSPREG00000003957
cyprinodon_variegatus ENSCVAG00000008869
fundulus_heteroclitus ENSFHEG00000014286
oryzias_latipes ENSORLG00020001200
oryzias_latipes ENSORLG00000007217
oryzias_latipes ENSORLG00015011850
oryzias_melastigma ENSOMEG00000007118
amphiprion_percula ENSAPEG00000005619
amphiprion_ocellaris ENSAOCG00000021055
acanthochromis_polyacanthus ENSAPOG00000011215
acanthochromis_polyacanthus ENSAPOG00000016102
acanthochromis_polyacanthus ENSAPOG00000016224
stegastes_partitus ENSSPAG00000011008
tetraodon_nigroviridis ENSTNIG00000010431
takifugu_rubripes ENSTRUG00000011324
mola_mola ENSMMOG00000011092
cynoglossus_semilaevis ENSCSEG00000008928
periophthalmus_magnuspinnatus ENSPMGG00000008586
hippocampus_comes ENSHCOG00000008415
gadus_morhua ENSGMOG00000009579
gadus_morhua ENSGMOG00000007518
esox_lucius ENSELUG00000011943
esox_lucius ENSELUG00000011891
hucho_hucho ENSHHUG00000024209
paramormyrops_kingsleyae ENSPKIG00000017883
scleropages_formosus ENSSFOG00015017265
lepisosteus_oculatus ENSLOCG00000014013
erpetoichthys_calabaricus ENSECRG00000023001
propithecus_coquereli ENSPCOG00000014619
microcebus_murinus ENSMICG00000038225
prolemur_simus ENSPSMG00000017168
otolemur_garnettii ENSOGAG00000001037
oryctolagus_cuniculus ENSOCUG00000017059
ochotona_princeps ENSOPRG00000010696
chinchilla_lanigera ENSCLAG00000006908
octodon_degus ENSODEG00000012467
cavia_porcellus ENSCPOG00000010417
cavia_aperea ENSCAPG00000011822
heterocephalus_glaber ENSHGLG00000011397
heterocephalus_glaber ENSHGLG00100014489
fukomys_damarensis ENSFDAG00000006388
myotis_lucifugus ENSMLUG00000013652
pteropus_vampyrus ENSPVAG00000011227
erinaceus_europaeus ENSEEUG00000014557
sorex_araneus ENSSARG00000001829
canis_lupus ENSCAFG00000013036
canis_lupus ENSCAFG00020013682
vulpes_vulpes ENSVVUG00000005468
mustela_putorius ENSMPUG00000010888
neovison_vison ENSNVIG00000023652
ailuropoda_melanoleuca ENSAMEG00000001278
ursus_maritimus ENSUMAG00000017760
panthera_pardus ENSPPRG00000009182
panthera_tigris ENSPTIG00000015347
felis_catus ENSFCAG00000011843
ovis_aries ENSOARG00000016300
capra_hircus ENSCHIG00000024593
bos_indicus ENSBIXG00000014905
bos_indicus ENSBIXG00005017059
bos_taurus ENSBTAG00000015390
bos_mutus ENSBMUG00000009449
bison_bison ENSBBBG00000003668
tursiops_truncatus ENSTTRG00000003641
sus_scrofa ENSSSCG00000017134
equus_asinus ENSEASG00005008596
equus_caballus ENSECAG00000013625
rhinopithecus_roxellana ENSRROG00000044019
rhinopithecus_bieti ENSRBIG00000037319
piliocolobus_tephrosceles ENSPTEG00000015732
colobus_angolensis ENSCANG00000043359
papio_anubis ENSPANG00000018800
theropithecus_gelada ENSTGEG00000012569
cercocebus_atys ENSCATG00000037598
mandrillus_leucophaeus ENSMLEG00000043795
chlorocebus_sabaeus ENSCSAG00000002092
macaca_fascicularis ENSMFAG00000039659
macaca_mulatta ENSMMUG00000014660
macaca_nemestrina ENSMNEG00000034521
gorilla_gorilla ENSGGOG00000016648
homo_sapiens ENSG00000141560
pan_troglodytes ENSPTRG00000043355
pan_troglodytes ENSPTRG00000009809
pan_paniscus ENSPPAG00000033948
pongo_abelii ENSPPYG00000008787
nomascus_leucogenys ENSNLEG00000010531
cebus_capucinus ENSCCAG00000028229
callithrix_jacchus ENSCJAG00000047793
saimiri_boliviensis ENSSBOG00000024734
aotus_nancymaae ENSANAG00000030071
carlito_syrichta ENSTSYG00000012285
tupaia_belangeri ENSTBEG00000004586
dipodomys_ordii ENSDORG00000009505
ictidomys_tridecemlineatus ENSSTOG00000022581
spermophilus_dauricus ENSSDAG00000002427
urocitellus_parryii ENSUPAG00010017015
marmota_marmota ENSMMMG00000003052
castor_canadensis ENSCCNG00000024633
mus_musculus ENSMUSG00000039253
