cebus_capucinus ENSCCAG00000017825
saimiri_boliviensis_boliviensis ENSSBOG00000019877
aotus_nancymaae ENSANAG00000025530
macaca_fascicularis ENSMFAG00000035437
macaca_mulatta ENSMMUG00000007186
cercocebus_atys ENSCATG00000034585
mandrillus_leucophaeus ENSMLEG00000032628
carlito_syrichta ENSTSYG00000025733
propithecus_coquereli ENSPCOG00000016484
microcebus_murinus ENSMICG00000037944
prolemur_simus ENSPSMG00000022405
otolemur_garnettii ENSOGAG00000033241
castor_canadensis ENSCCNG00000025223
chinchilla_lanigera ENSCLAG00000001160
oryctolagus_cuniculus ENSOCUG00000022669
capra_hircus ENSCHIG00000015803
ovis_aries ENSOARG00000018526
sus_scrofa ENSSSCG00000012566
equus_caballus ENSECAG00000003988
equus_asinus_asinus ENSEASG00005019776
ursus_americanus ENSUAMG00000008532
ursus_maritimus ENSUMAG00000010610
ailuropoda_melanoleuca ENSAMEG00000002839
mustela_putorius_furo ENSMPUG00000003821
canis_lupus_familiaris ENSCAFG00000018000
canis_lupus_dingo ENSCAFG00020006667
vulpes_vulpes ENSVVUG00000009955
panthera_tigris_altaica ENSPTIG00000005365
dasypus_novemcinctus ENSDNOG00000035700
loxodonta_africana ENSLAFG00000025754
