serinus_canaria ENSSCAG00000013363
taeniopygia_guttata ENSTGUG00000014780
cyanistes_caeruleus ENSCCEG00000019939
lonchura_striata_domestica ENSLSDG00000011466
parus_major ENSPMJG00000007500
ficedula_albicollis ENSFALG00000011220
junco_hyemalis ENSJHYG00000010307
manacus_vitellinus ENSMVIG00005010709
calidris_pygmaea ENSCPGG00000013574
gallus_gallus ENSGALG00000016514
meleagris_gallopavo ENSMGAG00000014073
anas_platyrhynchos_platyrhynchos ENSAPLG00000018551
numida_meleagris ENSNMEG00000006967
coturnix_japonica ENSCJPG00005011913
anser_brachyrhynchus ENSABRG00000007592
calidris_pugnax ENSCPUG00000017678
melopsittacus_undulatus ENSMUNG00000006729
apteryx_owenii ENSAOWG00000010407
apteryx_haastii ENSAHAG00000007479
apteryx_rowi ENSARWG00000001923
dromaius_novaehollandiae ENSDNVG00000001668
crocodylus_porosus ENSCPRG00005004227
pogona_vitticeps ENSPVIG00000013256
salvator_merianae ENSSMRG00000013412
scleropages_formosus ENSSFOG00015009449
paramormyrops_kingsleyae ENSPKIG00000004736
takifugu_rubripes ENSTRUG00000007220
tetraodon_nigroviridis ENSTNIG00000016339
mola_mola ENSMMOG00000015623
gasterosteus_aculeatus ENSGACG00000010774
seriola_lalandi_dorsalis ENSSLDG00000023051
scophthalmus_maximus ENSSMAG00000011546
cynoglossus_semilaevis ENSCSEG00000013823
seriola_dumerili ENSSDUG00000014334
monopterus_albus ENSMALG00000003328
mastacembelus_armatus ENSMAMG00000017051
anabas_testudineus ENSATEG00000005442
maylandia_zebra ENSMZEG00005016128
astatotilapia_calliptera ENSACLG00000011949
haplochromis_burtoni ENSHBUG00000012808
pundamilia_nyererei ENSPNYG00000007055
neolamprologus_brichardi ENSNBRG00000019516
oreochromis_niloticus ENSONIG00000015327
amphilophus_citrinellus ENSACIG00000003346
amphiprion_percula ENSAPEG00000005094
amphiprion_ocellaris ENSAOCG00000015943
acanthochromis_polyacanthus ENSAPOG00000009193
stegastes_partitus ENSSPAG00000006386
xiphophorus_maculatus ENSXMAG00000004219
xiphophorus_couchianus ENSXCOG00000005217
gambusia_affinis ENSGAFG00000003446
poecilia_mexicana ENSPMEG00000017762
poecilia_formosa ENSPFOG00000009486
poecilia_latipinna ENSPLAG00000020023
poecilia_mexicana ENSPMEG00000020389
poecilia_latipinna ENSPLAG00000015176
poecilia_reticulata ENSPREG00000019103
fundulus_heteroclitus ENSFHEG00000019388
cyprinodon_variegatus ENSCVAG00000023292
kryptolebias_marmoratus ENSKMAG00000013162
oryzias_latipes ENSORLG00000016319
oryzias_latipes ENSORLG00020004673
oryzias_latipes_asm223469v1 ENSORLG00015022989
oryzias_melastigma ENSOMEG00000015796
labrus_bergylta ENSLBEG00000001889
periophthalmus_magnuspinnatus ENSPMGG00000018830
hippocampus_comes ENSHCOG00000006643
gadus_morhua ENSGMOG00000009937
esox_lucius ENSELUG00000005524
pygocentrus_nattereri ENSPNAG00000004885
astyanax_mexicanus ENSAMXG00000019266
ictalurus_punctatus ENSIPUG00000016373
danio_rerio ENSDARG00000020284
lepisosteus_oculatus ENSLOCG00000016741
