chrysemys_picta ENSCPBG00000010833
pelodiscus_sinensis ENSPSIG00000004191
pogona_vitticeps ENSPVIG00000012677
anolis_carolinensis ENSACAG00000001228
notechis_scutatus ENSNSUG00000003161
sphenodon_punctatus ENSSPUG00000006670
gopherus_agassizii ENSGAGG00000013983
chelonoidis_abingdonii ENSCABG00000003409
crocodylus_porosus ENSCPRG00005007418
salvator_merianae ENSSMRG00000000309
calidris_pygmaea ENSCPGG00000016930
calidris_pugnax ENSCPUG00000000290
melopsittacus_undulatus ENSMUNG00000000361
parus_major ENSPMJG00000016332
cyanistes_caeruleus ENSCCEG00000021105
ficedula_albicollis ENSFALG00000014046
zonotrichia_albicollis ENSZALG00000016050
junco_hyemalis ENSJHYG00000007237
taeniopygia_guttata ENSTGUG00000009447
serinus_canaria ENSSCAG00000011250
lonchura_striata ENSLSDG00000004850
lepidothrix_coronata ENSLCOG00000003758
manacus_vitellinus ENSMVIG00005004215
anser_brachyrhynchus ENSABRG00000016511
anas_platyrhynchos ENSAPLG00000012276
gallus_gallus ENSGALG00000030546
coturnix_japonica ENSCJPG00005015324
meleagris_gallopavo ENSMGAG00000007883
numida_meleagris ENSNMEG00000020350
apteryx_haastii ENSAHAG00000017359
apteryx_owenii ENSAOWG00000000869
apteryx_rowi ENSARWG00000002738
dromaius_novaehollandiae ENSDNVG00000012620
nothoprocta_perdicaria ENSNPEG00000005611
canis_lupus ENSCAFG00020022190
ursus_americanus ENSUAMG00000023969
panthera_pardus ENSPPRG00000023487
pteropus_vampyrus ENSPVAG00000006041
bos_indicus ENSBIXG00005015442
bos_indicus ENSBIXG00000010091
bos_mutus ENSBMUG00000025108
bison_bison ENSBBBG00000022893
tursiops_truncatus ENSTTRG00000007510
oryctolagus_cuniculus ENSOCUG00000027083
procavia_capensis ENSPCAG00000004391
pan_troglodytes ENSPTRG00000049065
pan_paniscus ENSPPAG00000037082
homo_sapiens ENSG00000261210
gorilla_gorilla ENSGGOG00000014011
pongo_abelii ENSPPYG00000007146
nomascus_leucogenys ENSNLEG00000005391
theropithecus_gelada ENSTGEG00000022997
papio_anubis ENSPANG00000025459
macaca_fascicularis ENSMFAG00000031258
macaca_mulatta ENSMMUG00000051373
macaca_nemestrina ENSMNEG00000042205
mandrillus_leucophaeus ENSMLEG00000030357
cercocebus_atys ENSCATG00000041390
rhinopithecus_roxellana ENSRROG00000040948
rhinopithecus_bieti ENSRBIG00000034343
piliocolobus_tephrosceles ENSPTEG00000025436
colobus_angolensis ENSCANG00000009646
cebus_capucinus ENSCCAG00000022887
saimiri_boliviensis ENSSBOG00000031266
callithrix_jacchus ENSCJAG00000046925
aotus_nancymaae ENSANAG00000022307
carlito_syrichta ENSTSYG00000006865
prolemur_simus ENSPSMG00000014100
propithecus_coquereli ENSPCOG00000025250
microcebus_murinus ENSMICG00000014006
spermophilus_dauricus ENSSDAG00000001136
urocitellus_parryii ENSUPAG00010009712
marmota_marmota ENSMMMG00000022680
ictidomys_tridecemlineatus ENSSTOG00000005574
peromyscus_maniculatus ENSPEMG00000028498
meriones_unguiculatus ENSMUGG00000014027
chlorocebus_sabaeus ENSCSAG00000007816
panthera_tigris ENSPTIG00000007380
vulpes_vulpes ENSVVUG00000020729
capra_hircus ENSCHIG00000006771
bos_taurus ENSBTAG00000018250
sus_scrofa ENSSSCG00000047938
loxodonta_africana ENSLAFG00000020762
otolemur_garnettii ENSOGAG00000012024
choloepus_hoffmanni ENSCHOG00000009223
sarcophilus_harrisii ENSSHAG00000017841
vombatus_ursinus ENSVURG00010020931
monodelphis_domestica ENSMODG00000040296
ornithorhynchus_anatinus ENSOANG00000003223
xenopus_tropicalis ENSXETG00000002063
latimeria_chalumnae ENSLACG00000007437
clupea_harengus ENSCHAG00000019038
denticeps_clupeoides ENSDCDG00000018273
electrophorus_electricus ENSEEEG00000013863
ictalurus_punctatus ENSIPUG00000007735
astyanax_mexicanus ENSAMXG00005017212
astyanax_mexicanus ENSAMXG00000009323
pygocentrus_nattereri ENSPNAG00000019660
danio_rerio ENSDARG00000115545
paramormyrops_kingsleyae ENSPKIG00000020080
scleropages_formosus ENSSFOG00015015230
esox_lucius ENSELUG00000012124
lepisosteus_oculatus ENSLOCG00000007089
erpetoichthys_calabaricus ENSECRG00000016509
callorhinchus_milii ENSCMIG00000010209
