stegastes_partitus ENSSPAG00000020643
acanthochromis_polyacanthus ENSAPOG00000013569
amphiprion_percula ENSAPEG00000000826
amphiprion_percula ENSAPEG00000001344
amphiprion_ocellaris ENSAOCG00000012658
takifugu_rubripes ENSTRUG00000025219
cynoglossus_semilaevis ENSCSEG00000018685
xiphophorus_maculatus ENSXMAG00000006035
xiphophorus_couchianus ENSXCOG00000002965
poecilia_reticulata ENSPREG00000010324
gambusia_affinis ENSGAFG00000002561
poecilia_latipinna ENSPLAG00000021780
fundulus_heteroclitus ENSFHEG00000010505
cyprinodon_variegatus ENSCVAG00000004344
oryzias_melastigma ENSOMEG00000009040
oryzias_latipes ENSORLG00020013644
neolamprologus_brichardi ENSNBRG00000014009
pundamilia_nyererei ENSPNYG00000003203
amphilophus_citrinellus ENSACIG00000016381
seriola_dumerili ENSSDUG00000010019
seriola_lalandi_dorsalis ENSSLDG00000007894
mastacembelus_armatus ENSMAMG00000018642
astyanax_mexicanus ENSAMXG00000037077
