cyprinodon_variegatus ENSCVAG00000023145
fundulus_heteroclitus ENSFHEG00000021886
xiphophorus_couchianus ENSXCOG00000020678
poecilia_formosa ENSPFOG00000008528
xiphophorus_maculatus ENSXMAG00000028110
gambusia_affinis ENSGAFG00000021920
oryzias_latipes ENSORLG00020009212
oryzias_latipes ENSORLG00000019330
oryzias_latipes_asm223469v1 ENSORLG00015002895
oryzias_melastigma ENSOMEG00000016477
maylandia_zebra ENSMZEG00005013015
astatotilapia_calliptera ENSACLG00000012520
pundamilia_nyererei ENSPNYG00000008558
haplochromis_burtoni ENSHBUG00000000030
amphilophus_citrinellus ENSACIG00000000150
amphiprion_ocellaris ENSAOCG00000023168
amphiprion_percula ENSAPEG00000008480
acanthochromis_polyacanthus ENSAPOG00000009618
acanthochromis_polyacanthus ENSAPOG00000009486
acanthochromis_polyacanthus ENSAPOG00000009896
stegastes_partitus ENSSPAG00000017300
mastacembelus_armatus ENSMAMG00000014268
monopterus_albus ENSMALG00000004428
anabas_testudineus ENSATEG00000008551
seriola_lalandi_dorsalis ENSSLDG00000003914
seriola_dumerili ENSSDUG00000003730
takifugu_rubripes ENSTRUG00000025370
mola_mola ENSMMOG00000019402
hippocampus_comes ENSHCOG00000016437
scophthalmus_maximus ENSSMAG00000016660
cynoglossus_semilaevis ENSCSEG00000021754
labrus_bergylta ENSLBEG00000028767
periophthalmus_magnuspinnatus ENSPMGG00000020958
pygocentrus_nattereri ENSPNAG00000019533
astyanax_mexicanus ENSAMXG00000040501
ictalurus_punctatus ENSIPUG00000010716
danio_rerio ENSDARG00000111983
