poecilia_formosa ENSPFOG00000022412
poecilia_mexicana ENSPMEG00000018304
poecilia_latipinna ENSPLAG00000017394
poecilia_reticulata ENSPREG00000018512
gambusia_affinis ENSGAFG00000006718
xiphophorus_maculatus ENSXMAG00000022670
fundulus_heteroclitus ENSFHEG00000006726
cyprinodon_variegatus ENSCVAG00000007404
kryptolebias_marmoratus ENSKMAG00000008828
oryzias_latipes ENSORLG00020021802
oryzias_latipes_asm223469v1 ENSORLG00015012224
oryzias_latipes ENSORLG00000026010
oryzias_melastigma ENSOMEG00000019955
cynoglossus_semilaevis ENSCSEG00000011724
amphiprion_ocellaris ENSAOCG00000017256
amphiprion_percula ENSAPEG00000004300
acanthochromis_polyacanthus ENSAPOG00000012388
stegastes_partitus ENSSPAG00000010016
haplochromis_burtoni ENSHBUG00000007600
pundamilia_nyererei ENSPNYG00000013868
maylandia_zebra ENSMZEG00005001142
astatotilapia_calliptera ENSACLG00000003998
neolamprologus_brichardi ENSNBRG00000008990
oreochromis_niloticus ENSONIG00000015835
amphilophus_citrinellus ENSACIG00000009836
monopterus_albus ENSMALG00000015389
mastacembelus_armatus ENSMAMG00000020751
anabas_testudineus ENSATEG00000015008
seriola_lalandi_dorsalis ENSSLDG00000015026
seriola_dumerili ENSSDUG00000002906
scophthalmus_maximus ENSSMAG00000019962
labrus_bergylta ENSLBEG00000024719
mola_mola ENSMMOG00000014904
takifugu_rubripes ENSTRUG00000025762
hippocampus_comes ENSHCOG00000004169
gasterosteus_aculeatus ENSGACG00000013075
periophthalmus_magnuspinnatus ENSPMGG00000002476
gadus_morhua ENSGMOG00000008059
esox_lucius ENSELUG00000006380
astyanax_mexicanus ENSAMXG00000015080
pygocentrus_nattereri ENSPNAG00000013723
ictalurus_punctatus ENSIPUG00000017664
scleropages_formosus ENSSFOG00015017836
paramormyrops_kingsleyae ENSPKIG00000011056
lepisosteus_oculatus ENSLOCG00000015599
