anas_platyrhynchos ENSAPLG00000026984
calidris_pygmaea ENSCPGG00000015531
gallus_gallus ENSGALG00000054445
gallus_gallus ENSGALG00000015203
coturnix_japonica ENSCJPG00005010669
meleagris_gallopavo ENSMGAG00000004031
calidris_pugnax ENSCPUG00000016381
cyanistes_caeruleus ENSCCEG00000001876
taeniopygia_guttata ENSTGUG00000000878
serinus_canaria ENSSCAG00000006404
parus_major ENSPMJG00000011683
cyanistes_caeruleus ENSCCEG00000002074
lepidothrix_coronata ENSLCOG00000013366
numida_meleagris ENSNMEG00000003306
anser_brachyrhynchus ENSABRG00000000852
lonchura_striata ENSLSDG00000011438
melopsittacus_undulatus ENSMUNG00000012833
crocodylus_porosus ENSCPRG00005015591
gopherus_agassizii ENSGAGG00000014316
chelonoidis_abingdonii ENSCABG00000003815
chrysemys_picta ENSCPBG00000022937
pelodiscus_sinensis ENSPSIG00000002788
pogona_vitticeps ENSPVIG00000014095
anolis_carolinensis ENSACAG00000009405
notechis_scutatus ENSNSUG00000014755
salvator_merianae ENSSMRG00000016357
sphenodon_punctatus ENSSPUG00000006561
ornithorhynchus_anatinus ENSOANG00000012282
latimeria_chalumnae ENSLACG00000011285
xenopus_tropicalis ENSXETG00000006309
denticeps_clupeoides ENSDCDG00000034904
clupea_harengus ENSCHAG00000005263
astyanax_mexicanus ENSAMXG00005020357
astyanax_mexicanus ENSAMXG00000018891
pygocentrus_nattereri ENSPNAG00000006424
electrophorus_electricus ENSEEEG00000024217
ictalurus_punctatus ENSIPUG00000015772
danio_rerio ENSDARG00000078504
hucho_hucho ENSHHUG00000042249
hucho_hucho ENSHHUG00000050975
esox_lucius ENSELUG00000003154
gouania_willdenowi ENSGWIG00000001066
cynoglossus_semilaevis ENSCSEG00000000415
mola_mola ENSMMOG00000007726
anabas_testudineus ENSATEG00000005652
monopterus_albus ENSMALG00000020560
seriola_lalandi ENSSLDG00000013861
oryzias_latipes ENSORLG00015020741
oryzias_latipes ENSORLG00020001500
oryzias_latipes ENSORLG00000013945
oryzias_melastigma ENSOMEG00000001448
kryptolebias_marmoratus ENSKMAG00000007140
astatotilapia_calliptera ENSACLG00000002882
maylandia_zebra ENSMZEG00005003162
pundamilia_nyererei ENSPNYG00000001304
neolamprologus_brichardi ENSNBRG00000017192
oreochromis_niloticus ENSONIG00000007301
amphilophus_citrinellus ENSACIG00000012583
amphiprion_ocellaris ENSAOCG00000006163
amphiprion_percula ENSAPEG00000000787
acanthochromis_polyacanthus ENSAPOG00000012692
stegastes_partitus ENSSPAG00000013608
cottoperca_gobio ENSCGOG00000013767
larimichthys_crocea ENSLCRG00005016191
tetraodon_nigroviridis ENSTNIG00000002433
xiphophorus_couchianus ENSXCOG00000007158
seriola_dumerili ENSSDUG00000020841
betta_splendens ENSBSLG00000014772
poecilia_latipinna ENSPLAG00000007873
poecilia_mexicana ENSPMEG00000004024
poecilia_formosa ENSPFOG00000003659
poecilia_reticulata ENSPREG00000000894
gambusia_affinis ENSGAFG00000011571
xiphophorus_maculatus ENSXMAG00000013029
cyprinodon_variegatus ENSCVAG00000022538
fundulus_heteroclitus ENSFHEG00000002584
periophthalmus_magnuspinnatus ENSPMGG00000022289
scleropages_formosus ENSSFOG00015021761
paramormyrops_kingsleyae ENSPKIG00000003989
lepisosteus_oculatus ENSLOCG00000001661
erpetoichthys_calabaricus ENSECRG00000022772
ciona_savignyi ENSCSAVG00000001847
