acanthochromis_polyacanthus ENSAPOG00000000043
amphiprion_percula ENSAPEG00000018112
stegastes_partitus ENSSPAG00000005577
amphilophus_citrinellus ENSACIG00000018875
kryptolebias_marmoratus ENSKMAG00000004885
fundulus_heteroclitus ENSFHEG00000007734
labrus_bergylta ENSLBEG00000006809
monopterus_albus ENSMALG00000009169
mastacembelus_armatus ENSMAMG00000011523
hippocampus_comes ENSHCOG00000020034
esox_lucius ENSELUG00000017864
lepisosteus_oculatus ENSLOCG00000005065
anser_brachyrhynchus ENSABRG00000013309
anas_platyrhynchos_platyrhynchos ENSAPLG00000026761
numida_meleagris ENSNMEG00000012392
calidris_pugnax ENSCPUG00000004305
calidris_pygmaea ENSCPGG00000015520
apteryx_haastii ENSAHAG00000006815
apteryx_rowi ENSARWG00000005234
apteryx_owenii ENSAOWG00000018943
dromaius_novaehollandiae ENSDNVG00000008289
pelodiscus_sinensis ENSPSIG00000004640
pogona_vitticeps ENSPVIG00000003635
anolis_carolinensis ENSACAG00000005612
dasypus_novemcinctus ENSDNOG00000031209
eptatretus_burgeri ENSEBUG00000004821
ciona_intestinalis ENSCING00000003806
ciona_savignyi ENSCSAVG00000007868
