monopterus_albus ENSMALG00000011737
mastacembelus_armatus ENSMAMG00000001927
kryptolebias_marmoratus ENSKMAG00000016817
labrus_bergylta ENSLBEG00000009201
tetraodon_nigroviridis ENSTNIG00000001522
gadus_morhua ENSGMOG00000016388
paramormyrops_kingsleyae ENSPKIG00000020182
paramormyrops_kingsleyae ENSPKIG00000009227
paramormyrops_kingsleyae ENSPKIG00000017854
paramormyrops_kingsleyae ENSPKIG00000003960
scleropages_formosus ENSSFOG00015024136
anas_platyrhynchos_platyrhynchos ENSAPLG00000021997
meleagris_gallopavo ENSMGAG00000017164
junco_hyemalis ENSJHYG00000018054
serinus_canaria ENSSCAG00000004803
melopsittacus_undulatus ENSMUNG00000016171
gopherus_agassizii ENSGAGG00000017332
chelonoidis_abingdonii ENSCABG00000012062
