urocitellus_parryii ENSUPAG00010023039
spermophilus_dauricus ENSSDAG00000023502
castor_canadensis ENSCCNG00000013765
meriones_unguiculatus ENSMUGG00000017805
macaca_nemestrina ENSMNEG00000027169
macaca_fascicularis ENSMFAG00000030229
theropithecus_gelada ENSTGEG00000019157
papio_anubis ENSPANG00000034249
mandrillus_leucophaeus ENSMLEG00000022664
rhinopithecus_bieti ENSRBIG00000018215
rhinopithecus_roxellana ENSRROG00000037767
saimiri_boliviensis ENSSBOG00000021089
cebus_capucinus ENSCCAG00000027561
aotus_nancymaae ENSANAG00000020902
equus_asinus ENSEASG00005018152
equus_caballus ENSECAG00000031668
panthera_pardus ENSPPRG00000020504
panthera_tigris ENSPTIG00000003381
felis_catus ENSFCAG00000038361
sus_scrofa ENSSSCG00000031193
