monopterus_albus ENSMALG00000013336
cynoglossus_semilaevis ENSCSEG00000016447
tetraodon_nigroviridis ENSTNIG00000007227
tetraodon_nigroviridis ENSTNIG00000004230
takifugu_rubripes ENSTRUG00000012472
mola_mola ENSMMOG00000008132
labrus_bergylta ENSLBEG00000028604
seriola_dumerili ENSSDUG00000018109
seriola_lalandi_dorsalis ENSSLDG00000007506
scophthalmus_maximus ENSSMAG00000001908
mastacembelus_armatus ENSMAMG00000023389
gasterosteus_aculeatus ENSGACG00000019309
anabas_testudineus ENSATEG00000000366
amphiprion_percula ENSAPEG00000016798
amphiprion_ocellaris ENSAOCG00000010457
acanthochromis_polyacanthus ENSAPOG00000016395
stegastes_partitus ENSSPAG00000004559
maylandia_zebra ENSMZEG00005019204
astatotilapia_calliptera ENSACLG00000014494
pundamilia_nyererei ENSPNYG00000015229
haplochromis_burtoni ENSHBUG00000017558
oreochromis_niloticus ENSONIG00000014186
neolamprologus_brichardi ENSNBRG00000023038
amphilophus_citrinellus ENSACIG00000007775
poecilia_formosa ENSPFOG00000001130
poecilia_latipinna ENSPLAG00000010215
poecilia_mexicana ENSPMEG00000013629
poecilia_reticulata ENSPREG00000017706
xiphophorus_maculatus ENSXMAG00000005014
xiphophorus_couchianus ENSXCOG00000002027
gambusia_affinis ENSGAFG00000020039
fundulus_heteroclitus ENSFHEG00000010559
cyprinodon_variegatus ENSCVAG00000016365
kryptolebias_marmoratus ENSKMAG00000011115
oryzias_latipes ENSORLG00000012650
oryzias_latipes_asm223469v1 ENSORLG00015019169
oryzias_latipes ENSORLG00020020723
oryzias_melastigma ENSOMEG00000021224
hippocampus_comes ENSHCOG00000009339
periophthalmus_magnuspinnatus ENSPMGG00000008537
gadus_morhua ENSGMOG00000001167
esox_lucius ENSELUG00000010157
pygocentrus_nattereri ENSPNAG00000028091
astyanax_mexicanus ENSAMXG00000004098
ictalurus_punctatus ENSIPUG00000015506
danio_rerio ENSDARG00000005547
scleropages_formosus ENSSFOG00015002236
paramormyrops_kingsleyae ENSPKIG00000006961
lepisosteus_oculatus ENSLOCG00000015491
castor_canadensis ENSCCNG00000027765
dipodomys_ordii ENSDORG00000004688
cricetulus_griseus_chok1gshd ENSCGRG00001019952
cricetulus_griseus_crigri ENSCGRG00000000796
