mola_mola ENSMMOG00000006668
gasterosteus_aculeatus ENSGACG00000001239
tetraodon_nigroviridis ENSTNIG00000017645
takifugu_rubripes ENSTRUG00000015780
labrus_bergylta ENSLBEG00000019778
mastacembelus_armatus ENSMAMG00000015414
monopterus_albus ENSMALG00000012053
anabas_testudineus ENSATEG00000015412
amphiprion_ocellaris ENSAOCG00000004706
amphiprion_percula ENSAPEG00000014620
acanthochromis_polyacanthus ENSAPOG00000023109
stegastes_partitus ENSSPAG00000016092
maylandia_zebra ENSMZEG00005020089
astatotilapia_calliptera ENSACLG00000015102
haplochromis_burtoni ENSHBUG00000016002
pundamilia_nyererei ENSPNYG00000010239
neolamprologus_brichardi ENSNBRG00000002429
oreochromis_niloticus ENSONIG00000002913
maylandia_zebra ENSMZEG00005027948
maylandia_zebra ENSMZEG00005023356
maylandia_zebra ENSMZEG00005023361
astatotilapia_calliptera ENSACLG00000028001
astatotilapia_calliptera ENSACLG00000028000
maylandia_zebra ENSMZEG00005027947
haplochromis_burtoni ENSHBUG00000011784
haplochromis_burtoni ENSHBUG00000014570
haplochromis_burtoni ENSHBUG00000014688
pundamilia_nyererei ENSPNYG00000021097
neolamprologus_brichardi ENSNBRG00000007758
oreochromis_niloticus ENSONIG00000017897
amphilophus_citrinellus ENSACIG00000023102
poecilia_mexicana ENSPMEG00000008981
poecilia_latipinna ENSPLAG00000018408
poecilia_formosa ENSPFOG00000016933
poecilia_reticulata ENSPREG00000020202
xiphophorus_maculatus ENSXMAG00000016822
xiphophorus_couchianus ENSXCOG00000008689
gambusia_affinis ENSGAFG00000019396
fundulus_heteroclitus ENSFHEG00000001146
cyprinodon_variegatus ENSCVAG00000011427
kryptolebias_marmoratus ENSKMAG00000004987
oryzias_latipes ENSORLG00000001979
oryzias_latipes_asm223469v1 ENSORLG00015004615
oryzias_latipes ENSORLG00020008473
oryzias_melastigma ENSOMEG00000010900
seriola_dumerili ENSSDUG00000022734
seriola_lalandi_dorsalis ENSSLDG00000010361
scophthalmus_maximus ENSSMAG00000014795
cynoglossus_semilaevis ENSCSEG00000003749
hippocampus_comes ENSHCOG00000016336
periophthalmus_magnuspinnatus ENSPMGG00000010780
gadus_morhua ENSGMOG00000018876
esox_lucius ENSELUG00000003937
pygocentrus_nattereri ENSPNAG00000009112
astyanax_mexicanus ENSAMXG00000005419
ictalurus_punctatus ENSIPUG00000010915
danio_rerio ENSDARG00000033539
