ursus_maritimus ENSUMAG00000004223
ursus_americanus ENSUAMG00000011748
neovison_vison ENSNVIG00000013701
canis_lupus_dingo ENSCAFG00020027342
vulpes_vulpes ENSVVUG00000013949
equus_caballus ENSECAG00000039249
bos_taurus ENSBTAG00000053443
bison_bison_bison ENSBBBG00000010979
capra_hircus ENSCHIG00000012934
capra_hircus ENSCHIG00000024397
capra_hircus ENSCHIG00000016967
capra_hircus ENSCHIG00000017937
bos_taurus ENSBTAG00000049950
bos_taurus ENSBTAG00000054521
bos_taurus ENSBTAG00000054599
bos_taurus ENSBTAG00000052041
bos_taurus ENSBTAG00000049036
bos_taurus ENSBTAG00000052214
bos_taurus ENSBTAG00000054372
bos_taurus ENSBTAG00000049315
bos_taurus ENSBTAG00000050710
bos_taurus ENSBTAG00000052005
bos_taurus ENSBTAG00000049645
bos_taurus ENSBTAG00000053990
bos_taurus ENSBTAG00000054128
bos_taurus ENSBTAG00000049505
bison_bison_bison ENSBBBG00000012245
bos_taurus ENSBTAG00000053396
bison_bison_bison ENSBBBG00000015016
bos_taurus ENSBTAG00000055247
equus_caballus ENSECAG00000032315
mustela_putorius_furo ENSMPUG00000004182
castor_canadensis ENSCCNG00000005242
