cricetulus_griseus_crigri-picr ENSCGRG00015007578
cricetulus_griseus_chok1gshd ENSCGRG00001023553
peromyscus_maniculatus_bairdii ENSPEMG00000017154
mus_spicilegus ENSMSIG00000002077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019180
mus_musculus ENSMUSG00000046351
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018312
mus_pahari MGP_PahariEiJ_G0019375
rattus_norvegicus ENSRNOG00000017318
castor_canadensis ENSCCNG00000010662
cavia_porcellus ENSCPOG00000001020
nannospalax_galili ENSNGAG00000018458
urocitellus_parryii ENSUPAG00010005538
marmota_marmota_marmota ENSMMMG00000002401
spermophilus_dauricus ENSSDAG00000015048
spermophilus_dauricus ENSSDAG00000011109
oryctolagus_cuniculus ENSOCUG00000017512
ochotona_princeps ENSOPRG00000008504
microcebus_murinus ENSMICG00000043576
prolemur_simus ENSPSMG00000008716
pan_troglodytes ENSPTRG00000052608
pan_paniscus ENSPPAG00000020848
homo_sapiens ENSG00000181315
gorilla_gorilla ENSGGOG00000039942
pongo_abelii ENSPPYG00000016336
macaca_fascicularis ENSMFAG00000017291
macaca_mulatta ENSMMUG00000017480
theropithecus_gelada ENSTGEG00000002506
mandrillus_leucophaeus ENSMLEG00000027257
papio_anubis ENSPANG00000016590
chlorocebus_sabaeus ENSCSAG00000019088
rhinopithecus_bieti ENSRBIG00000014774
rhinopithecus_bieti ENSRBIG00000041812
rhinopithecus_roxellana ENSRROG00000010424
colobus_angolensis_palliatus ENSCANG00000012045
piliocolobus_tephrosceles ENSPTEG00000037384
cebus_capucinus ENSCCAG00000031273
callithrix_jacchus ENSCJAG00000011175
aotus_nancymaae ENSANAG00000000880
tupaia_belangeri ENSTBEG00000012598
mustela_putorius_furo ENSMPUG00000018606
neovison_vison ENSNVIG00000005850
ursus_maritimus ENSUMAG00000000353
ursus_americanus ENSUAMG00000021259
canis_lupus_familiaris ENSCAFG00000030701
canis_lupus_dingo ENSCAFG00020002504
vulpes_vulpes ENSVVUG00000000175
panthera_pardus ENSPPRG00000014256
panthera_tigris_altaica ENSPTIG00000003175
felis_catus ENSFCAG00000003239
equus_asinus_asinus ENSEASG00005013170
equus_caballus ENSECAG00000000889
ovis_aries ENSOARG00000018679
ovis_aries ENSOARG00000020046
capra_hircus ENSCHIG00000003507
bos_taurus ENSBTAG00000054999
bos_taurus ENSBTAG00000034597
bos_taurus ENSBTAG00000031741
bos_mutus ENSBMUG00000024404
bison_bison_bison ENSBBBG00000022023
capra_hircus ENSCHIG00000014658
bos_taurus ENSBTAG00000051085
sus_scrofa ENSSSCG00000001156
vicugna_pacos ENSVPAG00000010285
ailuropoda_melanoleuca ENSAMEG00000011585
myotis_lucifugus ENSMLUG00000000112
sorex_araneus ENSSARG00000006498
dasypus_novemcinctus ENSDNOG00000015534
choloepus_hoffmanni ENSCHOG00000005279
procavia_capensis ENSPCAG00000014729
echinops_telfairi ENSETEG00000012769
