bos_mutus ENSBMUG00000015551
bos_taurus ENSBTAG00000053599
bison_bison_bison ENSBBBG00000011110
capra_hircus ENSCHIG00000016622
sus_scrofa ENSSSCG00000032324
canis_lupus_dingo ENSCAFG00020016464
canis_lupus_dingo ENSCAFG00020010416
canis_lupus_dingo ENSCAFG00020001199
canis_lupus_dingo ENSCAFG00020016470
canis_lupus_dingo ENSCAFG00020020361
canis_lupus_dingo ENSCAFG00020011722
neovison_vison ENSNVIG00000011131
piliocolobus_tephrosceles ENSPTEG00000026329
piliocolobus_tephrosceles ENSPTEG00000000284
macaca_mulatta ENSMMUG00000018428
macaca_nemestrina ENSMNEG00000043824
papio_anubis ENSPANG00000030561
mandrillus_leucophaeus ENSMLEG00000037285
rhinopithecus_roxellana ENSRROG00000041818
rhinopithecus_bieti ENSRBIG00000032267
colobus_angolensis_palliatus ENSCANG00000036516
carlito_syrichta ENSTSYG00000028098
urocitellus_parryii ENSUPAG00010023017
castor_canadensis ENSCCNG00000030611
jaculus_jaculus ENSJJAG00000000240
notechis_scutatus ENSNSUG00000010058
notechis_scutatus ENSNSUG00000014660
