salvator_merianae ENSSMRG00000005591
pogona_vitticeps ENSPVIG00000017757
sphenodon_punctatus ENSSPUG00000012067
apteryx_owenii ENSAOWG00000003517
apteryx_haastii ENSAHAG00000010612
apteryx_rowi ENSARWG00000015813
dromaius_novaehollandiae ENSDNVG00000005058
nothoprocta_perdicaria ENSNPEG00000010945
calidris_pugnax ENSCPUG00000012989
calidris_pygmaea ENSCPGG00000018468
taeniopygia_guttata ENSTGUG00000000032
lonchura_striata_domestica ENSLSDG00000014369
serinus_canaria ENSSCAG00000000322
junco_hyemalis ENSJHYG00000014678
zonotrichia_albicollis ENSZALG00000000136
parus_major ENSPMJG00000004370
cyanistes_caeruleus ENSCCEG00000022109
ficedula_albicollis ENSFALG00000011989
manacus_vitellinus ENSMVIG00005019675
lepidothrix_coronata ENSLCOG00000006944
gallus_gallus ENSGALG00000000558
coturnix_japonica ENSCJPG00005006091
meleagris_gallopavo ENSMGAG00000000763
numida_meleagris ENSNMEG00000007726
melopsittacus_undulatus ENSMUNG00000003389
anser_brachyrhynchus ENSABRG00000005963
anas_platyrhynchos_platyrhynchos ENSAPLG00000010390
crocodylus_porosus ENSCPRG00005013279
gopherus_agassizii ENSGAGG00000009533
chelonoidis_abingdonii ENSCABG00000010604
chrysemys_picta_bellii ENSCPBG00000016280
pelodiscus_sinensis ENSPSIG00000002120
phascolarctos_cinereus ENSPCIG00000003178
monodelphis_domestica ENSMODG00000014481
notamacropus_eugenii ENSMEUG00000003687
sarcophilus_harrisii ENSSHAG00000005674
chinchilla_lanigera ENSCLAG00000013046
octodon_degus ENSODEG00000011064
heterocephalus_glaber_male ENSHGLG00100018834
heterocephalus_glaber_female ENSHGLG00000007719
fukomys_damarensis ENSFDAG00000006988
cavia_porcellus ENSCPOG00000002093
cavia_aperea ENSCAPG00000016505
castor_canadensis ENSCCNG00000009932
microtus_ochrogaster ENSMOCG00000020405
peromyscus_maniculatus_bairdii ENSPEMG00000015450
cricetulus_griseus_crigri ENSCGRG00000016218
cricetulus_griseus_chok1gshd ENSCGRG00001015926
cricetulus_griseus_crigri-picr ENSCGRG00015008126
mesocricetus_auratus ENSMAUG00000010823
mus_spicilegus ENSMSIG00000000543
mus_musculus ENSMUSG00000005357
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016330
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015517
mus_pahari MGP_PahariEiJ_G0030929
rattus_norvegicus ENSRNOG00000007509
meriones_unguiculatus ENSMUGG00000019866
nannospalax_galili ENSNGAG00000016328
jaculus_jaculus ENSJJAG00000009089
urocitellus_parryii ENSUPAG00010001271
ictidomys_tridecemlineatus ENSSTOG00000020911
marmota_marmota_marmota ENSMMMG00000022279
spermophilus_dauricus ENSSDAG00000009508
pteropus_vampyrus ENSPVAG00000001667
myotis_lucifugus ENSMLUG00000009325
sorex_araneus ENSSARG00000002198
ursus_maritimus ENSUMAG00000003627
dipodomys_ordii ENSDORG00000003912
peromyscus_maniculatus_bairdii ENSPEMG00000028571
oryctolagus_cuniculus ENSOCUG00000013354
ochotona_princeps ENSOPRG00000010241
tupaia_belangeri ENSTBEG00000000008
cercocebus_atys ENSCATG00000017966
theropithecus_gelada ENSTGEG00000008149
papio_anubis ENSPANG00000017791
mandrillus_leucophaeus ENSMLEG00000000068
macaca_fascicularis ENSMFAG00000003076
macaca_nemestrina ENSMNEG00000038083
macaca_mulatta ENSMMUG00000001735
rhinopithecus_bieti ENSRBIG00000035412
rhinopithecus_roxellana ENSRROG00000035827
piliocolobus_tephrosceles ENSPTEG00000035863
colobus_angolensis_palliatus ENSCANG00000042014
chlorocebus_sabaeus ENSCSAG00000006189
pan_paniscus ENSPPAG00000042819
pan_troglodytes ENSPTRG00000010609
homo_sapiens ENSG00000105143
pongo_abelii ENSPPYG00000009662
gorilla_gorilla ENSGGOG00000013450
nomascus_leucogenys ENSNLEG00000005164
saimiri_boliviensis_boliviensis ENSSBOG00000033066
callithrix_jacchus ENSCJAG00000004498
cebus_capucinus ENSCCAG00000020973
aotus_nancymaae ENSANAG00000026318
carlito_syrichta ENSTSYG00000004706
propithecus_coquereli ENSPCOG00000022533
prolemur_simus ENSPSMG00000007210
microcebus_murinus ENSMICG00000037299
otolemur_garnettii ENSOGAG00000029166
sus_scrofa ENSSSCG00000013833
tursiops_truncatus ENSTTRG00000014526
capra_hircus ENSCHIG00000009680
ovis_aries ENSOARG00000004610
bos_mutus ENSBMUG00000013368
bos_mutus ENSBMUG00000013356
bos_taurus ENSBTAG00000053903
