caenorhabditis_elegans_strain_n2 WBGene00003794
eptatretus_burgeri ENSEBUG00000005425
labrus_bergylta ENSLBEG00000018561
gasterosteus_aculeatus ENSGACG00000016842
takifugu_rubripes ENSTRUG00000014297
tetraodon_nigroviridis ENSTNIG00000009046
mola_mola ENSMMOG00000009437
anabas_testudineus ENSATEG00000019247
monopterus_albus ENSMALG00000012425
seriola_dumerili ENSSDUG00000005030
seriola_lalandi_dorsalis ENSSLDG00000011031
scophthalmus_maximus ENSSMAG00000002770
cynoglossus_semilaevis ENSCSEG00000016754
mastacembelus_armatus ENSMAMG00000012098
xiphophorus_couchianus ENSXCOG00000003039
xiphophorus_maculatus ENSXMAG00000005080
gambusia_affinis ENSGAFG00000010040
poecilia_latipinna ENSPLAG00000004934
poecilia_mexicana ENSPMEG00000012732
poecilia_formosa ENSPFOG00000019811
poecilia_reticulata ENSPREG00000013997
fundulus_heteroclitus ENSFHEG00000019546
cyprinodon_variegatus ENSCVAG00000021951
kryptolebias_marmoratus ENSKMAG00000009667
oryzias_latipes_asm223469v1 ENSORLG00015006271
oryzias_latipes ENSORLG00020018548
oryzias_latipes ENSORLG00000007635
oryzias_melastigma ENSOMEG00000003206
astatotilapia_calliptera ENSACLG00000014123
maylandia_zebra ENSMZEG00005018634
pundamilia_nyererei ENSPNYG00000007870
haplochromis_burtoni ENSHBUG00000021934
neolamprologus_brichardi ENSNBRG00000004838
oreochromis_niloticus ENSONIG00000014046
amphilophus_citrinellus ENSACIG00000018799
amphiprion_percula ENSAPEG00000012883
amphiprion_ocellaris ENSAOCG00000020970
acanthochromis_polyacanthus ENSAPOG00000010371
stegastes_partitus ENSSPAG00000004883
tetraodon_nigroviridis ENSTNIG00000019456
periophthalmus_magnuspinnatus ENSPMGG00000010721
hippocampus_comes ENSHCOG00000018914
gadus_morhua ENSGMOG00000013792
esox_lucius ENSELUG00000023540
pygocentrus_nattereri ENSPNAG00000014406
astyanax_mexicanus ENSAMXG00000006908
ictalurus_punctatus ENSIPUG00000004317
danio_rerio ENSDARG00000001777
paramormyrops_kingsleyae ENSPKIG00000019534
scleropages_formosus ENSSFOG00015020458
lepisosteus_oculatus ENSLOCG00000012677
latimeria_chalumnae ENSLACG00000011251
latimeria_chalumnae ENSLACG00000003058
calidris_pygmaea ENSCPGG00000004067
calidris_pugnax ENSCPUG00000005939
melopsittacus_undulatus ENSMUNG00000014237
taeniopygia_guttata ENSTGUG00000002069
lonchura_striata_domestica ENSLSDG00000009428
serinus_canaria ENSSCAG00000008153
zonotrichia_albicollis ENSZALG00000008247
ficedula_albicollis ENSFALG00000002048
parus_major ENSPMJG00000015810
cyanistes_caeruleus ENSCCEG00000010627
manacus_vitellinus ENSMVIG00005008740
lepidothrix_coronata ENSLCOG00000010812
anas_platyrhynchos_platyrhynchos ENSAPLG00000008857
anser_brachyrhynchus ENSABRG00000002985
gallus_gallus ENSGALG00000003688
coturnix_japonica ENSCJPG00005006933
meleagris_gallopavo ENSMGAG00000003380
numida_meleagris ENSNMEG00000003815
apteryx_owenii ENSAOWG00000008649
apteryx_haastii ENSAHAG00000008432
apteryx_rowi ENSARWG00000011481
dromaius_novaehollandiae ENSDNVG00000012736
nothoprocta_perdicaria ENSNPEG00000001741
crocodylus_porosus ENSCPRG00005015889
gopherus_agassizii ENSGAGG00000002176
chelonoidis_abingdonii ENSCABG00000020533
chrysemys_picta_bellii ENSCPBG00000004106
pelodiscus_sinensis ENSPSIG00000017393
anolis_carolinensis ENSACAG00000024819
anolis_carolinensis ENSACAG00000026901
anolis_carolinensis ENSACAG00000009545
pogona_vitticeps ENSPVIG00000011146
notechis_scutatus ENSNSUG00000015920
salvator_merianae ENSSMRG00000018858
sphenodon_punctatus ENSSPUG00000006857
phascolarctos_cinereus ENSPCIG00000024969
notamacropus_eugenii ENSMEUG00000004672
sarcophilus_harrisii ENSSHAG00000017643
monodelphis_domestica ENSMODG00000020340
chinchilla_lanigera ENSCLAG00000010580
octodon_degus ENSODEG00000017480
cavia_porcellus ENSCPOG00000008800
cavia_aperea ENSCAPG00000012776
heterocephalus_glaber_male ENSHGLG00100002507
heterocephalus_glaber_female ENSHGLG00000011918
fukomys_damarensis ENSFDAG00000004787
spermophilus_dauricus ENSSDAG00000014295
ictidomys_tridecemlineatus ENSSTOG00000015151
urocitellus_parryii ENSUPAG00010014037
marmota_marmota_marmota ENSMMMG00000002057
castor_canadensis ENSCCNG00000027091
dipodomys_ordii ENSDORG00000009542
cricetulus_griseus_chok1gshd ENSCGRG00001023185
cricetulus_griseus_crigri ENSCGRG00000000498
cricetulus_griseus_crigri-picr ENSCGRG00015017585
mesocricetus_auratus ENSMAUG00000003381
microtus_ochrogaster ENSMOCG00000014018
peromyscus_maniculatus_bairdii ENSPEMG00000019707
mus_spicilegus ENSMSIG00000031024
mus_musculus ENSMUSG00000022142
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020545
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019648
mus_pahari MGP_PahariEiJ_G0016029
rattus_norvegicus ENSRNOG00000013411
meriones_unguiculatus ENSMUGG00000021571
nannospalax_galili ENSNGAG00000001345
jaculus_jaculus ENSJJAG00000020587
oryctolagus_cuniculus ENSOCUG00000000170
ochotona_princeps ENSOPRG00000006572
pan_paniscus ENSPPAG00000043867
pan_troglodytes ENSPTRG00000016804
gorilla_gorilla ENSGGOG00000013905
homo_sapiens ENSG00000113569
pongo_abelii ENSPPYG00000015407
nomascus_leucogenys ENSNLEG00000016211
piliocolobus_tephrosceles ENSPTEG00000023757
colobus_angolensis_palliatus ENSCANG00000031575
rhinopithecus_roxellana ENSRROG00000044836
rhinopithecus_bieti ENSRBIG00000037862
theropithecus_gelada ENSTGEG00000008425
papio_anubis ENSPANG00000004003
mandrillus_leucophaeus ENSMLEG00000007950
cercocebus_atys ENSCATG00000022656
macaca_fascicularis ENSMFAG00000040363
macaca_mulatta ENSMMUG00000000704
macaca_nemestrina ENSMNEG00000039083
chlorocebus_sabaeus ENSCSAG00000016999
cebus_capucinus ENSCCAG00000032379
saimiri_boliviensis_boliviensis ENSSBOG00000019052
callithrix_jacchus ENSCJAG00000017976
aotus_nancymaae ENSANAG00000022258
carlito_syrichta ENSTSYG00000008850
propithecus_coquereli ENSPCOG00000013228
prolemur_simus ENSPSMG00000003091
microcebus_murinus ENSMICG00000017202
otolemur_garnettii ENSOGAG00000012413
tupaia_belangeri ENSTBEG00000013079
ursus_maritimus ENSUMAG00000008416
ursus_americanus ENSUAMG00000000154
ailuropoda_melanoleuca ENSAMEG00000009783
mustela_putorius_furo ENSMPUG00000014895
neovison_vison ENSNVIG00000000574
canis_lupus_dingo ENSCAFG00020013105
canis_lupus_familiaris ENSCAFG00000018684
vulpes_vulpes ENSVVUG00000002844
panthera_pardus ENSPPRG00000006328
panthera_tigris_altaica ENSPTIG00000007172
felis_catus ENSFCAG00000013875
sorex_araneus ENSSARG00000005067
pteropus_vampyrus ENSPVAG00000004104
myotis_lucifugus ENSMLUG00000014272
equus_caballus ENSECAG00000006239
equus_asinus_asinus ENSEASG00005014066
bos_mutus ENSBMUG00000007680
bos_taurus ENSBTAG00000002458
bison_bison_bison ENSBBBG00000023976
ovis_aries ENSOARG00000010255
capra_hircus ENSCHIG00000016985
tursiops_truncatus ENSTTRG00000001158
sus_scrofa ENSSSCG00000016845
vicugna_pacos ENSVPAG00000004381
erinaceus_europaeus ENSEEUG00000003049
dasypus_novemcinctus ENSDNOG00000011282
choloepus_hoffmanni ENSCHOG00000006055
loxodonta_africana ENSLAFG00000012454
procavia_capensis ENSPCAG00000004038
echinops_telfairi ENSETEG00000002500
ornithorhynchus_anatinus ENSOANG00000011539
xenopus_tropicalis ENSXETG00000004785
eptatretus_burgeri ENSEBUG00000011568
petromyzon_marinus ENSPMAG00000006720
eptatretus_burgeri ENSEBUG00000007741
ciona_intestinalis ENSCING00000008457
ciona_savignyi ENSCSAVG00000011316
drosophila_melanogaster FBgn0021761
saccharomyces_cerevisiae YBL079W
saccharomyces_cerevisiae YER105C
