chlorocebus_sabaeus ENSCSAG00000018825
theropithecus_gelada ENSTGEG00000013700
theropithecus_gelada ENSTGEG00000013670
macaca_mulatta ENSMMUG00000005589
macaca_fascicularis ENSMFAG00000042400
macaca_nemestrina ENSMNEG00000018748
piliocolobus_tephrosceles ENSPTEG00000028300
piliocolobus_tephrosceles ENSPTEG00000028255
gorilla_gorilla ENSGGOG00000038257
gorilla_gorilla ENSGGOG00000044153
pan_troglodytes ENSPTRG00000052340
pan_troglodytes ENSPTRG00000043646
pan_troglodytes ENSPTRG00000050085
pan_paniscus ENSPPAG00000012604
pongo_abelii ENSPPYG00000009468
pongo_abelii ENSPPYG00000009469
