peromyscus_maniculatus_bairdii ENSPEMG00000024380
microtus_ochrogaster ENSMOCG00000012488
cricetulus_griseus_chok1gshd ENSCGRG00001001503
cricetulus_griseus_crigri-picr ENSCGRG00015024313
mus_musculus ENSMUSG00000034151
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026017
mus_spicilegus ENSMSIG00000013581
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025075
mus_pahari MGP_PahariEiJ_G0026518
rattus_norvegicus ENSRNOG00000009792
meriones_unguiculatus ENSMUGG00000004774
nannospalax_galili ENSNGAG00000003414
dipodomys_ordii ENSDORG00000002786
heterocephalus_glaber_male ENSHGLG00100003263
heterocephalus_glaber_female ENSHGLG00000019443
chinchilla_lanigera ENSCLAG00000002082
urocitellus_parryii ENSUPAG00010021192
spermophilus_dauricus ENSSDAG00000005761
marmota_marmota_marmota ENSMMMG00000007764
ictidomys_tridecemlineatus ENSSTOG00000028902
oryctolagus_cuniculus ENSOCUG00000016778
ochotona_princeps ENSOPRG00000011008
tupaia_belangeri ENSTBEG00000008027
pan_paniscus ENSPPAG00000043991
pan_troglodytes ENSPTRG00000015595
gorilla_gorilla ENSGGOG00000023174
homo_sapiens ENSG00000169064
pongo_abelii ENSPPYG00000014272
nomascus_leucogenys ENSNLEG00000004844
colobus_angolensis_palliatus ENSCANG00000030383
piliocolobus_tephrosceles ENSPTEG00000034341
rhinopithecus_roxellana ENSRROG00000010432
rhinopithecus_bieti ENSRBIG00000032315
papio_anubis ENSPANG00000024287
theropithecus_gelada ENSTGEG00000000610
cercocebus_atys ENSCATG00000020102
mandrillus_leucophaeus ENSMLEG00000012570
macaca_fascicularis ENSMFAG00000042164
macaca_mulatta ENSMMUG00000023045
macaca_nemestrina ENSMNEG00000043425
chlorocebus_sabaeus ENSCSAG00000012444
cebus_capucinus ENSCCAG00000005675
saimiri_boliviensis_boliviensis ENSSBOG00000035563
callithrix_jacchus ENSCJAG00000002808
aotus_nancymaae ENSANAG00000025136
carlito_syrichta ENSTSYG00000005853
prolemur_simus ENSPSMG00000021957
microcebus_murinus ENSMICG00000049374
propithecus_coquereli ENSPCOG00000014280
otolemur_garnettii ENSOGAG00000002218
pteropus_vampyrus ENSPVAG00000001031
myotis_lucifugus ENSMLUG00000013001
canis_lupus_dingo ENSCAFG00020000239
canis_lupus_familiaris ENSCAFG00000014517
vulpes_vulpes ENSVVUG00000029998
mustela_putorius_furo ENSMPUG00000017071
neovison_vison ENSNVIG00000024835
felis_catus ENSFCAG00000023023
panthera_pardus ENSPPRG00000014159
bos_mutus ENSBMUG00000010046
bison_bison_bison ENSBBBG00000008278
capra_hircus ENSCHIG00000025980
ovis_aries ENSOARG00000001491
tursiops_truncatus ENSTTRG00000003325
sus_scrofa ENSSSCG00000023393
vicugna_pacos ENSVPAG00000011652
equus_caballus ENSECAG00000008429
equus_asinus_asinus ENSEASG00005020083
erinaceus_europaeus ENSEEUG00000004727
dasypus_novemcinctus ENSDNOG00000019439
choloepus_hoffmanni ENSCHOG00000008822
loxodonta_africana ENSLAFG00000018349
procavia_capensis ENSPCAG00000011700
echinops_telfairi ENSETEG00000007162
notamacropus_eugenii ENSMEUG00000004145
sarcophilus_harrisii ENSSHAG00000008989
monodelphis_domestica ENSMODG00000025488
ornithorhynchus_anatinus ENSOANG00000001363
