caenorhabditis_elegans WBGene00001423
drosophila_melanogaster FBgn0038090
ciona_intestinalis ENSCING00000005048
ciona_savignyi ENSCSAVG00000002367
erpetoichthys_calabaricus ENSECRG00000018555
eptatretus_burgeri ENSEBUG00000016084
petromyzon_marinus ENSPMAG00000007777
pogona_vitticeps ENSPVIG00000007257
anolis_carolinensis ENSACAG00000016787
notechis_scutatus ENSNSUG00000014445
salvator_merianae ENSSMRG00000003709
sphenodon_punctatus ENSSPUG00000004770
gopherus_agassizii ENSGAGG00000003006
chelonoidis_abingdonii ENSCABG00000022278
chrysemys_picta ENSCPBG00000024047
pelodiscus_sinensis ENSPSIG00000004704
bos_indicus ENSBIXG00005015033
bos_indicus ENSBIXG00000016599
bos_taurus ENSBTAG00000002579
bos_mutus ENSBMUG00000015541
bison_bison ENSBBBG00000004504
capra_hircus ENSCHIG00000021562
ovis_aries ENSOARG00000006339
tursiops_truncatus ENSTTRG00000003967
sus_scrofa ENSSSCG00000030510
myotis_lucifugus ENSMLUG00000030525
equus_asinus ENSEASG00005011787
equus_caballus ENSECAG00000023221
pteropus_vampyrus ENSPVAG00000010849
ursus_americanus ENSUAMG00000001699
ursus_maritimus ENSUMAG00000019597
ailuropoda_melanoleuca ENSAMEG00000012669
neovison_vison ENSNVIG00000010870
canis_lupus ENSCAFG00000005412
canis_lupus ENSCAFG00020015639
vulpes_vulpes ENSVVUG00000006111
panthera_pardus ENSPPRG00000002187
panthera_tigris ENSPTIG00000008381
felis_catus ENSFCAG00000003026
prolemur_simus ENSPSMG00000022957
propithecus_coquereli ENSPCOG00000015915
microcebus_murinus ENSMICG00000007686
otolemur_garnettii ENSOGAG00000006463
carlito_syrichta ENSTSYG00000036873
pan_paniscus ENSPPAG00000034630
pan_troglodytes ENSPTRG00000010982
gorilla_gorilla ENSGGOG00000013076
pan_troglodytes ENSPTRG00000040021
homo_sapiens ENSG00000105202
pongo_abelii ENSPPYG00000009979
nomascus_leucogenys ENSNLEG00000014234
chlorocebus_sabaeus ENSCSAG00000003783
mandrillus_leucophaeus ENSMLEG00000042975
macaca_mulatta ENSMMUG00000022725
macaca_nemestrina ENSMNEG00000040045
macaca_fascicularis ENSMFAG00000043908
theropithecus_gelada ENSTGEG00000024805
papio_anubis ENSPANG00000004118
cercocebus_atys ENSCATG00000039255
piliocolobus_tephrosceles ENSPTEG00000037085
colobus_angolensis ENSCANG00000042053
rhinopithecus_roxellana ENSRROG00000012374
rhinopithecus_bieti ENSRBIG00000029089
saimiri_boliviensis ENSSBOG00000033498
cebus_capucinus ENSCCAG00000004830
callithrix_jacchus ENSCJAG00000040785
aotus_nancymaae ENSANAG00000029424
aotus_nancymaae ENSANAG00000019689
tupaia_belangeri ENSTBEG00000007755
octodon_degus ENSODEG00000001001
chinchilla_lanigera ENSCLAG00000001639
cavia_porcellus ENSCPOG00000010192
cavia_aperea ENSCAPG00000009974
heterocephalus_glaber ENSHGLG00100015471
heterocephalus_glaber ENSHGLG00000009686
fukomys_damarensis ENSFDAG00000021499
spermophilus_dauricus ENSSDAG00000000296
ictidomys_tridecemlineatus ENSSTOG00000012486
marmota_marmota ENSMMMG00000020736
urocitellus_parryii ENSUPAG00010022566
mus_spicilegus ENSMSIG00000003013
mus_spretus MGP_SPRETEiJ_G0030532
mus_musculus ENSMUSG00000046865
mus_caroli MGP_CAROLIEiJ_G0029434
mus_pahari MGP_PahariEiJ_G0012670
rattus_norvegicus ENSRNOG00000019229
meriones_unguiculatus ENSMUGG00000025999
peromyscus_maniculatus ENSPEMG00000015440
microtus_ochrogaster ENSMOCG00000012820
mesocricetus_auratus ENSMAUG00000003620
cricetulus_griseus ENSCGRG00001024532
cricetulus_griseus ENSCGRG00001021702
cricetulus_griseus ENSCGRG00015025682
cricetulus_griseus ENSCGRG00000012705
nannospalax_galili ENSNGAG00000022243
jaculus_jaculus ENSJJAG00000018359
castor_canadensis ENSCCNG00000007840
ochotona_princeps ENSOPRG00000010475
oryctolagus_cuniculus ENSOCUG00000009027
dipodomys_ordii ENSDORG00000005756
sorex_araneus ENSSARG00000008709
procavia_capensis ENSPCAG00000011523
loxodonta_africana ENSLAFG00000000171
dasypus_novemcinctus ENSDNOG00000025216
echinops_telfairi ENSETEG00000003164
cavia_aperea ENSCAPG00000008751
ictidomys_tridecemlineatus ENSSTOG00000031046
mesocricetus_auratus ENSMAUG00000015741
meriones_unguiculatus ENSMUGG00000015843
jaculus_jaculus ENSJJAG00000000811
ochotona_princeps ENSOPRG00000004127
theropithecus_gelada ENSTGEG00000010712
chlorocebus_sabaeus ENSCSAG00000010153
macaca_fascicularis ENSMFAG00000036422
pan_troglodytes ENSPTRG00000046755
pan_paniscus ENSPPAG00000015519
mandrillus_leucophaeus ENSMLEG00000040259
saimiri_boliviensis ENSSBOG00000019476
propithecus_coquereli ENSPCOG00000020746
peromyscus_maniculatus ENSPEMG00000020325
microtus_ochrogaster ENSMOCG00000022683
mus_musculus ENSMUSG00000051062
mus_caroli MGP_CAROLIEiJ_G0016207
mus_spicilegus ENSMSIG00000007492
mus_spretus MGP_SPRETEiJ_G0017048
mus_pahari MGP_PahariEiJ_G0017343
rattus_norvegicus ENSRNOG00000015303
cricetulus_griseus ENSCGRG00001010028
cricetulus_griseus ENSCGRG00015021890
nannospalax_galili ENSNGAG00000012285
castor_canadensis ENSCCNG00000000230
heterocephalus_glaber ENSHGLG00100021287
fukomys_damarensis ENSFDAG00000018404
chinchilla_lanigera ENSCLAG00000018056
octodon_degus ENSODEG00000019199
canis_lupus ENSCAFG00020003509
canis_lupus ENSCAFG00000044465
vulpes_vulpes ENSVVUG00000003074
ovis_aries ENSOARG00000014603
myotis_lucifugus ENSMLUG00000011858
bos_mutus ENSBMUG00000002739
bos_indicus ENSBIXG00005027200
bison_bison ENSBBBG00000015226
bos_taurus ENSBTAG00000004657
capra_hircus ENSCHIG00000005751
ursus_americanus ENSUAMG00000023304
ailuropoda_melanoleuca ENSAMEG00000007104
mustela_putorius ENSMPUG00000013045
colobus_angolensis ENSCANG00000043304
carlito_syrichta ENSTSYG00000030585
heterocephalus_glaber ENSHGLG00000015259
cavia_porcellus ENSCPOG00000025737
urocitellus_parryii ENSUPAG00010016937
nomascus_leucogenys ENSNLEG00000031565
homo_sapiens ENSG00000188573
macaca_mulatta ENSMMUG00000012520
papio_anubis ENSPANG00000024859
callithrix_jacchus ENSCJAG00000015548
cebus_capucinus ENSCCAG00000033894
tursiops_truncatus ENSTTRG00000016156
sus_scrofa ENSSSCG00000017013
equus_caballus ENSECAG00000023600
equus_asinus ENSEASG00005012784
panthera_pardus ENSPPRG00000020963
loxodonta_africana ENSLAFG00000032132
phascolarctos_cinereus ENSPCIG00000014607
vombatus_ursinus ENSVURG00010023386
notamacropus_eugenii ENSMEUG00000014684
monodelphis_domestica ENSMODG00000013694
sarcophilus_harrisii ENSSHAG00000003274
ornithorhynchus_anatinus ENSOANG00000014658
coturnix_japonica ENSCJPG00005001201
cyanistes_caeruleus ENSCCEG00000004596
apteryx_rowi ENSARWG00000000988
xenopus_tropicalis ENSXETG00000008981
seriola_lalandi ENSSLDG00000010053
seriola_lalandi ENSSLDG00000002539
seriola_dumerili ENSSDUG00000004103
scophthalmus_maximus ENSSMAG00000011853
gasterosteus_aculeatus ENSGACG00000004194
labrus_bergylta ENSLBEG00000017315
oryzias_latipes ENSORLG00000003405
oryzias_latipes ENSORLG00020022508
oryzias_latipes ENSORLG00015011532
oryzias_melastigma ENSOMEG00000019309
gouania_willdenowi ENSGWIG00000002163
amphiprion_ocellaris ENSAOCG00000008806
amphiprion_percula ENSAPEG00000011843
acanthochromis_polyacanthus ENSAPOG00000015135
stegastes_partitus ENSSPAG00000019953
parambassis_ranga ENSPRNG00000010415
fundulus_heteroclitus ENSFHEG00000010854
