xenopus_tropicalis ENSXETG00000008958
latimeria_chalumnae ENSLACG00000018519
periophthalmus_magnuspinnatus ENSPMGG00000010688
cottoperca_gobio ENSCGOG00000018480
hucho_hucho ENSHHUG00000032608
esox_lucius ENSELUG00000000883
pogona_vitticeps ENSPVIG00000009918
anolis_carolinensis ENSACAG00000007471
notechis_scutatus ENSNSUG00000007055
salvator_merianae ENSSMRG00000021861
sphenodon_punctatus ENSSPUG00000004987
apteryx_owenii ENSAOWG00000009816
apteryx_haastii ENSAHAG00000002155
apteryx_rowi ENSARWG00000001695
dromaius_novaehollandiae ENSDNVG00000005583
nothoprocta_perdicaria ENSNPEG00000002353
anas_platyrhynchos ENSAPLG00000012108
anser_brachyrhynchus ENSABRG00000013530
meleagris_gallopavo ENSMGAG00000003659
coturnix_japonica ENSCJPG00005011553
gallus_gallus ENSGALG00000021273
numida_meleagris ENSNMEG00000003140
calidris_pygmaea ENSCPGG00000010632
calidris_pugnax ENSCPUG00000018135
melopsittacus_undulatus ENSMUNG00000009545
serinus_canaria ENSSCAG00000005684
ficedula_albicollis ENSFALG00000005903
cyanistes_caeruleus ENSCCEG00000004242
lonchura_striata ENSLSDG00000006749
parus_major ENSPMJG00000008519
zonotrichia_albicollis ENSZALG00000012589
junco_hyemalis ENSJHYG00000000077
taeniopygia_guttata ENSTGUG00000017357
lepidothrix_coronata ENSLCOG00000004091
crocodylus_porosus ENSCPRG00005000393
chelonoidis_abingdonii ENSCABG00000004256
gopherus_agassizii ENSGAGG00000019554
chrysemys_picta ENSCPBG00000020855
pelodiscus_sinensis ENSPSIG00000002113
castor_canadensis ENSCCNG00000008545
dipodomys_ordii ENSDORG00000014616
mus_spicilegus ENSMSIG00000009716
mus_musculus ENSMUSG00000037129
mus_spretus MGP_SPRETEiJ_G0033282
mus_caroli MGP_CAROLIEiJ_G0032143
mus_pahari MGP_PahariEiJ_G0015013
rattus_norvegicus ENSRNOG00000016397
meriones_unguiculatus ENSMUGG00000011283
peromyscus_maniculatus ENSPEMG00000016764
microtus_ochrogaster ENSMOCG00000011469
cricetulus_griseus ENSCGRG00000000873
cricetulus_griseus ENSCGRG00001014487
cricetulus_griseus ENSCGRG00015017632
mesocricetus_auratus ENSMAUG00000012207
nannospalax_galili ENSNGAG00000014237
jaculus_jaculus ENSJJAG00000010732
chinchilla_lanigera ENSCLAG00000015251
octodon_degus ENSODEG00000009248
heterocephalus_glaber ENSHGLG00100016162
heterocephalus_glaber ENSHGLG00000019043
fukomys_damarensis ENSFDAG00000016658
cavia_porcellus ENSCPOG00000011938
cavia_aperea ENSCAPG00000010860
urocitellus_parryii ENSUPAG00010006212
spermophilus_dauricus ENSSDAG00000005382
marmota_marmota ENSMMMG00000022786
ictidomys_tridecemlineatus ENSSTOG00000007794
ochotona_princeps ENSOPRG00000016515
oryctolagus_cuniculus ENSOCUG00000010366
propithecus_coquereli ENSPCOG00000027893
microcebus_murinus ENSMICG00000002440
prolemur_simus ENSPSMG00000001533
otolemur_garnettii ENSOGAG00000006577
ursus_americanus ENSUAMG00000003654
ursus_maritimus ENSUMAG00000002138
ailuropoda_melanoleuca ENSAMEG00000003744
neovison_vison ENSNVIG00000005201
mustela_putorius ENSMPUG00000004419
vulpes_vulpes ENSVVUG00000024330
canis_lupus ENSCAFG00020001677
panthera_pardus ENSPPRG00000002130
panthera_tigris ENSPTIG00000017785
felis_catus ENSFCAG00000011762
erinaceus_europaeus ENSEEUG00000004294
macaca_nemestrina ENSMNEG00000042137
macaca_mulatta ENSMMUG00000007618
papio_anubis ENSPANG00000015323
theropithecus_gelada ENSTGEG00000022533
cercocebus_atys ENSCATG00000041929
mandrillus_leucophaeus ENSMLEG00000024181
macaca_fascicularis ENSMFAG00000035915
chlorocebus_sabaeus ENSCSAG00000002630
piliocolobus_tephrosceles ENSPTEG00000021229
colobus_angolensis ENSCANG00000035069
rhinopithecus_bieti ENSRBIG00000018608
rhinopithecus_roxellana ENSRROG00000045488
pan_troglodytes ENSPTRG00000004330
pan_paniscus ENSPPAG00000037455
gorilla_gorilla ENSGGOG00000002744
homo_sapiens ENSG00000137747
nomascus_leucogenys ENSNLEG00000007349
pongo_abelii ENSPPYG00000003919
saimiri_boliviensis ENSSBOG00000031082
callithrix_jacchus ENSCJAG00000013052
cebus_capucinus ENSCCAG00000020234
aotus_nancymaae ENSANAG00000021105
carlito_syrichta ENSTSYG00000012795
sus_scrofa ENSSSCG00000038710
vicugna_pacos ENSVPAG00000005834
ovis_aries ENSOARG00000007366
capra_hircus ENSCHIG00000020639
bos_indicus ENSBIXG00000010292
bos_indicus ENSBIXG00005025432
bos_taurus ENSBTAG00000008342
bison_bison ENSBBBG00000022999
tursiops_truncatus ENSTTRG00000008722
equus_caballus ENSECAG00000011308
equus_asinus ENSEASG00005005133
pteropus_vampyrus ENSPVAG00000003559
myotis_lucifugus ENSMLUG00000001926
tupaia_belangeri ENSTBEG00000017256
loxodonta_africana ENSLAFG00000022309
procavia_capensis ENSPCAG00000000231
choloepus_hoffmanni ENSCHOG00000005135
dasypus_novemcinctus ENSDNOG00000043113
phascolarctos_cinereus ENSPCIG00000011980
vombatus_ursinus ENSVURG00010005161
notamacropus_eugenii ENSMEUG00000000048
monodelphis_domestica ENSMODG00000013569
sarcophilus_harrisii ENSSHAG00000004622
ornithorhynchus_anatinus ENSOANG00000015084
takifugu_rubripes ENSTRUG00000020477
tetraodon_nigroviridis ENSTNIG00000007769
gasterosteus_aculeatus ENSGACG00000009369
labrus_bergylta ENSLBEG00000025840
betta_splendens ENSBSLG00000012352
xiphophorus_couchianus ENSXCOG00000012713
amphiprion_percula ENSAPEG00000011920
amphiprion_ocellaris ENSAOCG00000024190
acanthochromis_polyacanthus ENSAPOG00000020731
stegastes_partitus ENSSPAG00000003077
parambassis_ranga ENSPRNG00000002284
fundulus_heteroclitus ENSFHEG00000015942
cyprinodon_variegatus ENSCVAG00000017450
xiphophorus_maculatus ENSXMAG00000004024
gambusia_affinis ENSGAFG00000011802
poecilia_mexicana ENSPMEG00000000292
poecilia_formosa ENSPFOG00000003011
poecilia_latipinna ENSPLAG00000022540
poecilia_reticulata ENSPREG00000022725
kryptolebias_marmoratus ENSKMAG00000008972
oryzias_latipes ENSORLG00020002393
oryzias_latipes ENSORLG00015004101
oryzias_latipes ENSORLG00000007210
oryzias_melastigma ENSOMEG00000014523
haplochromis_burtoni ENSHBUG00000018538
maylandia_zebra ENSMZEG00005016202
astatotilapia_calliptera ENSACLG00000018334
oreochromis_niloticus ENSONIG00000006051
neolamprologus_brichardi ENSNBRG00000006533
amphilophus_citrinellus ENSACIG00000000673
cottoperca_gobio ENSCGOG00000007284
cynoglossus_semilaevis ENSCSEG00000016701
seriola_dumerili ENSSDUG00000021484
seriola_lalandi ENSSLDG00000021870
lates_calcarifer ENSLCAG00010016622
larimichthys_crocea ENSLCRG00005013021
mastacembelus_armatus ENSMAMG00000010564
monopterus_albus ENSMALG00000007772
anabas_testudineus ENSATEG00000012152
hippocampus_comes ENSHCOG00000006466
gadus_morhua ENSGMOG00000000011
hucho_hucho ENSHHUG00000017976
hucho_hucho ENSHHUG00000013730
esox_lucius ENSELUG00000013355
astyanax_mexicanus ENSAMXG00000004250
astyanax_mexicanus ENSAMXG00005007931
astyanax_mexicanus ENSAMXG00005013508
astyanax_mexicanus ENSAMXG00000043292
pygocentrus_nattereri ENSPNAG00000012864
ictalurus_punctatus ENSIPUG00000019527
electrophorus_electricus ENSEEEG00000017771
danio_rerio ENSDARG00000077573
clupea_harengus ENSCHAG00000025930
hucho_hucho ENSHHUG00000008308
hucho_hucho ENSHHUG00000002176
gouania_willdenowi ENSGWIG00000015841
periophthalmus_magnuspinnatus ENSPMGG00000009644
scophthalmus_maximus ENSSMAG00000014808
scleropages_formosus ENSSFOG00015007782
scleropages_formosus ENSSFOG00015007743
lepisosteus_oculatus ENSLOCG00000006710
erpetoichthys_calabaricus ENSECRG00000012873
gouania_willdenowi ENSGWIG00000015832
junco_hyemalis ENSJHYG00000000071
callorhinchus_milii ENSCMIG00000007324
