oryzias_melastigma ENSOMEG00000019561
gouania_willdenowi ENSGWIG00000002061
fundulus_heteroclitus ENSFHEG00000000643
cyprinodon_variegatus ENSCVAG00000007019
poecilia_mexicana ENSPMEG00000022296
poecilia_formosa ENSPFOG00000005132
poecilia_latipinna ENSPLAG00000018391
poecilia_reticulata ENSPREG00000022492
xiphophorus_maculatus ENSXMAG00000026227
xiphophorus_couchianus ENSXCOG00000016643
gambusia_affinis ENSGAFG00000000095
xiphophorus_maculatus ENSXMAG00000023954
kryptolebias_marmoratus ENSKMAG00000006807
gasterosteus_aculeatus ENSGACG00000015587
larimichthys_crocea ENSLCRG00005016812
labrus_bergylta ENSLBEG00000011171
cottoperca_gobio ENSCGOG00000008596
tetraodon_nigroviridis ENSTNIG00000017160
takifugu_rubripes ENSTRUG00000000132
mola_mola ENSMMOG00000006020
amphiprion_ocellaris ENSAOCG00000023900
amphiprion_percula ENSAPEG00000004974
acanthochromis_polyacanthus ENSAPOG00000001933
stegastes_partitus ENSSPAG00000015964
parambassis_ranga ENSPRNG00000008092
astatotilapia_calliptera ENSACLG00000012941
maylandia_zebra ENSMZEG00005000555
haplochromis_burtoni ENSHBUG00000009912
pundamilia_nyererei ENSPNYG00000021222
neolamprologus_brichardi ENSNBRG00000015573
oreochromis_niloticus ENSONIG00000012192
amphilophus_citrinellus ENSACIG00000016194
mastacembelus_armatus ENSMAMG00000022525
monopterus_albus ENSMALG00000006544
anabas_testudineus ENSATEG00000012946
betta_splendens ENSBSLG00000010533
seriola_lalandi ENSSLDG00000019967
seriola_dumerili ENSSDUG00000007869
lates_calcarifer ENSLCAG00010019396
scophthalmus_maximus ENSSMAG00000012687
cynoglossus_semilaevis ENSCSEG00000005465
hippocampus_comes ENSHCOG00000010987
periophthalmus_magnuspinnatus ENSPMGG00000016611
hucho_hucho ENSHHUG00000041511
hucho_hucho ENSHHUG00000030848
esox_lucius ENSELUG00000016246
denticeps_clupeoides ENSDCDG00000001073
clupea_harengus ENSCHAG00000011741
astyanax_mexicanus ENSAMXG00005013619
astyanax_mexicanus ENSAMXG00000029840
pygocentrus_nattereri ENSPNAG00000019308
ictalurus_punctatus ENSIPUG00000008665
electrophorus_electricus ENSEEEG00000012655
danio_rerio ENSDARG00000042947
