calidris_pygmaea ENSCPGG00000007435
serinus_canaria ENSSCAG00000000872
apteryx_owenii ENSAOWG00000011422
anas_platyrhynchos_platyrhynchos ENSAPLG00000008341
numida_meleagris ENSNMEG00000011008
melopsittacus_undulatus ENSMUNG00000008216
manacus_vitellinus ENSMVIG00005004184
gopherus_agassizii ENSGAGG00000014312
pelodiscus_sinensis ENSPSIG00000009962
chrysemys_picta_bellii ENSCPBG00000014340
dromaius_novaehollandiae ENSDNVG00000005646
lonchura_striata_domestica ENSLSDG00000014740
taeniopygia_guttata ENSTGUG00000002622
parus_major ENSPMJG00000007901
junco_hyemalis ENSJHYG00000000836
ficedula_albicollis ENSFALG00000004117
zonotrichia_albicollis ENSZALG00000014307
cyanistes_caeruleus ENSCCEG00000011160
lepidothrix_coronata ENSLCOG00000015008
coturnix_japonica ENSCJPG00005003538
pogona_vitticeps ENSPVIG00000007299
salvator_merianae ENSSMRG00000009244
pan_troglodytes ENSPTRG00000021994
pan_paniscus ENSPPAG00000032671
homo_sapiens ENSG00000147127
gorilla_gorilla ENSGGOG00000006619
pongo_abelii ENSPPYG00000020928
nomascus_leucogenys ENSNLEG00000000853
macaca_nemestrina ENSMNEG00000045569
macaca_mulatta ENSMMUG00000013937
macaca_fascicularis ENSMFAG00000000762
cercocebus_atys ENSCATG00000037380
mandrillus_leucophaeus ENSMLEG00000038149
papio_anubis ENSPANG00000007317
theropithecus_gelada ENSTGEG00000007660
chlorocebus_sabaeus ENSCSAG00000011629
rhinopithecus_roxellana ENSRROG00000032203
rhinopithecus_bieti ENSRBIG00000027991
piliocolobus_tephrosceles ENSPTEG00000019700
colobus_angolensis_palliatus ENSCANG00000024057
cebus_capucinus ENSCCAG00000021274
saimiri_boliviensis_boliviensis ENSSBOG00000020927
callithrix_jacchus ENSCJAG00000012441
carlito_syrichta ENSTSYG00000000768
tursiops_truncatus ENSTTRG00000007854
vicugna_pacos ENSVPAG00000008578
bos_taurus ENSBTAG00000054409
bos_mutus ENSBMUG00000000507
bison_bison_bison ENSBBBG00000018071
pteropus_vampyrus ENSPVAG00000014362
procavia_capensis ENSPCAG00000002405
phascolarctos_cinereus ENSPCIG00000029006
notamacropus_eugenii ENSMEUG00000012032
sarcophilus_harrisii ENSSHAG00000005481
xenopus_tropicalis ENSXETG00000030938
oreochromis_niloticus ENSONIG00000002774
haplochromis_burtoni ENSHBUG00000014338
amphilophus_citrinellus ENSACIG00000010914
amphiprion_ocellaris ENSAOCG00000022426
xiphophorus_maculatus ENSXMAG00000027787
xiphophorus_couchianus ENSXCOG00000015802
poecilia_reticulata ENSPREG00000009535
poecilia_formosa ENSPFOG00000011424
fundulus_heteroclitus ENSFHEG00000015996
labrus_bergylta ENSLBEG00000008746
periophthalmus_magnuspinnatus ENSPMGG00000017830
tetraodon_nigroviridis ENSTNIG00000016831
oryzias_melastigma ENSOMEG00000017258
oryzias_latipes ENSORLG00000027669
oryzias_latipes_asm223469v1 ENSORLG00015010161
amphiprion_percula ENSAPEG00000007931
esox_lucius ENSELUG00000003038
scleropages_formosus ENSSFOG00015011268
paramormyrops_kingsleyae ENSPKIG00000014618
