equus_asinus_asinus ENSEASG00005006236
equus_caballus ENSECAG00000010141
fundulus_heteroclitus ENSFHEG00000016353
eptatretus_burgeri ENSEBUG00000003639
poecilia_formosa ENSPFOG00000000570
poecilia_latipinna ENSPLAG00000016267
poecilia_mexicana ENSPMEG00000016378
poecilia_reticulata ENSPREG00000011290
xiphophorus_maculatus ENSXMAG00000026672
gambusia_affinis ENSGAFG00000004903
cyprinodon_variegatus ENSCVAG00000010601
cyprinodon_variegatus ENSCVAG00000021828
kryptolebias_marmoratus ENSKMAG00000005073
oryzias_latipes ENSORLG00020014829
oryzias_latipes_asm223469v1 ENSORLG00015010205
oryzias_latipes ENSORLG00000008391
oryzias_melastigma ENSOMEG00000003606
tetraodon_nigroviridis ENSTNIG00000010191
takifugu_rubripes ENSTRUG00000021737
cynoglossus_semilaevis ENSCSEG00000016127
scophthalmus_maximus ENSSMAG00000021020
hippocampus_comes ENSHCOG00000008819
monopterus_albus ENSMALG00000018159
anabas_testudineus ENSATEG00000016559
gasterosteus_aculeatus ENSGACG00000008140
amphiprion_percula ENSAPEG00000006238
amphiprion_ocellaris ENSAOCG00000006414
acanthochromis_polyacanthus ENSAPOG00000005643
stegastes_partitus ENSSPAG00000011615
haplochromis_burtoni ENSHBUG00000008858
pundamilia_nyererei ENSPNYG00000016794
astatotilapia_calliptera ENSACLG00000022738
maylandia_zebra ENSMZEG00005016420
oreochromis_niloticus ENSONIG00000012724
mastacembelus_armatus ENSMAMG00000006190
labrus_bergylta ENSLBEG00000027930
seriola_lalandi_dorsalis ENSSLDG00000006827
seriola_dumerili ENSSDUG00000009588
pygocentrus_nattereri ENSPNAG00000016598
astyanax_mexicanus ENSAMXG00000016932
ictalurus_punctatus ENSIPUG00000005368
danio_rerio ENSDARG00000023852
gadus_morhua ENSGMOG00000007729
esox_lucius ENSELUG00000012821
paramormyrops_kingsleyae ENSPKIG00000006154
scleropages_formosus ENSSFOG00015021067
lepisosteus_oculatus ENSLOCG00000002025
prolemur_simus ENSPSMG00000000120
propithecus_coquereli ENSPCOG00000019837
microcebus_murinus ENSMICG00000000222
callithrix_jacchus ENSCJAG00000014171
saimiri_boliviensis_boliviensis ENSSBOG00000022455
cebus_capucinus ENSCCAG00000036308
aotus_nancymaae ENSANAG00000034659
homo_sapiens ENSG00000130520
pongo_abelii ENSPPYG00000009736
macaca_mulatta ENSMMUG00000004405
macaca_fascicularis ENSMFAG00000031194
chlorocebus_sabaeus ENSCSAG00000005370
theropithecus_gelada ENSTGEG00000014127
colobus_angolensis_palliatus ENSCANG00000043686
spermophilus_dauricus ENSSDAG00000010251
ictidomys_tridecemlineatus ENSSTOG00000016494
marmota_marmota_marmota ENSMMMG00000001362
capra_hircus ENSCHIG00000010928
ovis_aries ENSOARG00000012553
bos_mutus ENSBMUG00000015777
bos_taurus ENSBTAG00000008578
bison_bison_bison ENSBBBG00000001281
sus_scrofa ENSSSCG00000034314
pteropus_vampyrus ENSPVAG00000015383
myotis_lucifugus ENSMLUG00000004010
ursus_americanus ENSUAMG00000000665
ursus_maritimus ENSUMAG00000009013
ailuropoda_melanoleuca ENSAMEG00000011162
neovison_vison ENSNVIG00000017819
mustela_putorius_furo ENSMPUG00000015589
canis_lupus_familiaris ENSCAFG00000014900
canis_lupus_dingo ENSCAFG00020012137
vulpes_vulpes ENSVVUG00000008136
panthera_tigris_altaica ENSPTIG00000006306
panthera_pardus ENSPPRG00000018264
felis_catus ENSFCAG00000040580
otolemur_garnettii ENSOGAG00000027992
fukomys_damarensis ENSFDAG00000010124
heterocephalus_glaber_female ENSHGLG00000006568
octodon_degus ENSODEG00000020549
octodon_degus ENSODEG00000011712
octodon_degus ENSODEG00000004519
cavia_porcellus ENSCPOG00000024117
cavia_aperea ENSCAPG00000014140
chinchilla_lanigera ENSCLAG00000010828
dipodomys_ordii ENSDORG00000024225
mus_musculus ENSMUSG00000031848
mus_spicilegus ENSMSIG00000032071
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032276
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031158
mus_pahari MGP_PahariEiJ_G0021623
rattus_norvegicus ENSRNOG00000019572
meriones_unguiculatus ENSMUGG00000013841
microtus_ochrogaster ENSMOCG00000020861
peromyscus_maniculatus_bairdii ENSPEMG00000001358
cricetulus_griseus_crigri-picr ENSCGRG00015000914
cricetulus_griseus_chok1gshd ENSCGRG00001014436
cricetulus_griseus_crigri ENSCGRG00000009398
nannospalax_galili ENSNGAG00000008644
jaculus_jaculus ENSJJAG00000017420
ochotona_princeps ENSOPRG00000005575
carlito_syrichta ENSTSYG00000030906
loxodonta_africana ENSLAFG00000017459
procavia_capensis ENSPCAG00000008513
echinops_telfairi ENSETEG00000007762
phascolarctos_cinereus ENSPCIG00000037130
notamacropus_eugenii ENSMEUG00000013229
monodelphis_domestica ENSMODG00000015044
sarcophilus_harrisii ENSSHAG00000011559
parus_major ENSPMJG00000011729
serinus_canaria ENSSCAG00000015720
