macaca_fascicularis ENSMFAG00000042201
macaca_mulatta ENSMMUG00000013626
macaca_nemestrina ENSMNEG00000041838
papio_anubis ENSPANG00000004876
theropithecus_gelada ENSTGEG00000016349
cercocebus_atys ENSCATG00000043278
mandrillus_leucophaeus ENSMLEG00000032294
chlorocebus_sabaeus ENSCSAG00000008499
rhinopithecus_roxellana ENSRROG00000030351
rhinopithecus_bieti ENSRBIG00000034965
piliocolobus_tephrosceles ENSPTEG00000013520
piliocolobus_tephrosceles ENSPTEG00000018247
pan_paniscus ENSPPAG00000041662
pan_troglodytes ENSPTRG00000014282
homo_sapiens ENSG00000100170
gorilla_gorilla ENSGGOG00000002960
pongo_abelii ENSPPYG00000011744
nomascus_leucogenys ENSNLEG00000004788
saimiri_boliviensis_boliviensis ENSSBOG00000029749
cebus_capucinus ENSCCAG00000025914
callithrix_jacchus ENSCJAG00000011369
aotus_nancymaae ENSANAG00000027253
carlito_syrichta ENSTSYG00000006344
propithecus_coquereli ENSPCOG00000026407
microcebus_murinus ENSMICG00000035506
prolemur_simus ENSPSMG00000005111
otolemur_garnettii ENSOGAG00000003370
mus_spicilegus ENSMSIG00000020102
mus_musculus ENSMUSG00000011034
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028105
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027109
mus_pahari MGP_PahariEiJ_G0016893
rattus_norvegicus ENSRNOG00000017775
meriones_unguiculatus ENSMUGG00000017623
cricetulus_griseus_chok1gshd ENSCGRG00001023507
cricetulus_griseus_crigri ENSCGRG00000017463
cricetulus_griseus_crigri-picr ENSCGRG00015027242
mesocricetus_auratus ENSMAUG00000014523
peromyscus_maniculatus_bairdii ENSPEMG00000018099
nannospalax_galili ENSNGAG00000020941
jaculus_jaculus ENSJJAG00000009498
dipodomys_ordii ENSDORG00000010759
cavia_porcellus ENSCPOG00000007281
cavia_aperea ENSCAPG00000001722
chinchilla_lanigera ENSCLAG00000010499
octodon_degus ENSODEG00000004082
heterocephalus_glaber_male ENSHGLG00100018780
heterocephalus_glaber_female ENSHGLG00000006105
fukomys_damarensis ENSFDAG00000010834
ictidomys_tridecemlineatus ENSSTOG00000006386
urocitellus_parryii ENSUPAG00010015892
spermophilus_dauricus ENSSDAG00000006680
marmota_marmota_marmota ENSMMMG00000017810
marmota_marmota_marmota ENSMMMG00000017777
pteropus_vampyrus ENSPVAG00000017245
sorex_araneus ENSSARG00000013731
mustela_putorius_furo ENSMPUG00000012749
neovison_vison ENSNVIG00000020933
canis_lupus_familiaris ENSCAFG00000013439
canis_lupus_dingo ENSCAFG00020003745
vulpes_vulpes ENSVVUG00000029081
ursus_maritimus ENSUMAG00000015760
ursus_americanus ENSUAMG00000017417
ailuropoda_melanoleuca ENSAMEG00000006897
panthera_tigris_altaica ENSPTIG00000017762
panthera_pardus ENSPPRG00000002585
felis_catus ENSFCAG00000001331
equus_caballus ENSECAG00000000267
equus_asinus_asinus ENSEASG00005011466
ovis_aries ENSOARG00000011955
capra_hircus ENSCHIG00000019977
bos_mutus ENSBMUG00000021979
bos_taurus ENSBTAG00000012851
bison_bison_bison ENSBBBG00000022307
tursiops_truncatus ENSTTRG00000000253
sus_scrofa ENSSSCG00000010036
myotis_lucifugus ENSMLUG00000000838
loxodonta_africana ENSLAFG00000021780
procavia_capensis ENSPCAG00000015157
echinops_telfairi ENSETEG00000015349
choloepus_hoffmanni ENSCHOG00000005940
dasypus_novemcinctus ENSDNOG00000033111
oryctolagus_cuniculus ENSOCUG00000017569
ochotona_princeps ENSOPRG00000010458
phascolarctos_cinereus ENSPCIG00000032824
