poecilia_reticulata ENSPREG00000018504
kryptolebias_marmoratus ENSKMAG00000009719
oryzias_melastigma ENSOMEG00000009163
danio_rerio ENSDARG00000100152
bison_bison ENSBBBG00000016543
sus_scrofa ENSSSCG00000031661
panthera_tigris ENSPTIG00000006041
panthera_pardus ENSPPRG00000022693
vulpes_vulpes ENSVVUG00000023065
mustela_putorius ENSMPUG00000012124
myotis_lucifugus ENSMLUG00000024665
cricetulus_griseus ENSCGRG00000006269
cricetulus_griseus ENSCGRG00001020442
cricetulus_griseus ENSCGRG00015012305
mesocricetus_auratus ENSMAUG00000014593
microtus_ochrogaster ENSMOCG00000009836
peromyscus_maniculatus ENSPEMG00000009198
mus_musculus ENSMUSG00000087651
mus_spicilegus ENSMSIG00000031458
mus_caroli MGP_CAROLIEiJ_G0015673
mus_pahari MGP_PahariEiJ_G0031411
nannospalax_galili ENSNGAG00000013967
dipodomys_ordii ENSDORG00000028465
pan_paniscus ENSPPAG00000037210
gorilla_gorilla ENSGGOG00000038455
homo_sapiens ENSG00000235162
macaca_fascicularis ENSMFAG00000003861
macaca_nemestrina ENSMNEG00000027979
theropithecus_gelada ENSTGEG00000010992
papio_anubis ENSPANG00000033836
mandrillus_leucophaeus ENSMLEG00000033446
cercocebus_atys ENSCATG00000040575
macaca_mulatta ENSMMUG00000046424
chlorocebus_sabaeus ENSCSAG00000002966
piliocolobus_tephrosceles ENSPTEG00000017157
colobus_angolensis ENSCANG00000008962
piliocolobus_tephrosceles ENSPTEG00000010680
piliocolobus_tephrosceles ENSPTEG00000001642
piliocolobus_tephrosceles ENSPTEG00000001605
piliocolobus_tephrosceles ENSPTEG00000010725
colobus_angolensis ENSCANG00000036680
cebus_capucinus ENSCCAG00000035327
callithrix_jacchus ENSCJAG00000048581
saimiri_boliviensis ENSSBOG00000032534
aotus_nancymaae ENSANAG00000033802
prolemur_simus ENSPSMG00000011071
microcebus_murinus ENSMICG00000026810
marmota_marmota ENSMMMG00000017181
urocitellus_parryii ENSUPAG00010002208
castor_canadensis ENSCCNG00000021716
heterocephalus_glaber ENSHGLG00000010392
heterocephalus_glaber ENSHGLG00100017075
fukomys_damarensis ENSFDAG00000012426
cavia_porcellus ENSCPOG00000033707
cavia_aperea ENSCAPG00000006676
chinchilla_lanigera ENSCLAG00000009180
octodon_degus ENSODEG00000012089
vombatus_ursinus ENSVURG00010005309
monodelphis_domestica ENSMODG00000037198
meleagris_gallopavo ENSMGAG00000016788
ficedula_albicollis ENSFALG00000013433
crocodylus_porosus ENSCPRG00005018458
gopherus_agassizii ENSGAGG00000018111
