notamacropus_eugenii ENSMEUG00000000595
phascolarctos_cinereus ENSPCIG00000024830
sarcophilus_harrisii ENSSHAG00000015355
monodelphis_domestica ENSMODG00000029131
vicugna_pacos ENSVPAG00000009679
sus_scrofa ENSSSCG00000032298
capra_hircus ENSCHIG00000001779
ovis_aries ENSOARG00000016747
bos_mutus ENSBMUG00000016214
bos_taurus ENSBTAG00000010858
bison_bison_bison ENSBBBG00000004282
tursiops_truncatus ENSTTRG00000015193
pteropus_vampyrus ENSPVAG00000011416
equus_caballus ENSECAG00000021168
equus_asinus_asinus ENSEASG00005014518
ursus_americanus ENSUAMG00000025765
ursus_maritimus ENSUMAG00000007046
ailuropoda_melanoleuca ENSAMEG00000004329
ailuropoda_melanoleuca ENSAMEG00000007593
neovison_vison ENSNVIG00000018635
mustela_putorius_furo ENSMPUG00000003011
canis_lupus_dingo ENSCAFG00020000152
canis_lupus_familiaris ENSCAFG00000010061
vulpes_vulpes ENSVVUG00000016112
panthera_tigris_altaica ENSPTIG00000016229
panthera_pardus ENSPPRG00000013105
felis_catus ENSFCAG00000005280
erinaceus_europaeus ENSEEUG00000005914
sorex_araneus ENSSARG00000004167
homo_sapiens ENSG00000121270
gorilla_gorilla ENSGGOG00000005674
pan_troglodytes ENSPTRG00000008092
pan_paniscus ENSPPAG00000043908
pongo_abelii ENSPPYG00000007327
colobus_angolensis_palliatus ENSCANG00000028686
piliocolobus_tephrosceles ENSPTEG00000017370
rhinopithecus_bieti ENSRBIG00000034888
rhinopithecus_roxellana ENSRROG00000034803
mandrillus_leucophaeus ENSMLEG00000033170
cercocebus_atys ENSCATG00000036396
theropithecus_gelada ENSTGEG00000019594
papio_anubis ENSPANG00000015025
macaca_fascicularis ENSMFAG00000030745
macaca_nemestrina ENSMNEG00000041830
macaca_mulatta ENSMMUG00000008290
chlorocebus_sabaeus ENSCSAG00000005454
cebus_capucinus ENSCCAG00000020774
saimiri_boliviensis_boliviensis ENSSBOG00000030679
callithrix_jacchus ENSCJAG00000012514
aotus_nancymaae ENSANAG00000021357
carlito_syrichta ENSTSYG00000001398
propithecus_coquereli ENSPCOG00000012940
microcebus_murinus ENSMICG00000007811
prolemur_simus ENSPSMG00000005714
otolemur_garnettii ENSOGAG00000006391
tupaia_belangeri ENSTBEG00000009609
oryctolagus_cuniculus ENSOCUG00000002039
ochotona_princeps ENSOPRG00000007871
urocitellus_parryii ENSUPAG00010006358
spermophilus_dauricus ENSSDAG00000021171
marmota_marmota_marmota ENSMMMG00000014520
choloepus_hoffmanni ENSCHOG00000013395
loxodonta_africana ENSLAFG00000000414
procavia_capensis ENSPCAG00000005552
echinops_telfairi ENSETEG00000006461
ornithorhynchus_anatinus ENSOANG00000014849
