pogona_vitticeps ENSPVIG00000021581
anolis_carolinensis ENSACAG00000000587
notechis_scutatus ENSNSUG00000000405
salvator_merianae ENSSMRG00000021436
sphenodon_punctatus ENSSPUG00000002349
chelonoidis_abingdonii ENSCABG00000008410
gopherus_agassizii ENSGAGG00000005479
chrysemys_picta ENSCPBG00000008801
pelodiscus_sinensis ENSPSIG00000000600
mus_musculus ENSMUSG00000091648
mus_spicilegus ENSMSIG00000001702
mus_spretus MGP_SPRETEiJ_G0026249
mus_caroli MGP_CAROLIEiJ_G0025307
mus_pahari MGP_PahariEiJ_G0026750
rattus_norvegicus ENSRNOG00000020832
meriones_unguiculatus ENSMUGG00000003220
cricetulus_griseus ENSCGRG00015021425
cricetulus_griseus ENSCGRG00001008662
mesocricetus_auratus ENSMAUG00000011021
peromyscus_maniculatus ENSPEMG00000029177
nannospalax_galili ENSNGAG00000013377
urocitellus_parryii ENSUPAG00010004925
castor_canadensis ENSCCNG00000029091
cavia_porcellus ENSCPOG00000031360
octodon_degus ENSODEG00000010767
heterocephalus_glaber ENSHGLG00000014503
prolemur_simus ENSPSMG00000003103
otolemur_garnettii ENSOGAG00000033100
macaca_nemestrina ENSMNEG00000020684
macaca_fascicularis ENSMFAG00000024463
macaca_mulatta ENSMMUG00000014358
cercocebus_atys ENSCATG00000002143
theropithecus_gelada ENSTGEG00000017561
papio_anubis ENSPANG00000002233
chlorocebus_sabaeus ENSCSAG00000018413
piliocolobus_tephrosceles ENSPTEG00000027828
homo_sapiens ENSG00000225556
pan_troglodytes ENSPTRG00000041010
gorilla_gorilla ENSGGOG00000028484
pongo_abelii ENSPPYG00000029725
nomascus_leucogenys ENSNLEG00000010314
callithrix_jacchus ENSCJAG00000043969
capra_hircus ENSCHIG00000010717
ovis_aries ENSOARG00000021065
bos_indicus ENSBIXG00000025831
bos_indicus ENSBIXG00005001695
bos_taurus ENSBTAG00000047528
sus_scrofa ENSSSCG00000021540
equus_asinus ENSEASG00005005203
equus_caballus ENSECAG00000028243
felis_catus ENSFCAG00000026060
panthera_pardus ENSPPRG00000022384
neovison_vison ENSNVIG00000014218
dasypus_novemcinctus ENSDNOG00000046941
vombatus_ursinus ENSVURG00010017391
vombatus_ursinus ENSVURG00010014005
phascolarctos_cinereus ENSPCIG00000021238
monodelphis_domestica ENSMODG00000027860
sarcophilus_harrisii ENSSHAG00000016081
erpetoichthys_calabaricus ENSECRG00000006559
