mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033255
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032118
mus_musculus ENSMUSG00000074397
mus_pahari MGP_PahariEiJ_G0014987
mesocricetus_auratus ENSMAUG00000007602
nannospalax_galili ENSNGAG00000024278
octodon_degus ENSODEG00000007420
cavia_porcellus ENSCPOG00000001855
tupaia_belangeri ENSTBEG00000009749
erinaceus_europaeus ENSEEUG00000011230
gorilla_gorilla ENSGGOG00000001177
homo_sapiens ENSG00000176302
pan_troglodytes ENSPTRG00000004358
pan_paniscus ENSPPAG00000040341
pongo_abelii ENSPPYG00000003947
nomascus_leucogenys ENSNLEG00000007376
mandrillus_leucophaeus ENSMLEG00000029619
papio_anubis ENSPANG00000008911
theropithecus_gelada ENSTGEG00000024369
macaca_nemestrina ENSMNEG00000031202
macaca_fascicularis ENSMFAG00000041313
cercocebus_atys ENSCATG00000030104
chlorocebus_sabaeus ENSCSAG00000002556
rhinopithecus_roxellana ENSRROG00000045360
rhinopithecus_bieti ENSRBIG00000028617
piliocolobus_tephrosceles ENSPTEG00000018564
colobus_angolensis_palliatus ENSCANG00000043716
cebus_capucinus ENSCCAG00000035010
saimiri_boliviensis_boliviensis ENSSBOG00000034964
callithrix_jacchus ENSCJAG00000013656
aotus_nancymaae ENSANAG00000035066
carlito_syrichta ENSTSYG00000002924
prolemur_simus ENSPSMG00000002825
microcebus_murinus ENSMICG00000045316
propithecus_coquereli ENSPCOG00000024210
otolemur_garnettii ENSOGAG00000007258
meriones_unguiculatus ENSMUGG00000012254
rattus_norvegicus ENSRNOG00000029089
cricetulus_griseus_crigri-picr ENSCGRG00015015489
peromyscus_maniculatus_bairdii ENSPEMG00000007335
castor_canadensis ENSCCNG00000004557
heterocephalus_glaber_female ENSHGLG00000005140
heterocephalus_glaber_male ENSHGLG00100016187
fukomys_damarensis ENSFDAG00000006474
chinchilla_lanigera ENSCLAG00000017051
spermophilus_dauricus ENSSDAG00000018005
marmota_marmota_marmota ENSMMMG00000022553
ictidomys_tridecemlineatus ENSSTOG00000014321
urocitellus_parryii ENSUPAG00010006881
vicugna_pacos ENSVPAG00000002218
tursiops_truncatus ENSTTRG00000002966
sus_scrofa ENSSSCG00000015101
bos_mutus ENSBMUG00000011607
bos_taurus ENSBTAG00000014606
bison_bison_bison ENSBBBG00000020709
ovis_aries ENSOARG00000011919
capra_hircus ENSCHIG00000019236
mustela_putorius_furo ENSMPUG00000004890
neovison_vison ENSNVIG00000004031
canis_lupus_dingo ENSCAFG00020013123
canis_lupus_familiaris ENSCAFG00000012417
vulpes_vulpes ENSVVUG00000024112
vulpes_vulpes ENSVVUG00000015013
ursus_americanus ENSUAMG00000027744
ursus_maritimus ENSUMAG00000000871
ailuropoda_melanoleuca ENSAMEG00000000053
panthera_pardus ENSPPRG00000010045
panthera_tigris_altaica ENSPTIG00000016779
felis_catus ENSFCAG00000004719
equus_caballus ENSECAG00000016285
equus_asinus_asinus ENSEASG00005004951
pteropus_vampyrus ENSPVAG00000012488
erinaceus_europaeus ENSEEUG00000010586
sorex_araneus ENSSARG00000011319
myotis_lucifugus ENSMLUG00000002267
oryctolagus_cuniculus ENSOCUG00000003971
oryctolagus_cuniculus ENSOCUG00000010768
oryctolagus_cuniculus ENSOCUG00000016258
choloepus_hoffmanni ENSCHOG00000009951
