anas_platyrhynchos_platyrhynchos ENSAPLG00000015857
numida_meleagris ENSNMEG00000015376
taeniopygia_guttata ENSTGUG00000010578
zonotrichia_albicollis ENSZALG00000007535
serinus_canaria ENSSCAG00000015296
lonchura_striata_domestica ENSLSDG00000000065
junco_hyemalis ENSJHYG00000018234
lepidothrix_coronata ENSLCOG00000013545
manacus_vitellinus ENSMVIG00005001439
manacus_vitellinus ENSMVIG00005018995
manacus_vitellinus ENSMVIG00005018980
lepidothrix_coronata ENSLCOG00000005089
cyanistes_caeruleus ENSCCEG00000010920
parus_major ENSPMJG00000018820
junco_hyemalis ENSJHYG00000001290
ficedula_albicollis ENSFALG00000009425
melopsittacus_undulatus ENSMUNG00000010963
calidris_pygmaea ENSCPGG00000002044
xenopus_tropicalis ENSXETG00000018875
esox_lucius ENSELUG00000005146
gadus_morhua ENSGMOG00000006632
pygocentrus_nattereri ENSPNAG00000020565
