oreochromis_niloticus ENSONIG00000008040
danio_rerio ENSDARG00000061778
calidris_pygmaea ENSCPGG00000005924
junco_hyemalis ENSJHYG00000013147
apteryx_haastii ENSAHAG00000013731
notechis_scutatus ENSNSUG00000016890
eptatretus_burgeri ENSEBUG00000005284
seriola_lalandi_dorsalis ENSSLDG00000005124
scophthalmus_maximus ENSSMAG00000019269
monopterus_albus ENSMALG00000018530
anabas_testudineus ENSATEG00000024457
amphiprion_ocellaris ENSAOCG00000023736
stegastes_partitus ENSSPAG00000006709
astatotilapia_calliptera ENSACLG00000018040
maylandia_zebra ENSMZEG00005023402
haplochromis_burtoni ENSHBUG00000007238
xiphophorus_maculatus ENSXMAG00000026579
gambusia_affinis ENSGAFG00000019933
poecilia_reticulata ENSPREG00000021207
poecilia_mexicana ENSPMEG00000008403
cyprinodon_variegatus ENSCVAG00000011018
kryptolebias_marmoratus ENSKMAG00000002691
oryzias_latipes ENSORLG00000023336
oryzias_melastigma ENSOMEG00000017485
cynoglossus_semilaevis ENSCSEG00000014954
takifugu_rubripes ENSTRUG00000024147
tetraodon_nigroviridis ENSTNIG00000012454
esox_lucius ENSELUG00000005512
ictalurus_punctatus ENSIPUG00000019305
astyanax_mexicanus ENSAMXG00000034936
lepisosteus_oculatus ENSLOCG00000002594
monodelphis_domestica ENSMODG00000027399
sarcophilus_harrisii ENSSHAG00000014736
anas_platyrhynchos_platyrhynchos ENSAPLG00000028977
latimeria_chalumnae ENSLACG00000015637
eptatretus_burgeri ENSEBUG00000010744
ciona_intestinalis ENSCING00000022867
dromaius_novaehollandiae ENSDNVG00000010798
drosophila_melanogaster FBgn0000256
