pelodiscus_sinensis ENSPSIG00000003625
pogona_vitticeps ENSPVIG00000017425
homo_sapiens ENSG00000186049
gorilla_gorilla ENSGGOG00000007298
pan_troglodytes ENSPTRG00000004985
pan_paniscus ENSPPAG00000038437
nomascus_leucogenys ENSNLEG00000026579
rhinopithecus_roxellana ENSRROG00000030269
rhinopithecus_bieti ENSRBIG00000041794
piliocolobus_tephrosceles ENSPTEG00000038104
colobus_angolensis_palliatus ENSCANG00000035241
mandrillus_leucophaeus ENSMLEG00000033493
cercocebus_atys ENSCATG00000043651
theropithecus_gelada ENSTGEG00000006637
papio_anubis ENSPANG00000019741
macaca_nemestrina ENSMNEG00000030885
macaca_fascicularis ENSMFAG00000044971
macaca_mulatta ENSMMUG00000002304
chlorocebus_sabaeus ENSCSAG00000005655
saimiri_boliviensis_boliviensis ENSSBOG00000026244
cebus_capucinus ENSCCAG00000034974
callithrix_jacchus ENSCJAG00000036336
aotus_nancymaae ENSANAG00000033267
carlito_syrichta ENSTSYG00000011993
prolemur_simus ENSPSMG00000003966
propithecus_coquereli ENSPCOG00000014578
microcebus_murinus ENSMICG00000002213
otolemur_garnettii ENSOGAG00000011717
tupaia_belangeri ENSTBEG00000007801
castor_canadensis ENSCCNG00000020922
dipodomys_ordii ENSDORG00000013797
mus_spicilegus ENSMSIG00000010166
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021218
mus_musculus ENSMUSG00000063661
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020325
mus_pahari MGP_PahariEiJ_G0020324
rattus_norvegicus ENSRNOG00000025087
meriones_unguiculatus ENSMUGG00000024875
cricetulus_griseus_crigri-picr ENSCGRG00015028627
cricetulus_griseus_crigri ENSCGRG00000009526
cricetulus_griseus_chok1gshd ENSCGRG00001010758
mesocricetus_auratus ENSMAUG00000018075
microtus_ochrogaster ENSMOCG00000014922
peromyscus_maniculatus_bairdii ENSPEMG00000014339
nannospalax_galili ENSNGAG00000020334
jaculus_jaculus ENSJJAG00000020900
spermophilus_dauricus ENSSDAG00000022376
ictidomys_tridecemlineatus ENSSTOG00000006440
urocitellus_parryii ENSUPAG00010000221
marmota_marmota_marmota ENSMMMG00000001766
cavia_aperea ENSCAPG00000008724
cavia_porcellus ENSCPOG00000039608
chinchilla_lanigera ENSCLAG00000000869
octodon_degus ENSODEG00000012304
heterocephalus_glaber_female ENSHGLG00000001292
heterocephalus_glaber_male ENSHGLG00100005352
fukomys_damarensis ENSFDAG00000010524
ochotona_princeps ENSOPRG00000008829
oryctolagus_cuniculus ENSOCUG00000029195
vicugna_pacos ENSVPAG00000011714
sus_scrofa ENSSSCG00000000250
bos_taurus ENSBTAG00000037638
bos_mutus ENSBMUG00000009043
bison_bison_bison ENSBBBG00000000644
ovis_aries ENSOARG00000016914
capra_hircus ENSCHIG00000022765
neovison_vison ENSNVIG00000023164
mustela_putorius_furo ENSMPUG00000006801
ursus_maritimus ENSUMAG00000009167
ursus_americanus ENSUAMG00000023021
ailuropoda_melanoleuca ENSAMEG00000011793
vulpes_vulpes ENSVVUG00000027958
canis_lupus_dingo ENSCAFG00020021739
panthera_pardus ENSPPRG00000015280
panthera_tigris_altaica ENSPTIG00000020716
felis_catus ENSFCAG00000041369
myotis_lucifugus ENSMLUG00000005393
pteropus_vampyrus ENSPVAG00000006594
sorex_araneus ENSSARG00000005690
erinaceus_europaeus ENSEEUG00000015219
equus_caballus ENSECAG00000029691
loxodonta_africana ENSLAFG00000007461
echinops_telfairi ENSETEG00000000286
procavia_capensis ENSPCAG00000005677
phascolarctos_cinereus ENSPCIG00000013921
notamacropus_eugenii ENSMEUG00000002973
sarcophilus_harrisii ENSSHAG00000015393
ornithorhynchus_anatinus ENSOANG00000012596
ornithorhynchus_anatinus ENSOANG00000012599
ornithorhynchus_anatinus ENSOANG00000012597
