seriola_dumerili ENSSDUG00000006604
seriola_lalandi ENSSLDG00000004350
lates_calcarifer ENSLCAG00010000313
amphiprion_ocellaris ENSAOCG00000018725
parambassis_ranga ENSPRNG00000004427
maylandia_zebra ENSMZEG00005020977
astatotilapia_calliptera ENSACLG00000011204
haplochromis_burtoni ENSHBUG00000020338
poecilia_latipinna ENSPLAG00000021449
poecilia_mexicana ENSPMEG00000014529
poecilia_reticulata ENSPREG00000004610
gambusia_affinis ENSGAFG00000003312
labrus_bergylta ENSLBEG00000001346
larimichthys_crocea ENSLCRG00005005627
anabas_testudineus ENSATEG00000001787
mastacembelus_armatus ENSMAMG00000015273
latimeria_chalumnae ENSLACG00000017090
