oryzias_latipes_asm223469v1 ENSORLG00015019015
oryzias_latipes ENSORLG00000029729
oryzias_latipes ENSORLG00020001582
oryzias_melastigma ENSOMEG00000012576
cynoglossus_semilaevis ENSCSEG00000021005
hippocampus_comes ENSHCOG00000011725
poecilia_mexicana ENSPMEG00000003767
poecilia_reticulata ENSPREG00000018269
poecilia_formosa ENSPFOG00000007791
poecilia_latipinna ENSPLAG00000023668
gambusia_affinis ENSGAFG00000021119
xiphophorus_maculatus ENSXMAG00000024990
xiphophorus_couchianus ENSXCOG00000012008
fundulus_heteroclitus ENSFHEG00000022494
cyprinodon_variegatus ENSCVAG00000010234
kryptolebias_marmoratus ENSKMAG00000018160
takifugu_rubripes ENSTRUG00000023756
tetraodon_nigroviridis ENSTNIG00000017862
labrus_bergylta ENSLBEG00000006459
scophthalmus_maximus ENSSMAG00000008502
maylandia_zebra ENSMZEG00005026571
pundamilia_nyererei ENSPNYG00000001566
haplochromis_burtoni ENSHBUG00000005516
astatotilapia_calliptera ENSACLG00000026138
neolamprologus_brichardi ENSNBRG00000014705
oreochromis_niloticus ENSONIG00000017429
mastacembelus_armatus ENSMAMG00000010560
monopterus_albus ENSMALG00000000534
anabas_testudineus ENSATEG00000005282
seriola_lalandi_dorsalis ENSSLDG00000025331
seriola_dumerili ENSSDUG00000017026
mola_mola ENSMMOG00000020374
amphiprion_ocellaris ENSAOCG00000001494
amphiprion_percula ENSAPEG00000007971
acanthochromis_polyacanthus ENSAPOG00000016892
stegastes_partitus ENSSPAG00000000771
periophthalmus_magnuspinnatus ENSPMGG00000006966
gadus_morhua ENSGMOG00000003079
esox_lucius ENSELUG00000001992
pygocentrus_nattereri ENSPNAG00000023602
astyanax_mexicanus ENSAMXG00000037270
danio_rerio ENSDARG00000074790
paramormyrops_kingsleyae ENSPKIG00000005782
lepisosteus_oculatus ENSLOCG00000004604
scleropages_formosus ENSSFOG00015020969
ictalurus_punctatus ENSIPUG00000016326
scleropages_formosus ENSSFOG00015021795
latimeria_chalumnae ENSLACG00000019030
anser_brachyrhynchus ENSABRG00000016152
coturnix_japonica ENSCJPG00005019626
lonchura_striata_domestica ENSLSDG00000006962
taeniopygia_guttata ENSTGUG00000003394
parus_major ENSPMJG00000001808
zonotrichia_albicollis ENSZALG00000016061
junco_hyemalis ENSJHYG00000005497
lepidothrix_coronata ENSLCOG00000015140
calidris_pygmaea ENSCPGG00000001470
numida_meleagris ENSNMEG00000014156
gallus_gallus ENSGALG00000001054
nothoprocta_perdicaria ENSNPEG00000003272
apteryx_haastii ENSAHAG00000006754
apteryx_rowi ENSARWG00000000229
dromaius_novaehollandiae ENSDNVG00000010400
gopherus_agassizii ENSGAGG00000009898
anolis_carolinensis ENSACAG00000009714
chrysemys_picta_bellii ENSCPBG00000018207
chelonoidis_abingdonii ENSCABG00000000991
crocodylus_porosus ENSCPRG00005012890
sphenodon_punctatus ENSSPUG00000008245
pogona_vitticeps ENSPVIG00000022317
notechis_scutatus ENSNSUG00000004702
salvator_merianae ENSSMRG00000000958
pelodiscus_sinensis ENSPSIG00000016739
neovison_vison ENSNVIG00000014000
mustela_putorius_furo ENSMPUG00000017777
ursus_americanus ENSUAMG00000013487
canis_lupus_familiaris ENSCAFG00000029848
canis_lupus_dingo ENSCAFG00020005885
sus_scrofa ENSSSCG00000039201
chinchilla_lanigera ENSCLAG00000016945
marmota_marmota_marmota ENSMMMG00000022774
ictidomys_tridecemlineatus ENSSTOG00000022280
oryctolagus_cuniculus ENSOCUG00000004573
propithecus_coquereli ENSPCOG00000027940
