hippocampus_comes ENSHCOG00000004388
periophthalmus_magnuspinnatus ENSPMGG00000008252
poecilia_formosa ENSPFOG00000011075
poecilia_latipinna ENSPLAG00000011234
poecilia_mexicana ENSPMEG00000015078
poecilia_reticulata ENSPREG00000002496
xiphophorus_maculatus ENSXMAG00000010197
gambusia_affinis ENSGAFG00000016125
fundulus_heteroclitus ENSFHEG00000006772
cyprinodon_variegatus ENSCVAG00000002232
kryptolebias_marmoratus ENSKMAG00000001979
oryzias_latipes ENSORLG00000019600
oryzias_melastigma ENSOMEG00000005947
amphiprion_percula ENSAPEG00000014066
amphiprion_ocellaris ENSAOCG00000022611
acanthochromis_polyacanthus ENSAPOG00000023598
stegastes_partitus ENSSPAG00000001613
astatotilapia_calliptera ENSACLG00000022168
pundamilia_nyererei ENSPNYG00000010162
haplochromis_burtoni ENSHBUG00000015902
maylandia_zebra ENSMZEG00005019577
maylandia_zebra ENSMZEG00005022710
neolamprologus_brichardi ENSNBRG00000012487
oreochromis_niloticus ENSONIG00000017498
amphilophus_citrinellus ENSACIG00000019079
gasterosteus_aculeatus ENSGACG00000017450
labrus_bergylta ENSLBEG00000015058
takifugu_rubripes ENSTRUG00000020031
tetraodon_nigroviridis ENSTNIG00000018021
mola_mola ENSMMOG00000006341
monopterus_albus ENSMALG00000022071
mastacembelus_armatus ENSMAMG00000015635
anabas_testudineus ENSATEG00000015173
seriola_dumerili ENSSDUG00000001920
seriola_lalandi_dorsalis ENSSLDG00000023433
cynoglossus_semilaevis ENSCSEG00000009844
gadus_morhua ENSGMOG00000017309
esox_lucius ENSELUG00000016676
pygocentrus_nattereri ENSPNAG00000019163
astyanax_mexicanus ENSAMXG00000010258
ictalurus_punctatus ENSIPUG00000009001
ictalurus_punctatus ENSIPUG00000003597
fundulus_heteroclitus ENSFHEG00000014134
cyprinodon_variegatus ENSCVAG00000001206
poecilia_formosa ENSPFOG00000002578
poecilia_mexicana ENSPMEG00000017448
poecilia_latipinna ENSPLAG00000004230
oryzias_latipes ENSORLG00000002315
oryzias_latipes_asm223469v1 ENSORLG00015021019
oryzias_latipes ENSORLG00020002019
oryzias_melastigma ENSOMEG00000000574
amphiprion_percula ENSAPEG00000018526
amphiprion_ocellaris ENSAOCG00000018821
acanthochromis_polyacanthus ENSAPOG00000016219
stegastes_partitus ENSSPAG00000018117
seriola_dumerili ENSSDUG00000020984
seriola_lalandi_dorsalis ENSSLDG00000006510
scophthalmus_maximus ENSSMAG00000017334
gasterosteus_aculeatus ENSGACG00000000360
mola_mola ENSMMOG00000011469
cynoglossus_semilaevis ENSCSEG00000005438
paramormyrops_kingsleyae ENSPKIG00000012909
scleropages_formosus ENSSFOG00015018460
lepisosteus_oculatus ENSLOCG00000012272
lepidothrix_coronata ENSLCOG00000003878
manacus_vitellinus ENSMVIG00005015373
parus_major ENSPMJG00000010106
cyanistes_caeruleus ENSCCEG00000011875
ficedula_albicollis ENSFALG00000006416
taeniopygia_guttata ENSTGUG00000004134
lonchura_striata_domestica ENSLSDG00000012604
serinus_canaria ENSSCAG00000013002
junco_hyemalis ENSJHYG00000004493
zonotrichia_albicollis ENSZALG00000005500
calidris_pygmaea ENSCPGG00000015972
calidris_pugnax ENSCPUG00000016425
melopsittacus_undulatus ENSMUNG00000002127
meleagris_gallopavo ENSMGAG00000011080
coturnix_japonica ENSCJPG00005006901
gallus_gallus ENSGALG00000012196
numida_meleagris ENSNMEG00000006640
anas_platyrhynchos_platyrhynchos ENSAPLG00000010215
anser_brachyrhynchus ENSABRG00000007403
apteryx_haastii ENSAHAG00000010895
apteryx_rowi ENSARWG00000012476
apteryx_owenii ENSAOWG00000010786
dromaius_novaehollandiae ENSDNVG00000008758
nothoprocta_perdicaria ENSNPEG00000001025
crocodylus_porosus ENSCPRG00005005669
chelonoidis_abingdonii ENSCABG00000006016
