hucho_hucho ENSHHUG00000009217
amphilophus_citrinellus ENSACIG00000017214
danio_rerio ENSDARG00000097704
pygocentrus_nattereri ENSPNAG00000016369
erpetoichthys_calabaricus ENSECRG00000018177
phascolarctos_cinereus ENSPCIG00000018126
vombatus_ursinus ENSVURG00010018249
notamacropus_eugenii ENSMEUG00000005387
monodelphis_domestica ENSMODG00000043050
sarcophilus_harrisii ENSSHAG00000015747
loxodonta_africana ENSLAFG00000018499
procavia_capensis ENSPCAG00000010913
echinops_telfairi ENSETEG00000005314
dasypus_novemcinctus ENSDNOG00000013880
choloepus_hoffmanni ENSCHOG00000001979
peromyscus_maniculatus ENSPEMG00000013425
microtus_ochrogaster ENSMOCG00000018017
cricetulus_griseus ENSCGRG00001013280
cricetulus_griseus ENSCGRG00015013227
cricetulus_griseus ENSCGRG00000009509
mesocricetus_auratus ENSMAUG00000014009
mus_spicilegus ENSMSIG00000024437
mus_musculus ENSMUSG00000047220
mus_spretus MGP_SPRETEiJ_G0033832
mus_caroli MGP_CAROLIEiJ_G0032687
mus_pahari MGP_PahariEiJ_G0015555
rattus_norvegicus ENSRNOG00000048919
meriones_unguiculatus ENSMUGG00000018000
nannospalax_galili ENSNGAG00000008202
jaculus_jaculus ENSJJAG00000016241
octodon_degus ENSODEG00000018168
cavia_porcellus ENSCPOG00000013672
heterocephalus_glaber ENSHGLG00000012746
heterocephalus_glaber ENSHGLG00100017121
fukomys_damarensis ENSFDAG00000014083
urocitellus_parryii ENSUPAG00010022748
ictidomys_tridecemlineatus ENSSTOG00000011292
spermophilus_dauricus ENSSDAG00000015249
marmota_marmota ENSMMMG00000005177
oryctolagus_cuniculus ENSOCUG00000005910
ochotona_princeps ENSOPRG00000009550
tupaia_belangeri ENSTBEG00000007145
pan_paniscus ENSPPAG00000041728
pan_troglodytes ENSPTRG00000014915
homo_sapiens ENSG00000173421
gorilla_gorilla ENSGGOG00000000568
pongo_abelii ENSPPYG00000013877
nomascus_leucogenys ENSNLEG00000006825
mandrillus_leucophaeus ENSMLEG00000043657
cercocebus_atys ENSCATG00000030087
theropithecus_gelada ENSTGEG00000006391
papio_anubis ENSPANG00000010030
macaca_fascicularis ENSMFAG00000043646
macaca_mulatta ENSMMUG00000053526
macaca_nemestrina ENSMNEG00000041960
chlorocebus_sabaeus ENSCSAG00000015114
piliocolobus_tephrosceles ENSPTEG00000007065
colobus_angolensis ENSCANG00000038831
rhinopithecus_roxellana ENSRROG00000039947
rhinopithecus_bieti ENSRBIG00000038941
cebus_capucinus ENSCCAG00000030209
saimiri_boliviensis ENSSBOG00000021171
callithrix_jacchus ENSCJAG00000003765
aotus_nancymaae ENSANAG00000036680
carlito_syrichta ENSTSYG00000002015
microcebus_murinus ENSMICG00000029553
otolemur_garnettii ENSOGAG00000029823
ovis_aries ENSOARG00000014273
capra_hircus ENSCHIG00000009674
bos_indicus ENSBIXG00005011909
bos_indicus ENSBIXG00000010532
bos_mutus ENSBMUG00000014305
bos_taurus ENSBTAG00000009371
bison_bison ENSBBBG00000013760
tursiops_truncatus ENSTTRG00000017363
sus_scrofa ENSSSCG00000011376
vicugna_pacos ENSVPAG00000010926
equus_caballus ENSECAG00000018347
equus_asinus ENSEASG00005011160
ursus_maritimus ENSUMAG00000022867
ursus_americanus ENSUAMG00000010050
ailuropoda_melanoleuca ENSAMEG00000012682
neovison_vison ENSNVIG00000023670
mustela_putorius ENSMPUG00000013850
canis_lupus ENSCAFG00020021001
canis_lupus ENSCAFG00000011668
vulpes_vulpes ENSVVUG00000029057
panthera_pardus ENSPPRG00000024255
panthera_tigris ENSPTIG00000018424
felis_catus ENSFCAG00000009850
sorex_araneus ENSSARG00000000073
erinaceus_europaeus ENSEEUG00000003670
pteropus_vampyrus ENSPVAG00000008733
myotis_lucifugus ENSMLUG00000013885
parus_major ENSPMJG00000004872
cyanistes_caeruleus ENSCCEG00000021738
manacus_vitellinus ENSMVIG00005018039
melopsittacus_undulatus ENSMUNG00000002136
anser_brachyrhynchus ENSABRG00000017607
anas_platyrhynchos ENSAPLG00000016107
numida_meleagris ENSNMEG00000020344
coturnix_japonica ENSCJPG00005016588
meleagris_gallopavo ENSMGAG00000008459
apteryx_owenii ENSAOWG00000016049
apteryx_rowi ENSARWG00000003775
apteryx_haastii ENSAHAG00000014315
dromaius_novaehollandiae ENSDNVG00000012542
crocodylus_porosus ENSCPRG00005016930
chelonoidis_abingdonii ENSCABG00000022528
gopherus_agassizii ENSGAGG00000001600
chrysemys_picta ENSCPBG00000008768
pogona_vitticeps ENSPVIG00000006993
salvator_merianae ENSSMRG00000016489
