pogona_vitticeps ENSPVIG00000014837
salvator_merianae ENSSMRG00000005172
sphenodon_punctatus ENSSPUG00000010024
gopherus_agassizii ENSGAGG00000023052
anolis_carolinensis ENSACAG00000002843
notechis_scutatus ENSNSUG00000018970
sphenodon_punctatus ENSSPUG00000010034
apteryx_haastii ENSAHAG00000019415
apteryx_rowi ENSARWG00000010970
nothoprocta_perdicaria ENSNPEG00000004434
sarcophilus_harrisii ENSSHAG00000010313
phascolarctos_cinereus ENSPCIG00000021991
monodelphis_domestica ENSMODG00000006030
mus_spicilegus ENSMSIG00000009859
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020137
mus_musculus ENSMUSG00000057564
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019247
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019248
mus_pahari MGP_PahariEiJ_G0030266
rattus_norvegicus ENSRNOG00000039435
mus_musculus ENSMUSG00000059887
mus_spicilegus ENSMSIG00000009855
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020138
mus_pahari MGP_PahariEiJ_G0030267
rattus_norvegicus ENSRNOG00000039434
meriones_unguiculatus ENSMUGG00000017404
peromyscus_maniculatus_bairdii ENSPEMG00000027316
peromyscus_maniculatus_bairdii ENSPEMG00000025281
cricetulus_griseus_crigri ENSCGRG00000019629
cricetulus_griseus_crigri-picr ENSCGRG00015004781
cricetulus_griseus_chok1gshd ENSCGRG00001014981
microtus_ochrogaster ENSMOCG00000002178
castor_canadensis ENSCCNG00000016723
urocitellus_parryii ENSUPAG00010002599
marmota_marmota_marmota ENSMMMG00000014223
spermophilus_dauricus ENSSDAG00000001941
heterocephalus_glaber_female ENSHGLG00000020071
octodon_degus ENSODEG00000000587
oryctolagus_cuniculus ENSOCUG00000024820
prolemur_simus ENSPSMG00000010304
otolemur_garnettii ENSOGAG00000032302
pan_paniscus ENSPPAG00000014053
pan_troglodytes ENSPTRG00000047914
homo_sapiens ENSG00000276240
gorilla_gorilla ENSGGOG00000026059
nomascus_leucogenys ENSNLEG00000019287
rhinopithecus_bieti ENSRBIG00000029781
rhinopithecus_roxellana ENSRROG00000027332
piliocolobus_tephrosceles ENSPTEG00000022549
macaca_fascicularis ENSMFAG00000028794
macaca_nemestrina ENSMNEG00000001168
mandrillus_leucophaeus ENSMLEG00000011315
chlorocebus_sabaeus ENSCSAG00000016454
theropithecus_gelada ENSTGEG00000016722
papio_anubis ENSPANG00000029455
cercocebus_atys ENSCATG00000018042
callithrix_jacchus ENSCJAG00000042680
bos_taurus ENSBTAG00000011925
bison_bison_bison ENSBBBG00000003366
ovis_aries ENSOARG00000012081
capra_hircus ENSCHIG00000007415
sus_scrofa ENSSSCG00000002105
equus_caballus ENSECAG00000003531
equus_asinus_asinus ENSEASG00005011570
mustela_putorius_furo ENSMPUG00000019444
neovison_vison ENSNVIG00000015435
ursus_maritimus ENSUMAG00000018508
canis_lupus_dingo ENSCAFG00020015285
canis_lupus_familiaris ENSCAFG00000023552
vulpes_vulpes ENSVVUG00000009561
panthera_pardus ENSPPRG00000019737
panthera_tigris_altaica ENSPTIG00000001792
felis_catus ENSFCAG00000022366
loxodonta_africana ENSLAFG00000029875
dasypus_novemcinctus ENSDNOG00000038718
dasypus_novemcinctus ENSDNOG00000038006
dasypus_novemcinctus ENSDNOG00000039417
