spermophilus_dauricus ENSSDAG00000012726
urocitellus_parryii ENSUPAG00010012902
marmota_marmota_marmota ENSMMMG00000015169
castor_canadensis ENSCCNG00000011182
mus_musculus ENSMUSG00000090527
mus_spicilegus ENSMSIG00000026286
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025021
mus_spicilegus ENSMSIG00000008701
rattus_norvegicus ENSRNOG00000048440
meriones_unguiculatus ENSMUGG00000024058
meriones_unguiculatus ENSMUGG00000026106
meriones_unguiculatus ENSMUGG00000026103
mesocricetus_auratus ENSMAUG00000007314
peromyscus_maniculatus_bairdii ENSPEMG00000016497
peromyscus_maniculatus_bairdii ENSPEMG00000027585
microtus_ochrogaster ENSMOCG00000012875
cricetulus_griseus_crigri-picr ENSCGRG00015021639
cricetulus_griseus_chok1gshd ENSCGRG00001013390
cricetulus_griseus_crigri ENSCGRG00000014753
cricetulus_griseus_crigri-picr ENSCGRG00015021721
mesocricetus_auratus ENSMAUG00000004388
microtus_ochrogaster ENSMOCG00000012366
peromyscus_maniculatus_bairdii ENSPEMG00000026920
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025963
mus_musculus ENSMUSG00000036951
mus_spicilegus ENSMSIG00000008731
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025023
mus_pahari MGP_PahariEiJ_G0026467
mus_spicilegus ENSMSIG00000008742
rattus_norvegicus ENSRNOG00000038008
rattus_norvegicus ENSRNOG00000050241
rattus_norvegicus ENSRNOG00000025219
mus_spicilegus ENSMSIG00000026297
meriones_unguiculatus ENSMUGG00000003729
meriones_unguiculatus ENSMUGG00000024246
nannospalax_galili ENSNGAG00000021920
mus_musculus ENSMUSG00000095522
mus_spicilegus ENSMSIG00000008714
rattus_norvegicus ENSRNOG00000042471
meriones_unguiculatus ENSMUGG00000010435
cricetulus_griseus_crigri ENSCGRG00000016357
cricetulus_griseus_crigri-picr ENSCGRG00015021708
cricetulus_griseus_chok1gshd ENSCGRG00001016631
mesocricetus_auratus ENSMAUG00000001015
microtus_ochrogaster ENSMOCG00000018185
peromyscus_maniculatus_bairdii ENSPEMG00000031044
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025961
mus_pahari MGP_PahariEiJ_G0026465
jaculus_jaculus ENSJJAG00000017639
heterocephalus_glaber_male ENSHGLG00100019218
heterocephalus_glaber_female ENSHGLG00000011179
cavia_porcellus ENSCPOG00000014355
macaca_fascicularis ENSMFAG00000040086
vicugna_pacos ENSVPAG00000008155
sorex_araneus ENSSARG00000004657
