spermophilus_dauricus ENSSDAG00000017710
urocitellus_parryii ENSUPAG00010016797
marmota_marmota_marmota ENSMMMG00000004608
castor_canadensis ENSCCNG00000003015
cricetulus_griseus_crigri-picr ENSCGRG00015014424
cricetulus_griseus_crigri ENSCGRG00000013406
mesocricetus_auratus ENSMAUG00000020159
microtus_ochrogaster ENSMOCG00000020912
peromyscus_maniculatus_bairdii ENSPEMG00000000835
nannospalax_galili ENSNGAG00000006027
octodon_degus ENSODEG00000010374
gallus_gallus ENSGALG00000047773
scleropages_formosus ENSSFOG00015020049
danio_rerio ENSDARG00000105492
