gallus_gallus ENSGALG00000042572
coturnix_japonica ENSCJPG00005005386
numida_meleagris ENSNMEG00000001566
anas_platyrhynchos ENSAPLG00000025254
anser_brachyrhynchus ENSABRG00000001192
lonchura_striata ENSLSDG00000009205
serinus_canaria ENSSCAG00000003796
junco_hyemalis ENSJHYG00000009186
lepidothrix_coronata ENSLCOG00000010170
parus_major ENSPMJG00000005658
calidris_pygmaea ENSCPGG00000007827
apteryx_owenii ENSAOWG00000017422
apteryx_haastii ENSAHAG00000016500
apteryx_rowi ENSARWG00000002058
anolis_carolinensis ENSACAG00000010246
pogona_vitticeps ENSPVIG00000021393
notechis_scutatus ENSNSUG00000007185
salvator_merianae ENSSMRG00000003083
chelonoidis_abingdonii ENSCABG00000014216
gopherus_agassizii ENSGAGG00000013655
chrysemys_picta ENSCPBG00000015347
pelodiscus_sinensis ENSPSIG00000016770
sphenodon_punctatus ENSSPUG00000003096
erinaceus_europaeus ENSEEUG00000014351
sorex_araneus ENSSARG00000012853
ursus_americanus ENSUAMG00000025039
ursus_maritimus ENSUMAG00000000775
ochotona_princeps ENSOPRG00000007976
neovison_vison ENSNVIG00000001911
mustela_putorius ENSMPUG00000005598
ailuropoda_melanoleuca ENSAMEG00000016325
canis_lupus ENSCAFG00000029434
canis_lupus ENSCAFG00020009614
vulpes_vulpes ENSVVUG00000024356
panthera_tigris ENSPTIG00000008373
panthera_pardus ENSPPRG00000005816
felis_catus ENSFCAG00000004633
myotis_lucifugus ENSMLUG00000017280
vicugna_pacos ENSVPAG00000001533
tursiops_truncatus ENSTTRG00000012862
bos_indicus ENSBIXG00005020288
bos_indicus ENSBIXG00000003054
bos_mutus ENSBMUG00000013037
bos_taurus ENSBTAG00000003567
bison_bison ENSBBBG00000000916
ovis_aries ENSOARG00000018137
capra_hircus ENSCHIG00000019981
sus_scrofa ENSSSCG00000037299
equus_caballus ENSECAG00000000811
equus_asinus ENSEASG00005001710
pan_paniscus ENSPPAG00000040105
pan_troglodytes ENSPTRG00000003292
homo_sapiens ENSG00000283977
homo_sapiens ENSG00000132286
gorilla_gorilla ENSGGOG00000005077
pongo_abelii ENSPPYG00000003541
nomascus_leucogenys ENSNLEG00000031124
piliocolobus_tephrosceles ENSPTEG00000038905
colobus_angolensis ENSCANG00000031717
rhinopithecus_roxellana ENSRROG00000030921
rhinopithecus_bieti ENSRBIG00000042907
macaca_nemestrina ENSMNEG00000027230
macaca_mulatta ENSMMUG00000007732
macaca_fascicularis ENSMFAG00000035385
chlorocebus_sabaeus ENSCSAG00000004326
cercocebus_atys ENSCATG00000037555
mandrillus_leucophaeus ENSMLEG00000038328
theropithecus_gelada ENSTGEG00000020056
papio_anubis ENSPANG00000033941
saimiri_boliviensis ENSSBOG00000019793
saimiri_boliviensis ENSSBOG00000019739
cebus_capucinus ENSCCAG00000020901
callithrix_jacchus ENSCJAG00000041898
aotus_nancymaae ENSANAG00000024296
carlito_syrichta ENSTSYG00000012622
prolemur_simus ENSPSMG00000023613
propithecus_coquereli ENSPCOG00000021820
microcebus_murinus ENSMICG00000002107
otolemur_garnettii ENSOGAG00000033332
tupaia_belangeri ENSTBEG00000013674
fukomys_damarensis ENSFDAG00000012069
fukomys_damarensis ENSFDAG00000019835
fukomys_damarensis ENSFDAG00000015681
heterocephalus_glaber ENSHGLG00000004159
heterocephalus_glaber ENSHGLG00100017514
chinchilla_lanigera ENSCLAG00000016675
castor_canadensis ENSCCNG00000022994
castor_canadensis ENSCCNG00000001679
urocitellus_parryii ENSUPAG00010007203
spermophilus_dauricus ENSSDAG00000020839
ictidomys_tridecemlineatus ENSSTOG00000015036
marmota_marmota ENSMMMG00000015480
rattus_norvegicus ENSRNOG00000050846
rattus_norvegicus ENSRNOG00000000320
mus_musculus ENSMUSG00000110234
mus_musculus ENSMUSG00000089847
peromyscus_maniculatus ENSPEMG00000018320
microtus_ochrogaster ENSMOCG00000002829
cricetulus_griseus ENSCGRG00015012523
mus_spretus MGP_SPRETEiJ_G0031346
mus_caroli MGP_CAROLIEiJ_G0030234
mus_pahari MGP_PahariEiJ_G0013449
meriones_unguiculatus ENSMUGG00000006097
mus_spicilegus ENSMSIG00000008859
mesocricetus_auratus ENSMAUG00000008495
nannospalax_galili ENSNGAG00000011653
octodon_degus ENSODEG00000010061
cavia_porcellus ENSCPOG00000034824
dipodomys_ordii ENSDORG00000010671
oryctolagus_cuniculus ENSOCUG00000016956
tursiops_truncatus ENSTTRG00000002206
procavia_capensis ENSPCAG00000015959
echinops_telfairi ENSETEG00000008862
loxodonta_africana ENSLAFG00000030768
dasypus_novemcinctus ENSDNOG00000045957
choloepus_hoffmanni ENSCHOG00000001801
jaculus_jaculus ENSJJAG00000016632
vombatus_ursinus ENSVURG00010004849
phascolarctos_cinereus ENSPCIG00000010803
monodelphis_domestica ENSMODG00000018578
notamacropus_eugenii ENSMEUG00000007889
sarcophilus_harrisii ENSSHAG00000007985
ornithorhynchus_anatinus ENSOANG00000015283
hucho_hucho ENSHHUG00000003495
esox_lucius ENSELUG00000001300
cynoglossus_semilaevis ENSCSEG00000009076
lates_calcarifer ENSLCAG00010010685
gasterosteus_aculeatus ENSGACG00000020591
oryzias_latipes ENSORLG00020011151
oryzias_latipes ENSORLG00000028750
oryzias_latipes ENSORLG00015017235
oryzias_melastigma ENSOMEG00000015515
hippocampus_comes ENSHCOG00000003495
anabas_testudineus ENSATEG00000022238
labrus_bergylta ENSLBEG00000013158
takifugu_rubripes ENSTRUG00000022661
tetraodon_nigroviridis ENSTNIG00000009955
mola_mola ENSMMOG00000003395
mastacembelus_armatus ENSMAMG00000019006
betta_splendens ENSBSLG00000012642
xiphophorus_maculatus ENSXMAG00000029572
xiphophorus_couchianus ENSXCOG00000012317
gambusia_affinis ENSGAFG00000016459
poecilia_mexicana ENSPMEG00000014751
poecilia_formosa ENSPFOG00000017688
poecilia_latipinna ENSPLAG00000014619
poecilia_reticulata ENSPREG00000014473
cyprinodon_variegatus ENSCVAG00000021012
fundulus_heteroclitus ENSFHEG00000018272
seriola_dumerili ENSSDUG00000002738
seriola_lalandi ENSSLDG00000015490
scophthalmus_maximus ENSSMAG00000008679
monopterus_albus ENSMALG00000009141
amphiprion_percula ENSAPEG00000022383
amphiprion_ocellaris ENSAOCG00000016633
acanthochromis_polyacanthus ENSAPOG00000004934
stegastes_partitus ENSSPAG00000004351
parambassis_ranga ENSPRNG00000016457
kryptolebias_marmoratus ENSKMAG00000001566
gouania_willdenowi ENSGWIG00000006541
maylandia_zebra ENSMZEG00005019433
haplochromis_burtoni ENSHBUG00000009158
astatotilapia_calliptera ENSACLG00000023397
pundamilia_nyererei ENSPNYG00000023448
neolamprologus_brichardi ENSNBRG00000010020
oreochromis_niloticus ENSONIG00000004747
cottoperca_gobio ENSCGOG00000010052
larimichthys_crocea ENSLCRG00005002329
periophthalmus_magnuspinnatus ENSPMGG00000007717
astyanax_mexicanus ENSAMXG00005008962
